wavelength_nm,intensity
380,0.008000
382,0.000000
384,0.000000
386,0.000000
388,0.000000
390,0.000000
392,0.010300
394,0.006580
396,0.006230
398,0.000000
400,0.000000
402,0.007950
404,0.002410
406,0.001820
408,0.004040
410,0.002250
412,0.001590
414,0.003810
416,0.003900
418,0.002210
420,0.000000
422,0.002020
424,0.003450
426,0.002630
428,0.002260
430,0.002870
432,0.002690
434,0.004220
436,0.004930
438,0.006440
440,0.008640
442,0.011200
444,0.013300
446,0.018000
448,0.021800
450,0.028500
452,0.037800
454,0.045700
456,0.054600
458,0.069200
460,0.082200
462,0.096600
464,0.115000
466,0.140000
468,0.163000
470,0.186000
472,0.216000
474,0.245000
476,0.279000
478,0.313000
480,0.348000
482,0.387000
484,0.422000
486,0.463000
488,0.500000
490,0.536000
492,0.577000
494,0.618000
496,0.654000
498,0.689000
500,0.723000
502,0.758000
504,0.789000
506,0.814000
508,0.844000
510,0.870000
512,0.890000
514,0.912000
516,0.930000
518,0.944000
520,0.961000
522,0.973000
524,0.982000
526,0.991000
528,0.994000
530,0.999000
532,1.000000
534,0.997000
536,0.996000
538,0.988000
540,0.985000
542,0.975000
544,0.963000
546,0.953000
548,0.938000
550,0.930000
552,0.912000
554,0.897000
556,0.880000
558,0.864000
560,0.849000
562,0.830000
564,0.810000
566,0.792000
568,0.773000
570,0.753000
572,0.734000
574,0.715000
576,0.691000
578,0.671000
580,0.654000
582,0.633000
584,0.613000
586,0.593000
588,0.570000
590,0.552000
592,0.534000
594,0.516000
596,0.496000
598,0.481000
600,0.461000
602,0.445000
604,0.428000
606,0.412000
608,0.401000
610,0.386000
612,0.366000
614,0.355000
616,0.342000
618,0.328000
620,0.315000
622,0.304000
624,0.293000
626,0.280000
628,0.268000
630,0.257000
632,0.246000
634,0.237000
636,0.226000
638,0.219000
640,0.213000
642,0.200000
644,0.193000
646,0.189000
648,0.178000
650,0.165000
652,0.161000
654,0.156000
656,0.150000
658,0.138000
660,0.135000
662,0.135000
664,0.130000
666,0.117000
668,0.114000
670,0.110000
672,0.107000
674,0.098600
676,0.096800
678,0.096100
680,0.088100
682,0.085700
684,0.081400
686,0.077200
688,0.074100
690,0.070200
692,0.071800
694,0.070200
696,0.065100
698,0.060100
700,0.059300
702,0.056000
704,0.054600
706,0.050000
708,0.048700
710,0.049100
712,0.045400
714,0.037000
716,0.046700
718,0.046500
720,0.041000
722,0.034800
724,0.037300
726,0.038500
728,0.033600
730,0.022100
732,0.027500
734,0.025400
736,0.023500
738,0.027400
740,0.034000
742,0.033800
744,0.016200
746,0.026200
748,0.017600
750,0.011800
752,0.030300
754,0.039000
756,0.014200
758,0.026300
760,0.025300
762,0.017100
764,0.020900
766,0.018400
768,0.023400
770,0.032500
772,0.016700
774,0.012000
776,0.023500
778,0.025000
780,0.007440
