wavelength_nm,intensity
390.000000,0.022309
392.000000,0.027626
394.000000,0.033928
396.000000,0.041334
398.000000,0.049965
400.000000,0.059938
402.000000,0.071370
404.000000,0.084370
406.000000,0.099037
408.000000,0.115459
410.000000,0.133708
412.000000,0.153835
414.000000,0.175872
416.000000,0.199827
418.000000,0.225681
420.000000,0.253388
422.000000,0.282875
424.000000,0.314038
426.000000,0.346745
428.000000,0.380838
430.000000,0.416131
432.000000,0.452414
434.000000,0.489456
436.000000,0.527007
438.000000,0.564804
440.000000,0.602572
442.000000,0.640027
444.000000,0.676884
446.000000,0.712862
448.000000,0.747681
450.000000,0.781075
452.000000,0.812787
454.000000,0.842582
456.000000,0.870241
458.000000,0.895570
460.000000,0.918397
462.000000,0.938581
464.000000,0.956005
466.000000,0.970580
468.000000,0.982249
470.000000,0.990981
472.000000,0.996771
474.000000,0.999644
476.000000,0.999647
478.000000,0.996852
480.000000,0.991351
482.000000,0.983257
484.000000,0.972698
486.000000,0.959818
488.000000,0.944772
490.000000,0.927724
492.000000,0.908847
494.000000,0.888318
496.000000,0.866317
498.000000,0.843023
500.000000,0.818617
502.000000,0.793275
504.000000,0.767169
506.000000,0.740464
508.000000,0.713320
510.000000,0.685889
512.000000,0.658313
514.000000,0.630725
516.000000,0.603248
518.000000,0.575995
520.000000,0.549071
522.000000,0.522568
524.000000,0.496568
526.000000,0.471144
528.000000,0.446360
530.000000,0.422269
532.000000,0.398916
534.000000,0.376339
536.000000,0.354566
538.000000,0.333618
540.000000,0.313510
542.000000,0.294250
544.000000,0.275842
546.000000,0.258283
548.000000,0.241566
550.000000,0.225681
552.000000,0.210612
554.000000,0.196343
556.000000,0.182854
558.000000,0.170121
560.000000,0.158122
562.000000,0.146830
564.000000,0.136220
566.000000,0.126264
568.000000,0.116934
570.000000,0.108201
572.000000,0.100039
574.000000,0.092419
576.000000,0.085312
578.000000,0.078693
580.000000,0.072534
582.000000,0.066810
584.000000,0.061495
586.000000,0.056564
588.000000,0.051995
590.000000,0.047765
592.000000,0.043852
594.000000,0.040235
596.000000,0.036896
598.000000,0.033814
600.000000,0.030973
602.000000,0.028356
604.000000,0.025947
606.000000,0.023730
608.000000,0.021693
610.000000,0.019821
612.000000,0.018103
614.000000,0.016526
616.000000,0.015080
618.000000,0.013755
620.000000,0.012542
622.000000,0.011431
624.000000,0.010415
626.000000,0.009486
628.000000,0.008637
630.000000,0.007861
632.000000,0.007152
634.000000,0.006506
636.000000,0.005916
638.000000,0.005378
640.000000,0.004888
642.000000,0.004441
644.000000,0.004034
646.000000,0.003663
648.000000,0.003326
650.000000,0.003019
652.000000,0.002740
654.000000,0.002486
656.000000,0.002255
658.000000,0.002045
660.000000,0.001855
662.000000,0.001682
664.000000,0.001525
666.000000,0.001382
668.000000,0.001252
670.000000,0.001135
672.000000,0.001028
674.000000,0.000931
676.000000,0.000844
678.000000,0.000764
680.000000,0.000692
682.000000,0.000627
684.000000,0.000567
686.000000,0.000514
688.000000,0.000465
690.000000,0.000421
692.000000,0.000381
694.000000,0.000345
696.000000,0.000312
698.000000,0.000283
700.000000,0.000256
