wavelength_nm,intensity
335.000000,0.000330
335.200000,0.000290
335.400000,0.000290
335.600000,0.000301
335.800000,0.000336
336.000000,0.000348
336.200000,0.000353
336.400000,0.000353
336.600000,0.000348
336.800000,0.000330
337.000000,0.000336
337.200000,0.000319
337.400000,0.000336
337.600000,0.000348
337.800000,0.000342
338.000000,0.000348
338.200000,0.000394
338.400000,0.000388
338.600000,0.000429
338.800000,0.000411
339.000000,0.000440
339.200000,0.000475
339.400000,0.000463
339.600000,0.000463
339.800000,0.000475
340.000000,0.000527
340.200000,0.000597
340.400000,0.000643
340.600000,0.000614
340.800000,0.000637
341.000000,0.000626
341.200000,0.000631
341.400000,0.000678
341.600000,0.000695
341.800000,0.000736
342.000000,0.000742
342.200000,0.000759
342.400000,0.000886
342.600000,0.000973
342.800000,0.001000
343.000000,0.001090
343.200000,0.001210
343.400000,0.001330
343.600000,0.001400
343.800000,0.001540
344.000000,0.001670
344.200000,0.001710
344.400000,0.001830
344.600000,0.001960
344.800000,0.001990
345.000000,0.002160
345.200000,0.002270
345.400000,0.002380
345.600000,0.002560
345.800000,0.002720
346.000000,0.002990
346.200000,0.003270
346.400000,0.003480
346.600000,0.003720
346.800000,0.003860
347.000000,0.004220
347.200000,0.004530
347.400000,0.004910
347.600000,0.005200
347.800000,0.005780
348.000000,0.006200
348.200000,0.006730
348.400000,0.007250
348.600000,0.007660
348.800000,0.008310
349.000000,0.008930
349.200000,0.009400
349.400000,0.009880
349.600000,0.010650
349.800000,0.011490
350.000000,0.012290
350.200000,0.013180
350.400000,0.014080
350.600000,0.014760
350.800000,0.015730
351.000000,0.017320
351.200000,0.018310
351.400000,0.019720
351.600000,0.020840
351.800000,0.022210
352.000000,0.023780
352.200000,0.025540
352.400000,0.026980
352.600000,0.028690
352.800000,0.030220
353.000000,0.032580
353.200000,0.034270
353.400000,0.036710
353.600000,0.038930
353.800000,0.041460
354.000000,0.044220
354.200000,0.046890
354.400000,0.049510
354.600000,0.052730
354.800000,0.055970
355.000000,0.059310
355.200000,0.062560
355.400000,0.066330
355.600000,0.070080
355.800000,0.074290
356.000000,0.078370
356.200000,0.082710
356.400000,0.088510
356.600000,0.093540
356.800000,0.099400
357.000000,0.105130
357.200000,0.111310
357.400000,0.117390
357.600000,0.124690
357.800000,0.131940
358.000000,0.138910
358.200000,0.146530
358.400000,0.155590
358.600000,0.163450
358.800000,0.171330
359.000000,0.178950
359.200000,0.188930
359.400000,0.198240
359.600000,0.208330
359.800000,0.218800
360.000000,0.228690
360.200000,0.239200
360.400000,0.251560
360.600000,0.261910
360.800000,0.274390
361.000000,0.286630
361.200000,0.299330
361.400000,0.309830
361.600000,0.323500
361.800000,0.336130
362.000000,0.350670
362.200000,0.365610
362.400000,0.383540
362.600000,0.398270
362.800000,0.413980
363.000000,0.429720
363.200000,0.445770
363.400000,0.461210
363.600000,0.478140
363.800000,0.494520
364.000000,0.509920
364.200000,0.522840
364.400000,0.540070
364.600000,0.557330
364.800000,0.570560
365.000000,0.585930
365.200000,0.601660
365.400000,0.615260
365.600000,0.632890
365.800000,0.648930
366.000000,0.665860
366.200000,0.681210
366.400000,0.692220
366.600000,0.705520
366.800000,0.723400
367.000000,0.734970
367.200000,0.748890
367.400000,0.762550
367.600000,0.774130
367.800000,0.788200
368.000000,0.803420
368.200000,0.812120
368.400000,0.824600
368.600000,0.836890
368.800000,0.850340
369.000000,0.861860
369.200000,0.871850
369.400000,0.878120
369.600000,0.890770
369.800000,0.900870
370.000000,0.905340
370.200000,0.914050
370.400000,0.921930
370.600000,0.928110
370.800000,0.933500
371.000000,0.940720
371.200000,0.945450
371.400000,0.951120
371.600000,0.957840
371.800000,0.960440
372.000000,0.969860
372.200000,0.972190
372.400000,0.978750
372.600000,0.979350
372.800000,0.982810
373.000000,0.986040
373.200000,0.987710
373.400000,0.989860
373.600000,0.993140
373.800000,0.992460
374.000000,0.997260
374.200000,1.000000
374.400000,0.999460
374.600000,0.995830
374.800000,0.996260
375.000000,0.993970
375.200000,0.994330
375.400000,0.991750
375.600000,0.992970
375.800000,0.992830
376.000000,0.991080
376.200000,0.987900
376.400000,0.986080
376.600000,0.983150
376.800000,0.981140
377.000000,0.977810
377.200000,0.975850
377.400000,0.973430
377.600000,0.972410
377.800000,0.968580
378.000000,0.964900
378.200000,0.960800
378.400000,0.957750
378.600000,0.951680
378.800000,0.947660
379.000000,0.942910
379.200000,0.940140
379.400000,0.932760
379.600000,0.929480
379.800000,0.927030
380.000000,0.923250
380.200000,0.917060
380.400000,0.911110
380.600000,0.905470
380.800000,0.902680
381.000000,0.896580
381.200000,0.894750
381.400000,0.888820
381.600000,0.887180
381.800000,0.878190
382.000000,0.877240
382.200000,0.871080
382.400000,0.865800
382.600000,0.861410
382.800000,0.858440
383.000000,0.851340
383.200000,0.845990
383.400000,0.841310
383.600000,0.837590
383.800000,0.833960
384.000000,0.829870
384.200000,0.827990
384.400000,0.824430
384.600000,0.822150
384.800000,0.817290
385.000000,0.813240
385.200000,0.810670
385.400000,0.805540
385.600000,0.801390
385.800000,0.797680
386.000000,0.796020
386.200000,0.791370
386.400000,0.788190
386.600000,0.783450
386.800000,0.780620
387.000000,0.778830
387.200000,0.776110
387.400000,0.772260
387.600000,0.769590
387.800000,0.767000
388.000000,0.762070
388.200000,0.759140
388.400000,0.753810
388.600000,0.750800
388.800000,0.748230
389.000000,0.744080
389.200000,0.742860
389.400000,0.741250
389.600000,0.739520
389.800000,0.735680
390.000000,0.733050
390.200000,0.731150
390.400000,0.730320
390.600000,0.725330
390.800000,0.723920
391.000000,0.721640
391.200000,0.721390
391.400000,0.717580
391.600000,0.716430
391.800000,0.713830
392.000000,0.709500
392.200000,0.707750
392.400000,0.706320
392.600000,0.702210
392.800000,0.699170
393.000000,0.696120
393.200000,0.695960
393.400000,0.692970
393.600000,0.691460
393.800000,0.690850
394.000000,0.686190
394.200000,0.684950
394.400000,0.685160
394.600000,0.680050
394.800000,0.676860
395.000000,0.675080
395.200000,0.673000
395.400000,0.669770
395.600000,0.666070
395.800000,0.663000
396.000000,0.658430
396.200000,0.655520
396.400000,0.651780
396.600000,0.649260
396.800000,0.646890
397.000000,0.643970
397.200000,0.640740
397.400000,0.636320
397.600000,0.633770
397.800000,0.631020
398.000000,0.630100
398.200000,0.625610
398.400000,0.621900
398.600000,0.619300
398.800000,0.615090
399.000000,0.612310
399.200000,0.611710
399.400000,0.605210
399.600000,0.600700
399.800000,0.595280
400.000000,0.593180
400.200000,0.590500
400.400000,0.588250
400.600000,0.582680
400.800000,0.579150
401.000000,0.574870
401.200000,0.568230
401.400000,0.564520
401.600000,0.560250
401.800000,0.557450
402.000000,0.554550
402.200000,0.550370
402.400000,0.546480
402.600000,0.540950
402.800000,0.538800
403.000000,0.534220
403.200000,0.529560
403.400000,0.525680
403.600000,0.521770
403.800000,0.517530
404.000000,0.514410
404.200000,0.510740
404.400000,0.506410
404.600000,0.501890
404.800000,0.498960
405.000000,0.494920
405.200000,0.491560
405.400000,0.487650
405.600000,0.483090
405.800000,0.478930
406.000000,0.474610
406.200000,0.471980
406.400000,0.468100
406.600000,0.464420
406.800000,0.461550
407.000000,0.457420
407.200000,0.452960
407.400000,0.446770
407.600000,0.443310
407.800000,0.438650
408.000000,0.435170
408.200000,0.433950
408.400000,0.430880
408.600000,0.426610
408.800000,0.422510
409.000000,0.418980
409.200000,0.416780
409.400000,0.413150
409.600000,0.409850
409.800000,0.405750
410.000000,0.401970
410.200000,0.398440
410.400000,0.393000
410.600000,0.390440
410.800000,0.386230
411.000000,0.384330
411.200000,0.380780
411.400000,0.378010
411.600000,0.375570
411.800000,0.372580
412.000000,0.370900
412.200000,0.366250
412.400000,0.363620
412.600000,0.359890
412.800000,0.357370
413.000000,0.355190
413.200000,0.351640
413.400000,0.348060
413.600000,0.345570
413.800000,0.342410
414.000000,0.339420
414.200000,0.336630
414.400000,0.333740
414.600000,0.330960
414.800000,0.328700
415.000000,0.325910
415.200000,0.323270
415.400000,0.321390
415.600000,0.320160
415.800000,0.317210
416.000000,0.314380
416.200000,0.312530
416.400000,0.311000
416.600000,0.307610
416.800000,0.305470
417.000000,0.302840
417.200000,0.299940
417.400000,0.297690
417.600000,0.296890
417.800000,0.294100
418.000000,0.292200
418.200000,0.288740
418.400000,0.287070
418.600000,0.284760
418.800000,0.282490
419.000000,0.280010
419.200000,0.277850
419.400000,0.275770
419.600000,0.273780
419.800000,0.271890
420.000000,0.269910
420.200000,0.266730
420.400000,0.264970
420.600000,0.262730
420.800000,0.260400
421.000000,0.258550
421.200000,0.256170
421.400000,0.253540
421.600000,0.251720
421.800000,0.250520
422.000000,0.248840
422.200000,0.246410
422.400000,0.243740
422.600000,0.241300
422.800000,0.239990
423.000000,0.237570
423.200000,0.235960
423.400000,0.235590
423.600000,0.233280
423.800000,0.230830
424.000000,0.228460
424.200000,0.226140
424.400000,0.223620
424.600000,0.222840
424.800000,0.220890
425.000000,0.219830
425.200000,0.218830
425.400000,0.216460
425.600000,0.215390
425.800000,0.213260
426.000000,0.210790
426.200000,0.209790
426.400000,0.208310
426.600000,0.207090
426.800000,0.204550
427.000000,0.201790
427.200000,0.200060
427.400000,0.197720
427.600000,0.196110
427.800000,0.194240
428.000000,0.192350
428.200000,0.190030
428.400000,0.189040
428.600000,0.186940
428.800000,0.184900
429.000000,0.183560
429.200000,0.182030
429.400000,0.180610
429.600000,0.179180
429.800000,0.176870
430.000000,0.174960
430.200000,0.173750
430.400000,0.172720
430.600000,0.170240
430.800000,0.168440
431.000000,0.167030
431.200000,0.166100
431.400000,0.165300
431.600000,0.163060
431.800000,0.161130
432.000000,0.159490
432.200000,0.158540
432.400000,0.156970
432.600000,0.155730
432.800000,0.154530
433.000000,0.153420
433.200000,0.151800
433.400000,0.149870
433.600000,0.148720
433.800000,0.146960
434.000000,0.145540
434.200000,0.144720
434.400000,0.144620
434.600000,0.142710
434.800000,0.140680
435.000000,0.139060
435.200000,0.137150
435.400000,0.135280
435.600000,0.134330
435.800000,0.133710
