wavelength_nm,intensity
380,0.000150
382,0.000170
384,0.000340
386,0.000510
388,0.000680
390,0.000850
392,0.001020
394,0.001190
396,0.001360
398,0.001530
400,0.001700
402,0.001870
404,0.002040
406,0.002210
408,0.002380
410,0.002550
412,0.002720
414,0.002890
416,0.003060
418,0.003230
420,0.003400
422,0.003570
424,0.003740
426,0.003910
428,0.004080
430,0.004250
432,0.004420
434,0.004590
436,0.004760
438,0.004930
440,0.005100
442,0.005270
444,0.005440
446,0.005610
448,0.005780
450,0.005950
452,0.006120
454,0.006290
456,0.006460
458,0.006630
460,0.006800
462,0.006970
464,0.007140
466,0.007310
468,0.007480
470,0.007650
472,0.007820
474,0.007990
476,0.008160
478,0.008330
480,0.008500
482,0.008670
484,0.008840
486,0.009010
488,0.009180
490,0.009350
492,0.009520
494,0.009690
496,0.009860
498,0.010030
500,0.010020
502,0.009770
504,0.009950
506,0.009580
508,0.009630
510,0.009420
512,0.009220
514,0.009500
516,0.009320
518,0.008920
520,0.008620
522,0.008760
524,0.008750
526,0.008280
528,0.008450
530,0.008340
532,0.008830
534,0.009790
536,0.009900
538,0.010750
540,0.011650
542,0.013030
544,0.014790
546,0.017040
548,0.019550
550,0.022350
552,0.025960
554,0.030220
556,0.035740
558,0.041950
560,0.048980
562,0.057380
564,0.066930
566,0.079050
568,0.091160
570,0.105970
572,0.122660
574,0.141570
576,0.161650
578,0.184850
580,0.210460
582,0.238920
584,0.269720
586,0.302660
588,0.340560
590,0.379680
592,0.421710
594,0.466380
596,0.510800
598,0.554550
600,0.601060
602,0.649910
604,0.693380
606,0.740470
608,0.779950
610,0.820980
612,0.860170
614,0.891040
616,0.920840
618,0.946120
620,0.967540
622,0.979870
624,0.992560
626,0.997300
628,1.000000
630,0.991620
632,0.979900
634,0.966080
636,0.946940
638,0.928090
640,0.905650
642,0.874850
644,0.845700
646,0.817190
648,0.782130
650,0.751010
652,0.718930
654,0.685680
656,0.652290
658,0.618950
660,0.586350
662,0.554850
664,0.523890
666,0.492580
668,0.465490
670,0.438580
672,0.411160
674,0.383030
676,0.359490
678,0.334290
680,0.312470
682,0.291680
684,0.269730
686,0.251060
688,0.234740
690,0.217680
692,0.201920
694,0.187700
696,0.176580
698,0.165940
700,0.155330
702,0.146020
704,0.137840
706,0.128140
708,0.119700
710,0.112200
712,0.104620
714,0.097870
716,0.090160
718,0.083380
720,0.075810
722,0.069860
724,0.063310
726,0.057270
728,0.051140
730,0.045850
732,0.040940
734,0.035920
736,0.032140
738,0.029060
740,0.025510
742,0.021960
744,0.019550
746,0.017070
748,0.014660
750,0.012820
752,0.010620
754,0.008700
756,0.007340
758,0.005750
760,0.004300
762,0.003190
764,0.002000
766,0.002000
768,0.003000
770,0.004000
772,0.006160
774,0.000000
776,0.000000
778,0.000000
780,0.000000
