wavelength_nm,intensity
380.000000,0.000000
382.000000,0.000000
384.000000,0.000000
386.000000,0.000000
388.000000,0.000000
390.000000,0.000000
392.000000,0.000000
394.000000,0.000000
396.000000,0.000000
398.000000,0.000000
400.000000,0.000000
402.000000,0.000000
404.000000,0.000000
406.000000,0.000000
408.000000,0.000000
410.000000,0.000000
412.000000,0.000000
414.000000,0.000000
416.000000,0.000000
418.000000,0.000000
420.000000,0.000000
422.000000,0.000000
424.000000,0.000000
426.000000,0.000000
428.000000,0.000000
430.000000,0.000000
432.000000,0.000000
434.000000,0.000000
436.000000,0.000000
438.000000,0.000000
440.000000,0.000000
442.000000,0.000000
444.000000,0.000000
446.000000,0.000000
448.000000,0.000000
450.000000,0.000000
452.000000,0.000000
454.000000,0.000000
456.000000,0.000000
458.000000,0.000000
460.000000,0.000000
462.000000,0.000000
464.000000,0.000000
466.000000,0.000000
468.000000,0.000000
470.000000,0.000000
472.000000,0.000000
474.000000,0.000000
476.000000,0.000000
478.000000,0.000000
480.000000,0.000000
482.000000,0.000000
484.000000,0.000000
486.000000,0.000000
488.000000,0.000000
490.000000,0.000000
492.000000,0.000000
494.000000,0.000000
496.000000,0.000000
498.000000,0.000000
500.000000,0.000000
502.000000,0.000000
504.000000,0.000000
506.000000,0.000000
508.000000,0.000000
510.000000,0.000000
512.000000,0.000000
514.000000,0.000000
516.000000,0.000000
518.000000,0.000000
520.000000,0.000000
522.000000,0.000000
524.000000,0.000000
526.000000,0.000000
528.000000,0.000000
530.000000,0.000000
532.000000,0.000000
534.000000,0.000000
536.000000,0.000000
538.000000,0.000000
540.000000,0.000000
542.000000,0.000000
544.000000,0.000000
546.000000,0.000000
548.000000,0.000000
550.000000,0.005550
550.200000,0.006640
550.400000,0.007080
550.600000,0.007580
550.800000,0.007880
551.000000,0.008070
551.200000,0.008140
551.400000,0.008420
551.600000,0.008600
551.800000,0.008810
552.000000,0.008820
552.200000,0.009130
552.400000,0.009450
552.600000,0.009770
552.800000,0.009560
553.000000,0.009780
553.200000,0.010040
553.400000,0.010150
553.600000,0.010530
553.800000,0.010670
554.000000,0.010870
554.200000,0.011140
554.400000,0.011090
554.600000,0.011200
554.800000,0.011180
555.000000,0.011310
555.200000,0.011630
555.400000,0.012160
555.600000,0.012130
555.800000,0.012320
556.000000,0.012620
556.200000,0.012750
556.400000,0.013260
556.600000,0.013600
556.800000,0.013790
557.000000,0.013900
557.200000,0.014120
557.400000,0.014410
557.600000,0.014640
557.800000,0.014870
558.000000,0.015010
558.200000,0.015340
558.400000,0.015290
558.600000,0.015800
558.800000,0.016460
559.000000,0.016970
559.200000,0.016970
559.400000,0.017090
559.600000,0.017470
559.800000,0.018000
560.000000,0.018310
560.200000,0.018600
560.400000,0.019050
560.600000,0.019680
560.800000,0.019930
561.000000,0.020210
561.200000,0.020420
561.400000,0.020820
561.600000,0.020880
561.800000,0.021680
562.000000,0.021920
562.200000,0.022560
562.400000,0.022750
562.600000,0.023080
562.800000,0.023550
563.000000,0.024050
563.200000,0.024330
563.400000,0.025270
563.600000,0.025680
563.800000,0.026160
564.000000,0.026760
564.200000,0.027380
564.400000,0.027940
564.600000,0.028270
564.800000,0.028410
565.000000,0.029070
565.200000,0.029930
565.400000,0.030470
565.600000,0.030550
565.800000,0.031410
566.000000,0.031940
566.200000,0.032280
566.400000,0.032920
566.600000,0.034180
566.800000,0.034710
567.000000,0.035400
567.200000,0.036460
567.400000,0.037250
567.600000,0.037850
567.800000,0.039080
568.000000,0.039510
568.200000,0.040310
568.400000,0.040450
568.600000,0.041230
568.800000,0.042200
569.000000,0.042560
569.200000,0.043330
569.400000,0.044570
569.600000,0.045730
569.800000,0.046200
570.000000,0.047260
570.200000,0.048400
570.400000,0.049000
570.600000,0.049450
570.800000,0.050570
571.000000,0.051510
571.200000,0.051930
571.400000,0.052810
571.600000,0.053780
571.800000,0.054220
572.000000,0.055740
572.200000,0.056010
572.400000,0.057890
572.600000,0.058460
572.800000,0.059300
573.000000,0.059740
573.200000,0.061110
573.400000,0.062750
573.600000,0.063860
573.800000,0.064160
574.000000,0.065690
574.200000,0.066490
574.400000,0.069240
574.600000,0.070320
574.800000,0.072060
575.000000,0.074030
575.200000,0.075650
575.400000,0.077620
575.600000,0.078220
575.800000,0.079590
576.000000,0.081530
576.200000,0.084420
576.400000,0.086340
576.600000,0.088270
576.800000,0.089140
577.000000,0.091030
577.200000,0.093050
577.400000,0.094770
577.600000,0.096200
577.800000,0.098390
578.000000,0.100200
578.200000,0.102190
578.400000,0.104850
578.600000,0.106530
578.800000,0.107990
579.000000,0.109920
579.200000,0.111990
579.400000,0.114610
579.600000,0.116960
579.800000,0.118660
580.000000,0.121610
580.200000,0.123830
580.400000,0.126780
580.600000,0.127950
580.800000,0.129920
581.000000,0.132310
581.200000,0.135080
581.400000,0.137070
581.600000,0.138970
581.800000,0.141280
582.000000,0.144050
582.200000,0.146380
582.400000,0.147580
582.600000,0.149080
582.800000,0.152230
583.000000,0.155330
583.200000,0.158490
583.400000,0.162450
583.600000,0.164790
583.800000,0.166990
584.000000,0.168970
584.200000,0.172100
584.400000,0.174480
584.600000,0.177600
584.800000,0.181060
585.000000,0.184370
585.200000,0.186590
585.400000,0.191590
585.600000,0.193370
585.800000,0.196170
586.000000,0.198920
586.200000,0.202240
586.400000,0.205230
586.600000,0.207200
586.800000,0.210210
587.000000,0.213770
587.200000,0.217350
587.400000,0.218850
587.600000,0.221460
587.800000,0.226670
588.000000,0.230240
588.200000,0.232840
588.400000,0.236430
588.600000,0.239320
588.800000,0.243070
589.000000,0.247260
589.200000,0.250810
589.400000,0.255120
589.600000,0.259490
589.800000,0.263190
590.000000,0.266790
590.200000,0.270590
590.400000,0.273170
590.600000,0.276090
590.800000,0.281100
591.000000,0.283200
591.200000,0.285590
591.400000,0.288410
591.600000,0.293250
591.800000,0.297380
592.000000,0.301360
592.200000,0.306230
592.400000,0.310450
592.600000,0.314130
592.800000,0.317550
593.000000,0.320840
593.200000,0.325090
593.400000,0.328360
593.600000,0.332810
593.800000,0.336320
594.000000,0.340000
594.200000,0.345260
594.400000,0.350570
594.600000,0.354960
594.800000,0.358520
595.000000,0.362670
595.200000,0.367980
595.400000,0.374670
595.600000,0.378260
595.800000,0.382360
596.000000,0.387350
596.200000,0.390510
596.400000,0.395650
596.600000,0.398110
596.800000,0.404060
597.000000,0.407490
597.200000,0.412360
597.400000,0.417680
597.600000,0.422100
597.800000,0.426390
598.000000,0.430710
598.200000,0.436000
598.400000,0.440260
598.600000,0.445040
598.800000,0.449650
599.000000,0.454330
599.200000,0.460440
599.400000,0.465600
599.600000,0.469400
599.800000,0.472950
600.000000,0.474080
600.200000,0.479120
600.400000,0.483820
600.600000,0.488030
600.800000,0.492200
601.000000,0.495090
