wavelength_nm,intensity
520.000000,0.000000
525.000000,0.020330
525.500000,0.021130
526.000000,0.022220
526.500000,0.023560
527.000000,0.025110
527.500000,0.026790
528.000000,0.028590
528.500000,0.030510
529.000000,0.032600
529.500000,0.034840
530.000000,0.037230
530.500000,0.039720
531.000000,0.042300
531.500000,0.044980
532.000000,0.047810
532.500000,0.050840
533.000000,0.054080
533.500000,0.057530
534.000000,0.061160
534.500000,0.064970
535.000000,0.069010
535.500000,0.073300
536.000000,0.077860
536.500000,0.082650
537.000000,0.087660
537.500000,0.092890
538.000000,0.098400
538.500000,0.104240
539.000000,0.110470
539.500000,0.117070
540.000000,0.123940
540.500000,0.130980
541.000000,0.138170
541.500000,0.145570
542.000000,0.153290
542.500000,0.161480
543.000000,0.170220
543.500000,0.179500
544.000000,0.189300
544.500000,0.199580
545.000000,0.210310
545.500000,0.221460
546.000000,0.233020
546.500000,0.244970
547.000000,0.257250
547.500000,0.269830
548.000000,0.282650
548.500000,0.295700
549.000000,0.309000
549.500000,0.322650
550.000000,0.336740
550.500000,0.351440
551.000000,0.366840
551.500000,0.382910
552.000000,0.399530
552.500000,0.416490
553.000000,0.433620
553.500000,0.450750
554.000000,0.467820
554.500000,0.484830
555.000000,0.501860
555.500000,0.518990
556.000000,0.536250
556.500000,0.553590
557.000000,0.570750
557.500000,0.587480
558.000000,0.603730
558.500000,0.619680
559.000000,0.635680
559.500000,0.651910
560.000000,0.668290
560.500000,0.684510
561.000000,0.700260
561.500000,0.715470
562.000000,0.730360
562.500000,0.745340
563.000000,0.760660
563.500000,0.776240
564.000000,0.791700
564.500000,0.806650
565.000000,0.820960
565.500000,0.834760
566.000000,0.848240
566.500000,0.861520
567.000000,0.874570
567.500000,0.887230
568.000000,0.899360
568.500000,0.910870
569.000000,0.921740
569.500000,0.931990
570.000000,0.941660
570.500000,0.950780
571.000000,0.959330
571.500000,0.967200
572.000000,0.974230
572.500000,0.980310
573.000000,0.985400
573.500000,0.989550
574.000000,0.992920
574.500000,0.995660
575.000000,0.997810
575.500000,0.999300
576.000000,0.999990
576.500000,0.999790
577.000000,0.998630
577.500000,0.996490
578.000000,0.993370
578.500000,0.989320
579.000000,0.984410
579.500000,0.978760
580.000000,0.972430
580.500000,0.965420
581.000000,0.957720
581.500000,0.949380
582.000000,0.940530
582.500000,0.931270
583.000000,0.921580
583.500000,0.911370
584.000000,0.900610
584.500000,0.889440
585.000000,0.878060
585.500000,0.866550
586.000000,0.854850
586.500000,0.842840
587.000000,0.830540
587.500000,0.818050
588.000000,0.805390
588.500000,0.792560
589.000000,0.779570
589.500000,0.766570
590.000000,0.753720
590.500000,0.741070
591.000000,0.728450
591.500000,0.715640
592.000000,0.702560
592.500000,0.689390
593.000000,0.676480
593.500000,0.664080
594.000000,0.652220
594.500000,0.640700
595.000000,0.629280
595.500000,0.617920
596.000000,0.606730
596.500000,0.595920
597.000000,0.585600
597.500000,0.575790
598.000000,0.566380
598.500000,0.557300
599.000000,0.548530
599.500000,0.540100
600.000000,0.532030
600.500000,0.524270
601.000000,0.516760
601.500000,0.509400
