wavelength_nm,intensity
380,0.000000
382,0.000000
384,0.000000
386,0.000000
388,0.000000
390,0.000000
392,0.000000
394,0.000000
396,0.000000
398,0.000000
400,0.000000
402,0.000000
404,0.000000
406,0.000000
408,0.000000
410,0.000000
412,0.000000
414,0.000000
416,0.000000
418,0.000000
420,0.000000
422,0.000000
424,0.000000
426,0.000000
428,0.000000
430,0.000000
432,0.000000
434,0.000000
436,0.000000
438,0.000000
440,0.000000
442,0.000000
444,0.000000
446,0.000000
448,0.000000
450,0.004690
452,0.003910
454,0.003630
456,0.004070
458,0.003470
460,0.004100
462,0.004960
464,0.006630
466,0.007950
468,0.007470
470,0.008370
472,0.009360
474,0.011390
476,0.014150
478,0.019730
480,0.025810
482,0.036140
484,0.048930
486,0.072160
488,0.103240
490,0.144990
492,0.211420
494,0.312830
496,0.427930
498,0.562700
500,0.686970
502,0.788690
504,0.891970
506,0.939180
508,0.986030
510,0.993650
512,0.980790
514,0.963910
516,0.929600
518,0.902300
520,0.872750
522,0.853310
524,0.834280
526,0.826760
528,0.817780
530,0.820610
532,0.798460
534,0.801730
536,0.783600
538,0.777360
540,0.749650
542,0.715470
544,0.679800
546,0.654770
548,0.608470
550,0.559270
552,0.524060
554,0.498950
556,0.469360
558,0.439830
560,0.410440
562,0.380650
564,0.362930
566,0.349890
568,0.329880
570,0.317450
572,0.300370
574,0.287750
576,0.273070
578,0.267770
580,0.248800
582,0.248750
584,0.230710
586,0.218490
588,0.212350
590,0.192360
592,0.186810
594,0.177430
596,0.161530
598,0.148380
600,0.144530
602,0.137270
604,0.129790
606,0.123820
608,0.115900
610,0.113720
612,0.105180
614,0.101560
616,0.094930
618,0.089320
620,0.090020
622,0.081960
624,0.078980
626,0.074010
628,0.069730
630,0.065970
632,0.064190
634,0.061550
636,0.057990
638,0.052110
640,0.047020
642,0.048980
644,0.045950
646,0.042950
648,0.041500
650,0.039430
652,0.035510
654,0.035460
656,0.030670
658,0.028910
660,0.028770
662,0.027260
664,0.024270
666,0.025120
668,0.020920
670,0.019920
672,0.018970
674,0.018800
676,0.017460
678,0.017190
680,0.014080
682,0.014470
684,0.013600
686,0.012780
688,0.011900
690,0.012290
692,0.010630
694,0.011110
696,0.010260
698,0.009960
700,0.010510
702,0.009760
704,0.009030
706,0.008090
708,0.008070
710,0.007940
712,0.007390
714,0.006920
716,0.006830
718,0.006910
720,0.006170
722,0.005540
724,0.005390
726,0.005350
728,0.004210
730,0.004230
732,0.003770
734,0.004490
736,0.005070
738,0.004190
740,0.003630
742,0.004040
744,0.003300
746,0.003210
748,0.003490
750,0.003610
752,0.002730
754,0.002860
756,0.002500
758,0.002810
760,0.003840
762,0.002570
764,0.002310
766,0.002630
768,0.002860
770,0.002460
772,0.002600
774,0.001660
776,0.002580
778,0.001910
780,0.002150
