wavelength_nm,intensity
780.000000,0.017831
779.500000,0.018064
779.000000,0.018049
778.500000,0.017999
778.000000,0.018086
777.500000,0.018110
777.000000,0.018059
776.500000,0.017872
776.000000,0.017884
775.500000,0.018079
775.000000,0.018206
774.500000,0.018228
774.000000,0.018112
773.500000,0.018089
773.000000,0.018153
772.500000,0.018094
772.000000,0.017788
771.500000,0.017930
771.000000,0.018120
770.500000,0.017985
770.000000,0.018071
769.500000,0.018026
769.000000,0.018069
768.500000,0.018112
768.000000,0.018008
767.500000,0.018001
767.000000,0.018171
766.500000,0.018247
766.000000,0.018170
765.500000,0.018133
765.000000,0.017971
764.500000,0.018091
764.000000,0.018090
763.500000,0.018041
763.000000,0.018344
762.500000,0.018128
762.000000,0.017824
761.500000,0.017864
761.000000,0.017868
760.500000,0.017850
760.000000,0.017797
759.500000,0.017783
759.000000,0.017834
758.500000,0.017979
758.000000,0.018018
757.500000,0.017671
757.000000,0.017731
756.500000,0.017914
756.000000,0.017905
755.500000,0.017781
755.000000,0.017605
754.500000,0.017831
754.000000,0.018000
753.500000,0.018127
753.000000,0.018038
752.500000,0.017955
752.000000,0.017909
751.500000,0.017832
751.000000,0.017916
750.500000,0.017855
750.000000,0.017808
749.500000,0.017806
749.000000,0.017886
748.500000,0.017955
748.000000,0.018061
747.500000,0.018007
747.000000,0.017798
746.500000,0.017897
746.000000,0.018019
745.500000,0.017981
745.000000,0.018021
744.500000,0.018051
744.000000,0.017933
743.500000,0.017814
743.000000,0.017809
742.500000,0.017778
742.000000,0.017809
741.500000,0.017875
741.000000,0.017919
740.500000,0.018042
740.000000,0.017604
739.500000,0.017674
739.000000,0.017732
738.500000,0.017649
738.000000,0.017655
737.500000,0.017725
737.000000,0.017868
736.500000,0.017885
736.000000,0.017742
735.500000,0.017661
735.000000,0.017681
734.500000,0.017825
734.000000,0.017801
733.500000,0.017678
733.000000,0.017550
732.500000,0.017704
732.000000,0.017906
731.500000,0.017845
731.000000,0.017605
730.500000,0.017525
730.000000,0.017577
729.500000,0.017414
729.000000,0.017404
728.500000,0.017567
728.000000,0.017604
727.500000,0.017698
727.000000,0.017692
726.500000,0.017758
726.000000,0.017791
725.500000,0.017479
725.000000,0.017439
724.500000,0.017632
724.000000,0.017638
723.500000,0.017656
723.000000,0.017718
722.500000,0.017579
722.000000,0.017668
721.500000,0.017824
721.000000,0.017679
720.500000,0.017459
720.000000,0.017420
719.500000,0.017549
719.000000,0.017629
718.500000,0.017629
718.000000,0.017539
717.500000,0.017591
717.000000,0.017759
716.500000,0.017801
716.000000,0.017632
715.500000,0.017555
715.000000,0.017665
714.500000,0.017484
714.000000,0.017297
713.500000,0.017365
713.000000,0.017508
712.500000,0.017638
712.000000,0.017620
711.500000,0.017510
711.000000,0.017612
710.500000,0.017667
710.000000,0.017599
709.500000,0.017623
709.000000,0.017559
708.500000,0.017426
708.000000,0.017375
707.500000,0.017449
707.000000,0.017523
706.500000,0.017479
706.000000,0.017446
705.500000,0.017465
705.000000,0.017588
704.500000,0.017587
704.000000,0.017419
703.500000,0.017445
703.000000,0.017437
702.500000,0.017359
702.000000,0.017350
701.500000,0.017447
701.000000,0.017401
700.500000,0.017304
700.000000,0.017407
699.500000,0.017443
699.000000,0.017388
698.500000,0.017345
698.000000,0.017252
697.500000,0.017246
697.000000,0.017295
696.500000,0.017297
696.000000,0.017356
695.500000,0.017354
695.000000,0.017311
694.500000,0.017538
694.000000,0.017593
693.500000,0.017305
693.000000,0.017258
692.500000,0.017251
692.000000,0.017313
691.500000,0.017345
691.000000,0.017222
690.500000,0.017275
690.000000,0.017274
689.500000,0.017274
689.000000,0.017367
688.500000,0.017326
688.000000,0.017229
687.500000,0.017394
687.000000,0.017469
686.500000,0.017302
686.000000,0.017259
685.500000,0.017217
685.000000,0.017256
684.500000,0.017367
684.000000,0.017399
683.500000,0.017378
683.000000,0.017285
682.500000,0.017193
682.000000,0.017308
681.500000,0.017386
681.000000,0.017202
680.500000,0.017102
680.000000,0.017237
679.500000,0.017437
679.000000,0.017480
678.500000,0.017360
678.000000,0.017281
677.500000,0.017203
677.000000,0.017316
676.500000,0.017317
676.000000,0.017274
675.500000,0.017422
675.000000,0.017333
674.500000,0.017211
674.000000,0.017262
673.500000,0.017344
673.000000,0.017316
672.500000,0.017264
672.000000,0.017217
671.500000,0.017124
671.000000,0.017088
670.500000,0.017218
670.000000,0.017319
669.500000,0.017182
669.000000,0.017172
668.500000,0.017393
668.000000,0.017374
667.500000,0.017346
667.000000,0.017315
666.500000,0.017358
666.000000,0.017409
665.500000,0.017215
665.000000,0.017127
664.500000,0.017134
664.000000,0.017144
663.500000,0.017150
663.000000,0.017065
662.500000,0.017179
662.000000,0.017361
661.500000,0.017299
661.000000,0.017061
660.500000,0.017000
660.000000,0.017133
659.500000,0.017123
659.000000,0.017090
658.500000,0.017058
658.000000,0.017176
657.500000,0.017255
657.000000,0.017191
656.500000,0.017100
656.000000,0.017028
655.500000,0.017157
655.000000,0.017289
654.500000,0.017279
654.000000,0.017189
653.500000,0.017171
653.000000,0.017288
652.500000,0.017242
652.000000,0.017238
651.500000,0.017252
651.000000,0.017107
650.500000,0.017059
650.000000,0.017136
649.500000,0.017245
649.000000,0.017243
648.500000,0.017220
648.000000,0.017220
647.500000,0.017337
647.000000,0.017406
646.500000,0.017188
646.000000,0.017044
645.500000,0.017051
645.000000,0.017157
644.500000,0.017290
644.000000,0.017236
643.500000,0.017262
643.000000,0.017160
642.500000,0.016973
642.000000,0.017045
641.500000,0.017130
641.000000,0.017122
640.500000,0.017140
640.000000,0.017137
639.500000,0.017133
639.000000,0.017221
638.500000,0.017211
638.000000,0.017192
637.500000,0.017092
637.000000,0.016991
636.500000,0.017123
636.000000,0.017243
635.500000,0.017222
635.000000,0.017227
634.500000,0.017168
634.000000,0.017097
633.500000,0.017246
633.000000,0.017378
632.500000,0.017314
632.000000,0.017228
631.500000,0.017195
631.000000,0.017187
630.500000,0.017187
630.000000,0.017168
629.500000,0.017231
629.000000,0.017328
628.500000,0.017347
628.000000,0.017391
627.500000,0.017287
627.000000,0.017238
626.500000,0.017309
626.000000,0.017251
625.500000,0.017214
625.000000,0.017274
624.500000,0.017262
624.000000,0.017188
623.500000,0.017289
623.000000,0.017453
622.500000,0.017499
622.000000,0.017422
621.500000,0.017323
621.000000,0.017222
620.500000,0.017292
620.000000,0.017263
619.500000,0.017250
619.000000,0.017248
618.500000,0.017328
618.000000,0.017297
617.500000,0.017223
617.000000,0.017228
616.500000,0.017229
616.000000,0.017291
615.500000,0.017287
615.000000,0.017254
614.500000,0.017396
614.000000,0.017305
613.500000,0.017248
613.000000,0.017411
612.500000,0.017418
612.000000,0.017384
611.500000,0.017282
611.000000,0.017328
610.500000,0.017437
610.000000,0.017368
609.500000,0.017339
609.000000,0.017340
608.500000,0.017356
608.000000,0.017438
607.500000,0.017437
607.000000,0.017374
606.500000,0.017482
606.000000,0.017557
605.500000,0.017620
605.000000,0.017732
604.500000,0.017688
604.000000,0.017470
603.500000,0.017445
603.000000,0.017499
602.500000,0.017525
602.000000,0.017602
601.500000,0.017565
601.000000,0.017510
600.500000,0.017595
600.000000,0.017732
599.500000,0.017650
