wavelength_nm,intensity
365,0.007970
366,0.007660
367,0.007340
368,0.006700
369,0.006590
370,0.006470
371,0.006280
372,0.006300
373,0.006380
374,0.006300
375,0.006240
376,0.006430
377,0.006570
378,0.006560
379,0.006450
380,0.006330
381,0.006190
382,0.005970
383,0.005960
384,0.006070
385,0.006330
386,0.006560
387,0.006790
388,0.006810
389,0.006820
390,0.006830
391,0.006880
392,0.006780
393,0.006720
394,0.006720
395,0.006740
396,0.006620
397,0.006800
398,0.006890
399,0.007100
400,0.007260
401,0.007500
402,0.007690
403,0.008020
404,0.008520
405,0.008920
406,0.009260
407,0.009710
408,0.010130
409,0.010500
410,0.011130
411,0.011740
412,0.012390
413,0.013190
414,0.014010
415,0.014700
416,0.015580
417,0.016960
418,0.018450
419,0.019930
420,0.021610
421,0.023470
422,0.025170
423,0.027330
424,0.029470
425,0.032360
426,0.035920
427,0.039600
428,0.044120
429,0.049450
430,0.055190
431,0.060950
432,0.067830
433,0.076090
434,0.085140
435,0.094950
436,0.107430
437,0.121380
438,0.136140
439,0.151660
440,0.170080
441,0.188370
442,0.207840
443,0.228860
444,0.250660
445,0.274490
446,0.300250
447,0.326170
448,0.349950
449,0.377930
450,0.403730
451,0.429030
452,0.453720
453,0.480240
454,0.506990
455,0.531620
456,0.554300
457,0.580190
458,0.605080
459,0.627520
460,0.654080
461,0.679640
462,0.702380
463,0.724320
464,0.746040
465,0.763970
466,0.785820
467,0.809760
468,0.834230
469,0.854640
470,0.878450
471,0.897420
472,0.911030
473,0.924510
474,0.941520
475,0.948580
476,0.959180
477,0.968990
478,0.977500
479,0.980240
480,0.992410
481,0.996990
482,0.998430
483,0.997780
484,1.000000
485,0.995160
486,0.994770
487,0.992670
488,0.989790
489,0.984950
490,0.979720
491,0.968600
492,0.959310
493,0.956950
494,0.947140
495,0.935100
496,0.927650
497,0.919140
498,0.901350
499,0.886040
500,0.873220
501,0.853590
502,0.837500
503,0.819970
504,0.806100
505,0.790920
506,0.778100
507,0.763840
508,0.754020
509,0.739110
510,0.722620
511,0.709540
512,0.694880
513,0.676070
514,0.663300
515,0.650830
516,0.635300
517,0.623800
518,0.612760
519,0.598460
520,0.586030
521,0.572550
522,0.555710
523,0.540860
524,0.528500
525,0.516030
526,0.505170
527,0.493290
528,0.481450
529,0.468260
530,0.454780
531,0.441400
532,0.428270
533,0.416720
534,0.405350
535,0.393440
536,0.383540
537,0.376070
538,0.362960
539,0.351490
540,0.340590
541,0.326780
542,0.312290
543,0.303830
544,0.293460
