wavelength_nm,intensity
380,0.204436
382,0.218622
384,0.237399
386,0.258775
388,0.284816
390,0.310151
392,0.339738
394,0.367940
396,0.396896
398,0.427624
400,0.459931
402,0.494862
404,0.530546
406,0.568829
408,0.606287
410,0.642238
412,0.678407
414,0.715938
416,0.746690
418,0.777735
420,0.807103
422,0.835451
424,0.861904
426,0.887628
428,0.913596
430,0.932300
432,0.948867
434,0.960770
436,0.972818
438,0.984939
440,0.991012
442,0.994462
444,0.998227
446,1.000000
448,0.997498
450,0.994534
452,0.990696
454,0.978915
456,0.963417
458,0.952146
460,0.939442
462,0.923920
464,0.907960
466,0.891709
468,0.872544
470,0.852357
472,0.831418
474,0.810455
476,0.788860
478,0.766536
480,0.744115
482,0.720990
484,0.698278
486,0.675833
488,0.653606
490,0.631817
492,0.608206
494,0.583890
496,0.561591
498,0.540360
500,0.518644
502,0.497802
504,0.478029
506,0.459421
508,0.441689
510,0.422231
512,0.403551
514,0.387811
516,0.370564
518,0.350402
520,0.336046
522,0.324702
524,0.311244
526,0.297763
528,0.284403
530,0.271844
532,0.260451
534,0.249617
536,0.238881
538,0.228508
540,0.218427
542,0.210606
544,0.202225
546,0.193213
548,0.185926
550,0.179246
552,0.172541
554,0.165667
556,0.158719
558,0.152088
560,0.145845
562,0.142153
564,0.139262
566,0.134962
568,0.130396
570,0.125659
572,0.120971
574,0.116355
576,0.113222
578,0.110428
580,0.105546
582,0.101562
584,0.100250
586,0.098137
588,0.095198
590,0.092866
592,0.090582
594,0.089805
596,0.088299
598,0.085141
600,0.081765
602,0.078145
604,0.076153
606,0.074453
608,0.072704
610,0.071611
612,0.071999
614,0.071198
616,0.069497
618,0.066315
620,0.063133
622,0.063497
624,0.063060
626,0.061141
628,0.058493
630,0.055336
632,0.057425
634,0.060000
636,0.058761
638,0.056890
640,0.053927
642,0.052105
644,0.051012
646,0.050064
648,0.049166
650,0.048461
652,0.047805
654,0.047271
656,0.046178
658,0.044745
660,0.045741
662,0.046955
664,0.047149
666,0.045911
668,0.042364
670,0.043044
672,0.046153
674,0.043627
676,0.040494
678,0.038162
680,0.037117
682,0.038016
684,0.038453
686,0.038647
688,0.037579
690,0.036728
692,0.038040
694,0.038720
696,0.038526
698,0.037481
700,0.035975
702,0.034834
704,0.034008
706,0.034639
708,0.035708
710,0.037336
712,0.038283
714,0.038915
716,0.035660
718,0.033158
720,0.036291
722,0.037846
724,0.037166
726,0.039182
728,0.042534
730,0.037797
732,0.034469
734,0.040834
736,0.044137
738,0.043263
740,0.044089
742,0.045789
744,0.042728
746,0.040008
748,0.040591
750,0.040324
752,0.038842
754,0.040761
756,0.044356
758,0.041611
760,0.039813
762,0.044234
764,0.046372
766,0.045352
768,0.045716
770,0.046736
772,0.052202
774,0.057182
776,0.058178
778,0.058955
780,0.059465
