wavelength_nm,intensity
500.000000,0.001036
502.000000,0.002885
504.000000,0.004831
506.000000,0.006882
508.000000,0.009046
510.000000,0.011330
512.000000,0.013750
514.000000,0.016310
516.000000,0.019020
518.000000,0.021890
520.000000,0.024950
522.000000,0.028200
524.000000,0.031670
526.000000,0.035360
528.000000,0.039310
530.000000,0.043540
532.000000,0.048080
534.000000,0.052950
536.000000,0.058200
538.000000,0.063860
540.000000,0.069980
542.000000,0.076610
544.000000,0.083820
546.000000,0.091670
548.000000,0.100250
550.000000,0.109660
552.000000,0.120010
554.000000,0.131440
556.000000,0.144100
558.000000,0.158200
560.000000,0.173970
562.000000,0.191690
564.000000,0.211700
566.000000,0.234440
568.000000,0.260410
570.000000,0.290250
572.000000,0.324710
574.000000,0.364710
576.000000,0.411280
578.000000,0.465490
580.000000,0.528330
582.000000,0.600230
584.000000,0.680440
586.000000,0.765960
588.000000,0.850510
590.000000,0.924410
592.000000,0.976780
594.000000,1.000020
596.000000,0.993990
598.000000,0.965910
600.000000,0.926320
602.000000,0.884430
604.000000,0.846000
606.000000,0.813410
608.000000,0.786740
610.000000,0.764840
612.000000,0.746080
614.000000,0.728770
616.000000,0.711500
618.000000,0.693150
620.000000,0.673030
622.000000,0.650830
624.000000,0.626570
626.000000,0.600530
628.000000,0.573150
630.000000,0.544970
632.000000,0.516510
634.000000,0.488290
636.000000,0.460730
638.000000,0.434160
640.000000,0.408830
642.000000,0.384900
644.000000,0.362450
646.000000,0.341520
648.000000,0.322080
650.000000,0.304070
652.000000,0.287420
654.000000,0.272040
656.000000,0.257810
658.000000,0.244630
660.000000,0.232380
662.000000,0.220970
664.000000,0.210290
666.000000,0.200250
668.000000,0.190770
670.000000,0.181770
672.000000,0.173190
674.000000,0.164970
676.000000,0.157070
678.000000,0.149460
680.000000,0.142100
682.000000,0.134980
684.000000,0.128080
686.000000,0.121390
688.000000,0.114900
690.000000,0.108610
692.000000,0.102520
694.000000,0.096630
696.000000,0.090940
698.000000,0.085440
700.000000,0.080150
702.000000,0.075050
704.000000,0.070150
706.000000,0.065450
708.000000,0.060930
710.000000,0.056610
712.000000,0.052460
714.000000,0.048500
716.000000,0.044710
718.000000,0.041090
720.000000,0.037630
722.000000,0.034330
724.000000,0.031170
726.000000,0.028160
728.000000,0.025290
730.000000,0.022550
732.000000,0.019930
734.000000,0.017430
736.000000,0.015040
738.000000,0.012770
740.000000,0.010590
742.000000,0.008514
744.000000,0.006528
746.000000,0.004630
748.000000,0.002816
750.000000,0.001080
