wavelength_nm,intensity
380,0.021311
382,0.018639
384,0.016750
386,0.015405
388,0.014298
390,0.013277
392,0.011898
394,0.011371
396,0.012273
398,0.012579
400,0.012562
402,0.012443
404,0.012256
406,0.011354
408,0.010928
410,0.011149
412,0.011558
414,0.012086
416,0.011915
418,0.011728
420,0.011694
422,0.011626
424,0.011507
426,0.012664
428,0.014469
430,0.014162
432,0.013907
434,0.014418
436,0.014656
438,0.014588
440,0.014656
442,0.014809
444,0.015524
446,0.016035
448,0.015779
450,0.015984
452,0.016647
454,0.016920
456,0.017022
458,0.017277
460,0.017788
462,0.019013
464,0.019013
466,0.018009
468,0.018843
470,0.020103
472,0.021209
474,0.021941
476,0.021890
478,0.021788
480,0.021652
482,0.022009
484,0.022588
486,0.024511
488,0.026639
490,0.029175
492,0.032069
494,0.035184
496,0.040086
498,0.045499
500,0.052904
502,0.061823
504,0.073245
506,0.088122
508,0.105042
510,0.128992
512,0.155410
514,0.190492
516,0.228944
518,0.272128
520,0.326530
522,0.387196
524,0.451164
526,0.517260
528,0.585994
530,0.653792
532,0.720042
534,0.782035
536,0.843501
538,0.888030
540,0.929427
542,0.960084
544,0.983063
546,0.996630
548,1.000000
550,0.999370
552,0.989140
554,0.976272
556,0.956169
558,0.935606
560,0.914721
562,0.892898
564,0.870038
566,0.848914
568,0.827518
570,0.807925
572,0.788537
574,0.769558
576,0.751294
578,0.733063
580,0.718527
582,0.703598
584,0.688721
586,0.674202
588,0.659614
590,0.644805
592,0.628889
594,0.611136
596,0.593961
598,0.578896
600,0.563049
602,0.546504
604,0.531865
606,0.516971
608,0.498247
610,0.479693
612,0.462586
614,0.446262
616,0.430602
618,0.416099
620,0.401563
622,0.385341
624,0.369749
626,0.356216
628,0.343484
630,0.331262
632,0.320198
634,0.309100
636,0.299159
638,0.288469
640,0.276690
642,0.266154
644,0.256366
646,0.246596
648,0.237012
650,0.229046
652,0.221608
654,0.215190
656,0.207037
658,0.197828
660,0.188977
662,0.180755
664,0.175938
666,0.170474
668,0.163886
670,0.157554
672,0.151375
674,0.147852
676,0.144362
678,0.139511
680,0.134507
682,0.129400
684,0.124957
686,0.120872
688,0.117825
690,0.114591
692,0.109859
694,0.105621
696,0.102148
698,0.099408
700,0.096991
702,0.092258
704,0.087969
706,0.087526
708,0.086233
710,0.083765
712,0.080020
714,0.075628
716,0.072513
718,0.070317
720,0.072173
722,0.072666
724,0.071253
726,0.068956
728,0.066164
730,0.063883
732,0.061585
734,0.059253
736,0.059406
738,0.062947
740,0.063594
742,0.062845
744,0.059781
746,0.056717
748,0.054572
750,0.053517
752,0.053891
754,0.053381
756,0.052478
758,0.053346
760,0.054470
762,0.055951
764,0.056427
766,0.055457
768,0.053210
770,0.050249
772,0.052938
774,0.055389
776,0.054895
778,0.054078
780,0.052836
