wavelength_nm,intensity
365,0.000864
366,0.000837
367,0.000814
368,0.000770
369,0.000759
370,0.000780
371,0.000785
372,0.000795
373,0.000795
374,0.000797
375,0.000800
376,0.000803
377,0.000813
378,0.000811
379,0.000830
380,0.000819
381,0.000800
382,0.000793
383,0.000805
384,0.000787
385,0.000805
386,0.000854
387,0.000875
388,0.000888
389,0.000937
390,0.000955
391,0.000968
392,0.001010
393,0.001050
394,0.001070
395,0.001130
396,0.001210
397,0.001300
398,0.001440
399,0.001650
400,0.001850
401,0.002090
402,0.002450
403,0.002870
404,0.003400
405,0.004050
406,0.004900
407,0.005990
408,0.007400
409,0.009370
410,0.012070
411,0.015530
412,0.019940
413,0.025330
414,0.031530
415,0.038780
416,0.046980
417,0.056520
418,0.068660
419,0.083290
420,0.100850
421,0.121540
422,0.145390
423,0.171510
424,0.200990
425,0.233130
426,0.268260
427,0.305490
428,0.345230
429,0.385820
430,0.427690
431,0.471130
432,0.516060
433,0.561260
434,0.607150
435,0.651240
436,0.693670
437,0.733770
438,0.770120
439,0.802030
440,0.831750
441,0.857980
442,0.880920
443,0.901940
444,0.922190
445,0.938700
446,0.953630
447,0.966440
448,0.976540
449,0.984390
450,0.990520
451,0.994110
452,0.996440
453,0.998640
454,0.999510
455,1.000000
456,0.998510
457,0.995740
458,0.991720
459,0.985610
460,0.979310
461,0.974670
462,0.969000
463,0.962180
464,0.955390
465,0.947930
466,0.939050
467,0.929470
468,0.918900
469,0.908020
470,0.896560
471,0.883560
472,0.870580
473,0.856600
474,0.842320
475,0.826920
476,0.812210
477,0.797710
478,0.783890
479,0.770750
480,0.757610
481,0.743570
482,0.729640
483,0.716780
484,0.703230
485,0.690550
486,0.679150
487,0.667230
488,0.654980
489,0.642030
490,0.628920
491,0.615780
492,0.602640
493,0.588710
494,0.575840
495,0.563220
496,0.549590
497,0.536260
498,0.523340
499,0.511330
500,0.500010
501,0.488340
502,0.477260
503,0.466890
504,0.455540
505,0.444490
506,0.434390
507,0.424130
508,0.413730
509,0.403800
510,0.393370
511,0.383570
512,0.373610
513,0.364130
514,0.354140
515,0.344750
516,0.335030
517,0.325550
518,0.315830
519,0.307250
520,0.298430
521,0.289690
522,0.282030
523,0.274590
524,0.267070
525,0.259710
526,0.252440
527,0.245050
528,0.237830
529,0.230550
530,0.223790
531,0.217710
532,0.211660
533,0.206040
534,0.200550
535,0.194720
536,0.188960
537,0.183150
538,0.177480
539,0.171940
540,0.166620
541,0.162000
542,0.157550
543,0.153230
544,0.148750
545,0.145090
546,0.141060
547,0.137050
548,0.133190
549,0.129840
550,0.126010
551,0.122510
552,0.118940
553,0.115790
554,0.112340
555,0.109240
556,0.105840
557,0.102260
558,0.098560
559,0.095060
560,0.091760
561,0.089130
562,0.087100
563,0.084740
564,0.082680
565,0.080810
566,0.078350
567,0.076150
568,0.074390
569,0.072390
570,0.070290
571,0.068560
572,0.066740
573,0.065030
574,0.063630
575,0.062270
576,0.060700
577,0.059280
578,0.057900
579,0.056440
580,0.055090
581,0.053930
582,0.052630
583,0.051230
584,0.050280
585,0.048810
586,0.047420
587,0.045940
588,0.044530
589,0.043060
590,0.041840
591,0.040710
592,0.039750
593,0.038810
594,0.037520
595,0.036450
