wavelength_nm,n,k
400.000000,2.023775,
410.000000,1.997768,
420.000000,1.957841,
430.000000,1.924213,
440.000000,1.895412,
450.000000,1.874455,
460.000000,1.856820,
470.000000,1.840828,
480.000000,1.829774,
490.000000,1.818720,
500.000000,1.810008,
510.000000,1.802383,
520.000000,1.794975,
530.000000,1.789191,
540.000000,1.783407,
550.000000,1.778227,
560.000000,1.773532,
570.000000,1.768837,
580.000000,1.765138,
590.000000,1.761448,
600.000000,1.758188,
610.000000,1.755505,
620.000000,1.752821,
630.000000,1.750140,
640.000000,1.747460,
650.000000,1.746840,
660.000000,1.746840,
670.000000,1.746840,
680.000000,1.746840,
690.000000,1.746840,
700.000000,1.746840,
710.000000,1.746840,
720.000000,1.746840,
730.000000,1.746840,
740.000000,1.746840,
750.000000,1.746840,
760.000000,1.746840,
770.000000,1.746840,
780.000000,1.746840,
790.000000,1.746840,
