wavelength_nm,n,k
400.920000,1.725000,0.000001
402.510000,1.723400,0.000000
404.090000,1.721800,0.000000
405.680000,1.720300,0.000000
407.260000,1.718800,0.000000
408.850000,1.717300,0.000000
410.440000,1.715900,0.000000
412.020000,1.714600,0.000000
413.610000,1.713300,0.000000
415.200000,1.712000,0.000000
416.780000,1.710800,0.000000
418.370000,1.709500,0.000000
419.950000,1.708400,0.000000
421.540000,1.707200,0.000000
423.130000,1.706100,0.000000
424.710000,1.705000,0.000000
426.300000,1.703900,0.000000
427.890000,1.702800,0.000000
429.470000,1.701800,0.000000
431.060000,1.700800,0.000000
432.640000,1.699800,0.000000
434.230000,1.698900,0.000000
435.820000,1.697900,0.000000
437.400000,1.697000,0.000000
438.990000,1.696100,0.000000
440.570000,1.695200,0.000000
442.160000,1.694400,0.000000
443.750000,1.693500,0.000000
445.330000,1.692700,0.000000
446.920000,1.691800,0.000000
448.500000,1.691000,0.000000
450.090000,1.690300,0.000000
451.670000,1.689500,0.000000
453.260000,1.688700,0.000000
454.850000,1.688000,0.000000
456.430000,1.687200,0.000000
458.020000,1.686500,0.000000
459.600000,1.685800,0.000000
461.190000,1.685100,0.000000
462.770000,1.684400,0.000000
464.360000,1.683800,0.000000
465.950000,1.683100,0.000000
467.530000,1.682400,0.000000
469.120000,1.681800,0.000000
470.700000,1.681200,0.000000
472.290000,1.680600,0.000000
473.870000,1.679900,0.000000
475.460000,1.679300,0.000000
477.040000,1.678700,0.000000
478.630000,1.678200,0.000000
480.210000,1.677600,0.000000
481.800000,1.677000,0.000000
483.390000,1.676500,0.000000
484.970000,1.675900,0.000000
486.560000,1.675400,0.000000
488.140000,1.674800,0.000000
489.730000,1.674300,0.000000
491.310000,1.673800,0.000000
492.900000,1.673300,0.000000
494.480000,1.672800,0.000000
496.070000,1.672300,0.000000
497.650000,1.671800,0.000000
499.240000,1.671300,0.000000
500.820000,1.670800,0.000000
502.410000,1.670400,0.000000
503.990000,1.669900,0.000000
505.580000,1.669400,0.000000
507.160000,1.669000,0.000000
508.750000,1.668500,0.000000
510.330000,1.668100,0.000000
511.910000,1.667700,0.000000
513.500000,1.667200,0.000000
515.080000,1.666800,0.000000
516.670000,1.666400,0.000000
518.250000,1.666000,0.000000
519.840000,1.665600,0.000000
521.420000,1.665200,0.000000
523.010000,1.664800,0.000000
524.590000,1.664400,0.000000
526.180000,1.664000,0.000000
527.760000,1.663600,0.000000
529.340000,1.663200,0.000000
530.930000,1.662800,0.000000
532.510000,1.662500,0.000000
534.100000,1.662100,0.000000
535.680000,1.661700,0.000000
537.260000,1.661400,0.000000
538.850000,1.661000,0.000000
540.430000,1.660700,0.000000
542.020000,1.660300,0.000000
543.600000,1.660000,0.000000
545.180000,1.659700,0.000000
546.770000,1.659300,0.000000
548.350000,1.659000,0.000000
549.940000,1.658700,0.000000
551.520000,1.658300,0.000000
553.100000,1.658000,0.000000
554.690000,1.657700,0.000000
556.270000,1.657400,0.000000
557.850000,1.657100,0.000000
559.440000,1.656800,0.000000
561.020000,1.656500,0.000000
562.600000,1.656200,0.000000
564.190000,1.655900,0.000000
565.770000,1.655600,0.000000
567.350000,1.655300,0.000000
568.940000,1.655000,0.000000
570.520000,1.654700,0.000000
572.100000,1.654400,0.000000
573.690000,1.654200,0.000000
575.270000,1.653900,0.000000
576.850000,1.653600,0.000000
578.430000,1.653400,0.000000
580.020000,1.653100,0.000000
581.600000,1.652800,0.000000
583.180000,1.652600,0.000000
584.770000,1.652300,0.000000
586.350000,1.652000,0.000000
587.930000,1.651800,0.000000
589.510000,1.651500,0.000000
591.090000,1.651300,0.000000
592.680000,1.651000,0.000000
594.260000,1.650800,0.000000
595.840000,1.650600,0.000000
597.420000,1.650300,0.000000
599.010000,1.650100,0.000000
600.590000,1.649800,0.000000
602.170000,1.649600,0.000000
603.750000,1.649400,0.000000
605.330000,1.649200,0.000000
606.920000,1.648900,0.000000
608.500000,1.648700,0.000000
610.080000,1.648500,0.000000
611.660000,1.648300,0.000000
613.240000,1.648100,0.000000
614.820000,1.647800,0.000000
616.410000,1.647600,0.000000
617.990000,1.647400,0.000000
619.570000,1.647200,0.000000
621.150000,1.647000,0.000000
622.730000,1.646800,0.000000
624.310000,1.646600,0.000000
625.890000,1.646400,0.000000
627.470000,1.646200,0.000000
629.060000,1.646000,0.000000
630.640000,1.645800,0.000000
632.220000,1.645600,0.000000
633.800000,1.645400,0.000000
635.380000,1.645200,0.000000
636.960000,1.645000,0.000000
638.540000,1.644800,0.000000
640.120000,1.644600,0.000000
641.700000,1.644500,0.000000
643.280000,1.644300,0.000000
644.860000,1.644100,0.000000
646.440000,1.643900,0.000000
648.020000,1.643700,0.000000
649.600000,1.643600,0.000000
651.180000,1.643400,0.000000
652.760000,1.643200,0.000000
654.340000,1.643000,0.000000
655.920000,1.642900,0.000000
657.500000,1.642700,0.000000
659.080000,1.642500,0.000000
660.660000,1.642400,0.000000
662.240000,1.642200,0.000000
663.820000,1.642000,0.000000
665.400000,1.641900,0.000000
666.980000,1.641700,0.000000
668.560000,1.641500,0.000000
670.140000,1.641400,0.000000
671.720000,1.641200,0.000000
673.300000,1.641100,0.000000
674.880000,1.640900,0.000000
676.450000,1.640800,0.000000
678.030000,1.640600,0.000000
679.610000,1.640500,0.000000
681.190000,1.640300,0.000000
682.770000,1.640200,0.000000
684.350000,1.640000,0.000000
685.930000,1.639900,0.000000
687.510000,1.639700,0.000000
689.080000,1.639600,0.000000
690.660000,1.639400,0.000000
692.240000,1.639300,0.000000
693.820000,1.639100,0.000000
695.400000,1.639000,0.000000
696.970000,1.638900,0.000000
698.550000,1.638700,0.000000
700.130000,1.638600,0.000000
701.710000,1.638500,0.000000
703.290000,1.638300,0.000000
704.860000,1.638200,0.000000
706.440000,1.638100,0.000000
708.020000,1.637900,0.000000
709.600000,1.637800,0.000000
711.170000,1.637700,0.000000
712.750000,1.637500,0.000000
714.330000,1.637400,0.000000
715.900000,1.637300,0.000000
717.480000,1.637200,0.000000
719.060000,1.637000,0.000000
720.630000,1.636900,0.000000
722.210000,1.636800,0.000000
723.790000,1.636700,0.000000
725.360000,1.636500,0.000000
726.940000,1.636400,0.000000
728.520000,1.636300,0.000000
