wavelength_nm,n,k
400.920000,1.616400,0.022830
402.510000,1.614100,0.022630
404.090000,1.612000,0.022440
405.680000,1.609900,0.022250
407.260000,1.608000,0.022070
408.850000,1.606200,0.021890
410.440000,1.604500,0.021700
412.020000,1.602900,0.021510
413.610000,1.601300,0.021330
415.200000,1.599800,0.021130
416.780000,1.598400,0.020940
418.370000,1.597000,0.020740
419.950000,1.595600,0.020540
421.540000,1.594300,0.020340
423.130000,1.593100,0.020130
424.710000,1.591800,0.019930
426.300000,1.590700,0.019720
427.890000,1.589500,0.019510
429.470000,1.588400,0.019300
431.060000,1.587300,0.019090
432.640000,1.586300,0.018880
434.230000,1.585200,0.018670
435.820000,1.584200,0.018450
437.400000,1.583200,0.018240
438.990000,1.582300,0.018030
440.570000,1.581300,0.017810
442.160000,1.580400,0.017600
443.750000,1.579500,0.017390
445.330000,1.578700,0.017170
446.920000,1.577800,0.016960
448.500000,1.577000,0.016750
450.090000,1.576100,0.016540
451.670000,1.575300,0.016330
453.260000,1.574500,0.016120
454.850000,1.573700,0.015920
456.430000,1.573000,0.015710
458.020000,1.572200,0.015500
459.600000,1.571500,0.015300
461.190000,1.570700,0.015100
462.770000,1.570000,0.014900
464.360000,1.569300,0.014700
465.950000,1.568600,0.014500
467.530000,1.567900,0.014300
469.120000,1.567200,0.014100
470.700000,1.566600,0.013910
472.290000,1.565900,0.013720
473.870000,1.565300,0.013530
475.460000,1.564600,0.013340
477.040000,1.564000,0.013150
478.630000,1.563400,0.012970
480.210000,1.562800,0.012780
481.800000,1.562200,0.012600
483.390000,1.561600,0.012420
484.970000,1.561000,0.012250
486.560000,1.560400,0.012070
488.140000,1.559800,0.011900
489.730000,1.559200,0.011730
491.310000,1.558700,0.011560
492.900000,1.558100,0.011390
494.480000,1.557600,0.011220
496.070000,1.557000,0.011060
497.650000,1.556500,0.010900
499.240000,1.556000,0.010740
500.820000,1.555400,0.010580
502.410000,1.554900,0.010420
503.990000,1.554400,0.010270
505.580000,1.553900,0.010120
507.160000,1.553400,0.009970
508.750000,1.552900,0.009820
510.330000,1.552400,0.009670
511.910000,1.551900,0.009530
513.500000,1.551400,0.009380
515.080000,1.551000,0.009240
516.670000,1.550500,0.009100
518.250000,1.550000,0.008970
519.840000,1.549600,0.008830
521.420000,1.549100,0.008700
523.010000,1.548600,0.008570
524.590000,1.548200,0.008440
526.180000,1.547800,0.008310
527.760000,1.547300,0.008190
529.340000,1.546900,0.008060
530.930000,1.546500,0.007940
532.510000,1.546000,0.007820
534.100000,1.545600,0.007700
535.680000,1.545200,0.007590
537.260000,1.544800,0.007470
538.850000,1.544400,0.007360
540.430000,1.544000,0.007250
542.020000,1.543600,0.007140
543.600000,1.543200,0.007030
545.180000,1.542800,0.006920
546.770000,1.542400,0.006820
548.350000,1.542000,0.006710
549.940000,1.541600,0.006610
551.520000,1.541200,0.006510
553.100000,1.540900,0.006410
554.690000,1.540500,0.006310
556.270000,1.540100,0.006220
557.850000,1.539800,0.006120
559.440000,1.539400,0.006030
561.020000,1.539000,0.005940
562.600000,1.538700,0.005850
564.190000,1.538300,0.005760
565.770000,1.538000,0.005670
567.350000,1.537600,0.005590
568.940000,1.537300,0.005500
570.520000,1.537000,0.005420
572.100000,1.536600,0.005340
573.690000,1.536300,0.005260
575.270000,1.536000,0.005180
576.850000,1.535600,0.005100
578.430000,1.535300,0.005020
580.020000,1.535000,0.004950
581.600000,1.534700,0.004870
583.180000,1.534400,0.004800
584.770000,1.534100,0.004730
586.350000,1.533700,0.004660
587.930000,1.533400,0.004590
589.510000,1.533100,0.004520
591.090000,1.532800,0.004450
592.680000,1.532500,0.004380
594.260000,1.532200,0.004320
595.840000,1.531900,0.004250
597.420000,1.531700,0.004190
599.010000,1.531400,0.004130
600.590000,1.531100,0.004070
602.170000,1.530800,0.004010
603.750000,1.530500,0.003950
605.330000,1.530200,0.003890
606.920000,1.530000,0.003830
608.500000,1.529700,0.003770
610.080000,1.529400,0.003720
611.660000,1.529200,0.003660
613.240000,1.528900,0.003610
614.820000,1.528600,0.003560
616.410000,1.528400,0.003500
617.990000,1.528100,0.003450
