wavelength_nm,n,k
300,1.512923,0.956012
310,1.323000,0.647000
320,0.793900,0.532757
330,0.389839,0.790575
340,0.257452,1.127982
350,0.219848,1.357565
360,0.195389,1.536074
370,0.192842,1.639180
380,0.196788,1.722297
390,0.187886,1.838805
400,0.173000,1.950000
410,0.172904,2.071446
420,0.166548,2.182026
430,0.159444,2.283458
440,0.157482,2.374991
450,0.151009,2.471494
460,0.143413,2.567443
470,0.136448,2.658754
480,0.131627,2.746739
490,0.130552,2.831281
500,0.129956,2.918614
510,0.129944,3.010720
520,0.129813,3.097869
530,0.129341,3.178425
540,0.128641,3.257563
550,0.124808,3.340449
560,0.121231,3.421340
570,0.120210,3.501293
580,0.120577,3.579969
590,0.120983,3.656954
600,0.124336,3.733016
610,0.127725,3.807587
620,0.131028,3.880854
630,0.133844,3.965357
640,0.136602,4.048097
650,0.139306,4.129178
660,0.139946,4.210904
670,0.139920,4.291836
680,0.139943,4.371271
690,0.140243,4.449180
700,0.142256,4.524953
710,0.144241,4.599478
720,0.146201,4.672815
730,0.147912,4.745567
740,0.146692,4.824403
750,0.145550,4.901974
760,0.144478,4.978338
770,0.143471,5.053551
780,0.143171,5.131901
790,0.143525,5.213082
800,0.143902,5.293018
810,0.144299,5.371766
820,0.144716,5.449377
830,0.146091,5.526927
840,0.149257,5.605374
850,0.152366,5.682739
860,0.155419,5.759065
870,0.158419,5.834392
880,0.161369,5.908760
890,0.165399,5.982174
900,0.170774,6.054665
910,0.176047,6.126299
920,0.181222,6.197106
930,0.186304,6.267116
940,0.191297,6.336353
950,0.196205,6.404843
960,0.200347,6.476259
970,0.204025,6.549017
980,0.207647,6.620975
990,0.211216,6.692159
1000,0.214733,6.762595
1010,0.218201,6.832304
1020,0.221621,6.901310
1030,0.224996,6.969633
1040,0.227955,7.042901
1050,0.230719,7.117792
1060,0.233451,7.191903
1070,0.236152,7.265259
1080,0.238823,7.337881
1090,0.241465,7.409791
1100,0.244078,7.481011
1110,0.246664,7.551558
1120,0.249224,7.621453
1130,0.253249,7.692895
1140,0.260665,7.768727
1150,0.267962,7.843828
1160,0.275146,7.918220
1170,0.282221,7.991922
1180,0.289190,8.064953
1190,0.296058,8.137331
1200,0.302828,8.209073
1210,0.309504,8.280196
1220,0.316090,8.350714
1230,0.322587,8.420644
1240,0.329000,8.490000
1250,0.346137,8.213284
1260,0.364909,7.927027
1270,0.376551,7.807118
1280,0.379636,7.861074
1290,0.382695,7.914661
1300,0.365638,8.596259
1310,0.368891,8.642602
1320,0.392314,8.065219
1330,0.395437,8.117223
1340,0.398537,8.168896
1350,0.401674,8.220764
1360,0.405028,8.274371
1370,0.408356,8.327634
1380,0.411645,8.370000
1390,0.414871,8.369998
1400,0.418097,8.369999
1410,0.421305,8.380191
1420,0.424349,8.481426
1430,0.427380,8.581468
1440,0.430398,8.680357
1450,0.433613,8.742686
1460,0.436857,8.795753
1470,0.440078,8.848501
1480,0.443462,8.902444
1490,0.447098,8.958308
1500,0.450706,9.013826
1510,0.454287,9.069004
1520,0.457982,9.131050
1530,0.461684,9.194465
1540,0.465356,9.257445
1550,0.469000,9.320000
1560,0.473048,9.383124
1570,0.477064,9.445827
1580,0.481048,9.508116
1590,0.485000,9.570000
1600,0.488950,9.636551
1610,0.492868,9.702646
1620,0.496757,9.768293
1630,0.500616,9.833503
1640,0.504730,9.893738
1650,0.508845,9.953106
1660,0.512930,10.012120
1670,0.516984,10.070790
1680,0.520944,10.132340
1690,0.524810,10.196700
1700,0.528649,10.260670
