wavelength_nm,n,k
300.000000,2.203000,2.083000
306.900000,2.233000,2.134000
313.800000,2.357000,2.296000
320.700000,2.631000,2.435000
327.600000,3.024000,2.451000
334.500000,3.419000,2.327000
341.400000,3.795000,1.971000
348.300000,3.978000,1.639000
355.200000,4.017000,1.206000
362.100000,3.963000,0.831000
369.000000,3.832000,0.579000
375.900000,3.671000,0.415000
382.800000,3.510000,0.307000
389.700000,3.380000,0.211000
396.600000,3.266000,0.159000
403.500000,3.181000,0.134000
410.400000,3.107000,0.117000
417.300000,3.034000,0.097000
424.200000,2.978000,0.086000
431.100000,2.932000,0.078000
438.000000,2.885000,0.067000
444.900000,2.844000,0.064000
451.800000,2.808000,0.061000
458.700000,2.776000,0.058000
465.600000,2.750000,0.058000
472.500000,2.729000,0.057000
479.400000,2.709000,0.054000
486.300000,2.691000,0.053000
493.200000,2.675000,0.053000
500.100000,2.662000,0.050000
507.000000,2.650000,0.048000
513.900000,2.638000,0.048000
520.800000,2.627000,0.049000
527.700000,2.615000,0.049000
534.600000,2.604000,0.049000
541.500000,2.593000,0.049000
548.400000,2.585000,0.049000
555.300000,2.577000,0.048000
562.200000,2.571000,0.048000
569.100000,2.564000,0.049000
576.000000,2.558000,0.049000
582.900000,2.551000,0.049000
589.800000,2.544000,0.046000
596.700000,2.537000,0.042000
603.600000,2.531000,0.039000
610.500000,2.524000,0.037000
617.400000,2.519000,0.036000
624.300000,2.515000,0.034000
631.200000,2.511000,0.030000
638.100000,2.508000,0.027000
645.000000,2.503000,0.025000
651.900000,2.498000,0.024000
658.800000,2.493000,0.024000
665.700000,2.488000,0.025000
672.600000,2.484000,0.025000
679.500000,2.480000,0.024000
686.400000,2.477000,0.023000
693.300000,2.474000,0.021000
700.200000,2.471000,0.020000
707.100000,2.467000,0.019000
714.000000,2.464000,0.018000
720.900000,2.461000,0.017000
727.800000,2.457000,0.016000
734.700000,2.454000,0.013000
741.600000,2.451000,0.011000
748.500000,2.447000,0.008422
755.400000,2.445000,0.006206
762.300000,2.442000,0.004500
769.200000,2.439000,0.003276
776.100000,2.437000,0.002425
783.000000,2.434000,0.001845
789.900000,2.432000,0.001446
796.800000,2.430000,0.001144
803.700000,2.427000,0.000884
810.600000,2.425000,0.000656
817.500000,2.423000,0.000461
824.400000,2.421000,0.000296
831.300000,2.419000,0.000163
838.200000,2.417000,0.000058
845.100000,2.415000,0.000000
852.000000,2.413000,0.000000
858.900000,2.411000,0.000000
865.800000,2.409000,0.000000
872.700000,2.407000,0.000000
879.600000,2.405000,0.000000
886.500000,2.403000,0.000000
893.400000,2.402000,0.000000
900.300000,2.400000,0.000000
907.200000,2.398000,0.000003
914.100000,2.396000,0.000021
921.000000,2.395000,0.000035
927.900000,2.393000,0.000046
934.800000,2.391000,0.000053
941.700000,2.390000,0.000057
948.600000,2.389000,0.000058
955.500000,2.387000,0.000056
962.400000,2.386000,0.000052
969.300000,2.385000,0.000045
976.200000,2.383000,0.000037
983.100000,2.382000,0.000026
990.000000,2.381000,0.000013
