wavelength_nm,n,k
400.920000,1.828700,0.137420
402.510000,1.832600,0.133820
404.090000,1.836200,0.129890
405.680000,1.839400,0.125680
407.260000,1.842300,0.121210
408.850000,1.844800,0.116540
410.440000,1.846900,0.111720
412.020000,1.848700,0.106780
413.610000,1.850000,0.101770
415.200000,1.851000,0.096719
416.780000,1.851600,0.091669
418.370000,1.851900,0.086651
419.950000,1.851800,0.081695
421.540000,1.851400,0.076828
423.130000,1.850700,0.072073
424.710000,1.849800,0.067451
426.300000,1.848600,0.062979
427.890000,1.847200,0.058671
429.470000,1.845500,0.054539
431.060000,1.843700,0.050591
432.640000,1.841800,0.046833
434.230000,1.839600,0.043270
435.820000,1.837400,0.039903
437.400000,1.835100,0.036731
438.990000,1.832700,0.033754
440.570000,1.830200,0.030968
442.160000,1.827700,0.028367
443.750000,1.825200,0.025948
445.330000,1.822600,0.023702
446.920000,1.820000,0.021624
448.500000,1.817500,0.019705
450.090000,1.814900,0.017937
451.670000,1.812400,0.016312
453.260000,1.809900,0.014822
454.850000,1.807400,0.013458
456.430000,1.805000,0.012212
458.020000,1.802700,0.011076
459.600000,1.800300,0.010042
461.190000,1.798100,0.009102
462.770000,1.795800,0.008249
464.360000,1.793700,0.007476
465.950000,1.791600,0.006777
467.530000,1.789500,0.006144
469.120000,1.787500,0.005572
470.700000,1.785600,0.005057
472.290000,1.783700,0.004592
473.870000,1.781800,0.004172
475.460000,1.780100,0.003795
477.040000,1.778300,0.003455
478.630000,1.776700,0.003149
480.210000,1.775000,0.002873
481.800000,1.773500,0.002625
483.390000,1.771900,0.002401
484.970000,1.770400,0.002200
486.560000,1.769000,0.002019
488.140000,1.767600,0.001855
489.730000,1.766200,0.001707
491.310000,1.764900,0.001574
492.900000,1.763600,0.001453
494.480000,1.762300,0.001344
496.070000,1.761100,0.001245
497.650000,1.759900,0.001155
499.240000,1.758700,0.001073
500.820000,1.757600,0.000998
502.410000,1.756500,0.000930
503.990000,1.755400,0.000868
505.580000,1.754300,0.000812
507.160000,1.753300,0.000759
508.750000,1.752300,0.000712
510.330000,1.751300,0.000668
511.910000,1.750400,0.000627
513.500000,1.749400,0.000590
515.080000,1.748500,0.000555
516.670000,1.747600,0.000523
518.250000,1.746700,0.000493
519.840000,1.745900,0.000465
521.420000,1.745000,0.000439
523.010000,1.744200,0.000415
524.590000,1.743400,0.000393
526.180000,1.742600,0.000372
527.760000,1.741800,0.000352
529.340000,1.741000,0.000334
530.930000,1.740300,0.000316
532.510000,1.739500,0.000300
534.100000,1.738800,0.000285
535.680000,1.738100,0.000270
537.260000,1.737400,0.000257
538.850000,1.736700,0.000244
540.430000,1.736000,0.000232
542.020000,1.735300,0.000220
543.600000,1.734700,0.000209
545.180000,1.734000,0.000199
546.770000,1.733400,0.000189
548.350000,1.732800,0.000180
549.940000,1.732200,0.000172
551.520000,1.731600,0.000163
553.100000,1.731000,0.000155
554.690000,1.730400,0.000148
556.270000,1.729800,0.000141
557.850000,1.729200,0.000134
559.440000,1.728700,0.000128
561.020000,1.728100,0.000122
562.600000,1.727600,0.000116
564.190000,1.727000,0.000111
565.770000,1.726500,0.000106
567.350000,1.726000,0.000101
568.940000,1.725500,0.000096
570.520000,1.725000,0.000092
572.100000,1.724500,0.000087
573.690000,1.724000,0.000083
