wavelength_nm,n,k
160.000000,0.076500,1.700000
165.300000,0.082000,1.810000
171.000000,0.088000,1.900000
177.100000,0.094600,1.980000
183.700000,0.102000,2.070000
190.700000,0.111000,2.170000
198.400000,0.119000,2.280000
206.600000,0.130000,2.390000
215.600000,0.141000,2.510000
225.400000,0.155000,2.640000
236.200000,0.172000,2.790000
248.000000,0.190000,2.940000
261.000000,0.209000,3.110000
275.500000,0.233000,3.300000
291.700000,0.261000,3.510000
300.000000,0.276000,3.610000
310.000000,0.294000,3.740000
317.900000,0.310000,3.840000
326.300000,0.326000,3.950000
335.100000,0.344000,4.060000
344.400000,0.364000,4.170000
350.000000,0.375000,4.240000
354.200000,0.385000,4.300000
364.700000,0.407000,4.430000
375.700000,0.432000,4.560000
387.500000,0.460000,4.710000
400.000000,0.490000,4.860000
413.300000,0.523000,5.020000
427.500000,0.558000,5.200000
442.800000,0.598000,5.380000
450.000000,0.618000,5.470000
459.200000,0.644000,5.580000
476.900000,0.695000,5.800000
495.900000,0.775000,6.030000
500.000000,0.769000,6.080000
506.100000,0.789000,6.150000
516.600000,0.826000,6.280000
527.600000,0.867000,6.420000
539.100000,0.912000,6.550000
550.000000,0.958000,6.680000
551.000000,0.963000,6.700000
563.600000,1.020000,6.850000
576.700000,1.080000,7.000000
590.400000,1.150000,7.150000
600.000000,1.200000,7.260000
604.800000,1.220000,7.310000
619.900000,1.300000,7.480000
635.800000,1.390000,7.650000
650.000000,1.470000,7.790000
652.600000,1.490000,7.820000
670.200000,1.600000,8.010000
688.800000,1.740000,8.210000
700.000000,1.830000,8.310000
708.500000,1.910000,8.390000
729.300000,2.140000,8.570000
750.000000,2.400000,8.620000
751.400000,2.410000,8.620000
774.900000,2.630000,8.600000
799.900000,2.800000,8.450000
825.000000,2.750000,8.310000
826.600000,2.740000,8.310000
850.000000,2.610000,8.220000
855.100000,2.580000,8.210000
875.000000,2.380000,8.180000
885.600000,2.240000,8.210000
900.000000,2.060000,8.300000
918.400000,1.860000,8.440000
925.000000,1.770000,8.490000
950.000000,1.490000,8.880000
953.700000,1.470000,8.950000
991.900000,1.370000,9.490000
1000.000000,1.350000,9.580000
1033.000000,1.260000,10.000000
1078.000000,1.210000,10.600000
1127.000000,1.200000,11.200000
1181.000000,1.210000,11.800000
1200.000000,1.210000,12.000000
1240.000000,1.210000,12.500000
1305.000000,1.230000,13.200000
1378.000000,1.260000,14.000000
1459.000000,1.330000,14.900000
1500.000000,1.380000,15.400000
1550.000000,1.440000,16.000000
1653.000000,1.590000,17.100000
1771.000000,1.770000,18.300000
1907.000000,1.990000,19.800000
2000.000000,2.150000,20.700000
2065.000000,2.270000,21.400000
2254.000000,2.620000,23.300000
2480.000000,3.070000,25.600000
2755.000000,3.680000,28.300000
3000.000000,4.240000,30.600000
3100.000000,4.450000,31.500000
3306.000000,4.880000,33.400000
3542.000000,5.440000,35.600000
3815.000000,6.000000,38.100000
4000.000000,6.430000,39.800000
4133.000000,6.760000,41.000000
4509.000000,7.610000,44.300000
4959.000000,8.590000,48.200000
5000.000000,8.670000,50.000000
