wavelength_nm,n,k
350.000000,2.807900,0.838760
351.260000,2.810200,0.840610
352.520000,2.814800,0.844100
353.780000,2.821500,0.848880
355.050000,2.829800,0.854530
356.310000,2.839300,0.860670
357.570000,2.849200,0.867000
358.830000,2.858800,0.873340
360.090000,2.867700,0.879620
361.350000,2.875700,0.885820
362.610000,2.882900,0.892000
363.880000,2.889500,0.898210
365.140000,2.896000,0.904520
366.400000,2.902500,0.910960
367.660000,2.909300,0.917550
368.920000,2.916200,0.924270
370.180000,2.923300,0.931070
371.440000,2.930300,0.937910
372.710000,2.937000,0.944700
373.970000,2.943400,0.951410
375.230000,2.949200,0.957950
376.490000,2.954500,0.964310
377.750000,2.959400,0.970450
379.010000,2.964200,0.976380
380.280000,2.969200,0.982140
381.540000,2.974700,0.987790
382.800000,2.980900,0.993400
384.060000,2.987900,0.999060
385.320000,2.995800,1.004900
386.580000,3.004400,1.010800
387.840000,3.013600,1.017100
389.110000,3.023300,1.023600
390.370000,3.033300,1.030200
391.630000,3.043200,1.037000
392.890000,3.052800,1.043900
394.150000,3.061700,1.050700
395.410000,3.069600,1.057500
396.670000,3.076700,1.064300
397.940000,3.082800,1.071300
399.200000,3.088500,1.078300
400.460000,3.093800,1.085500
401.720000,3.099400,1.092700
402.980000,3.105400,1.099900
404.240000,3.112000,1.107000
405.500000,3.119200,1.113900
406.770000,3.126800,1.120800
408.030000,3.134400,1.127600
409.290000,3.141700,1.134400
410.550000,3.148700,1.141000
411.810000,3.155300,1.147600
413.070000,3.161900,1.154000
414.330000,3.168600,1.160200
415.600000,3.175800,1.166400
416.860000,3.183300,1.172500
418.120000,3.191300,1.178600
419.380000,3.199400,1.184800
420.640000,3.207400,1.191200
421.900000,3.215400,1.197800
423.170000,3.223100,1.204400
424.430000,3.230900,1.211000
425.690000,3.238600,1.217500
426.950000,3.246500,1.223900
428.210000,3.254400,1.230200
429.470000,3.262600,1.236500
430.730000,3.270800,1.242600
432.000000,3.279300,1.248800
433.260000,3.288100,1.255100
434.520000,3.297300,1.261500
435.780000,3.306900,1.268000
437.040000,3.316800,1.274500
438.300000,3.326900,1.280900
439.560000,3.337000,1.287300
440.830000,3.346900,1.293500
442.090000,3.356400,1.299600
443.350000,3.365700,1.305700
