wavelength_nm,n,k
399.354839,1.812453,0.000000
405.901639,1.811345,0.000000
412.666667,1.810097,0.000000
419.661017,1.808736,0.000000
426.896552,1.807286,0.000000
434.385965,1.805774,0.000000
442.142857,1.804225,0.000000
450.181818,1.802665,0.000000
458.518519,1.801120,0.000000
467.169811,1.799615,0.000000
476.153846,1.798176,0.000000
485.490196,1.796829,0.000000
495.200000,1.795599,0.000000
505.306122,1.794512,0.000000
515.833333,1.793594,0.000000
526.808511,1.792846,0.000000
538.260870,1.792366,0.000000
550.222222,1.792325,0.000000
562.727273,1.792498,0.000000
575.813953,1.792822,0.000000
589.523810,1.792973,0.000000
603.902439,1.792509,0.000000
619.000000,1.791719,0.000000
634.871795,1.790741,0.000000
651.578947,1.789582,0.000000
669.189189,1.788280,0.000000
687.777778,1.786876,0.000000
707.428571,1.785408,0.000000
728.235294,1.783917,0.000000
750.303030,1.782442,0.000000
773.750000,1.781022,0.000000
798.709677,1.779431,0.000000
825.333333,1.778505,0.000000
853.793103,1.779556,0.000000
884.285714,1.780931,0.000000
917.037037,1.781412,0.000000
952.307692,1.780999,0.000000
990.400000,1.778849,0.000000
1031.666667,1.776281,0.000000
1076.521739,1.774516,0.000000
1125.454545,1.773011,0.000000
1179.047619,1.771680,0.000000
1238.000000,1.770373,0.000000
1303.157895,1.768865,0.000000
1375.555556,1.767294,0.000000
1456.470588,1.765826,0.000000
1547.500000,1.764154,0.000000
1650.666667,1.761981,0.000000
1768.571429,1.759444,0.000000
1904.615385,1.756723,0.000000
2063.333333,1.753395,0.000000
2250.909091,1.749189,0.000000
2476.000000,1.743834,0.000000
