wavelength_nm,n,k
270,2.138256,0.731822
275,2.306868,0.450855
280,2.259426,0.230218
285,2.122642,0.121870
290,2.022520,0.103825
295,1.965214,0.100121
300,1.925566,0.099361
305,1.869261,0.101212
310,1.861586,0.098691
315,1.844510,0.099479
320,1.832021,0.100744
325,1.821616,0.101015
330,1.811688,0.100906
335,1.803051,0.102645
340,1.797947,0.102856
345,1.791467,0.099721
350,1.773078,0.102661
355,1.764168,0.107304
360,1.758489,0.115202
365,1.758691,0.123481
370,1.761759,0.127550
375,1.763557,0.129959
380,1.763828,0.136544
385,1.770278,0.138946
390,1.777300,0.139536
395,1.785132,0.138524
400,1.793140,0.135497
405,1.802056,0.131660
410,1.810303,0.125068
415,1.818186,0.115885
420,1.824238,0.104389
425,1.828316,0.091004
430,1.828746,0.077087
435,1.826145,0.063750
440,1.821739,0.051241
445,1.815274,0.040560
450,1.807904,0.032471
455,1.795077,0.023801
460,1.789385,0.021034
465,1.783993,0.018638
470,1.778883,0.016558
475,1.774038,0.014746
480,1.769440,0.013165
485,1.765075,0.011781
490,1.760928,0.010566
495,1.756988,0.009497
500,1.753241,0.008555
505,1.749676,0.007722
510,1.746283,0.006984
515,1.743052,0.006329
520,1.739974,0.005746
525,1.737039,0.005227
530,1.734241,0.004763
535,1.731572,0.004347
540,1.729023,0.003975
545,1.726590,0.003641
550,1.724266,0.003340
555,1.722045,0.003068
560,1.719921,0.002823
565,1.717889,0.002602
570,1.715946,0.002401
575,1.714085,0.002219
580,1.712303,0.002053
585,1.710597,0.001902
590,1.708961,0.001765
595,1.707393,0.001640
600,1.705889,0.001525
605,1.704447,0.001420
610,1.703062,0.001324
615,1.701733,0.001236
620,1.700457,0.001155
625,1.699231,0.001080
630,1.698053,0.001012
635,1.696920,0.000948
640,1.695831,0.000890
645,1.694784,0.000836
650,1.693776,0.000786
655,1.692806,0.000739
660,1.691873,0.000696
665,1.690973,0.000657
670,1.690107,0.000620
675,1.689273,0.000585
680,1.688468,0.000553
685,1.687693,0.000523
