wavelength_nm,n,k
350,1.786793,0.099557
351,1.785195,0.100477
352,1.783660,0.101425
353,1.782189,0.102402
354,1.780781,0.103408
355,1.779438,0.104440
356,1.778159,0.105499
357,1.776947,0.106583
358,1.775801,0.107692
359,1.774723,0.108824
360,1.773714,0.109979
361,1.772775,0.111155
362,1.771907,0.112351
363,1.771112,0.113565
364,1.770392,0.114795
365,1.769748,0.116039
366,1.769181,0.117296
367,1.768693,0.118562
368,1.768287,0.119836
369,1.767964,0.121115
370,1.767725,0.122395
371,1.767573,0.123673
372,1.767509,0.124946
373,1.767535,0.126209
374,1.767653,0.127459
375,1.767864,0.128691
376,1.768170,0.129901
377,1.768572,0.131083
378,1.769071,0.132231
379,1.769668,0.133342
380,1.770363,0.134407
381,1.771158,0.135422
382,1.772051,0.136379
383,1.773043,0.137273
384,1.774132,0.138096
385,1.775317,0.138841
386,1.776596,0.139503
387,1.777967,0.140072
388,1.779426,0.140543
389,1.780970,0.140909
390,1.782594,0.141163
391,1.784294,0.141299
392,1.786063,0.141311
393,1.787896,0.141193
394,1.789785,0.140940
395,1.791724,0.140549
396,1.793703,0.140015
397,1.795714,0.139336
398,1.797748,0.138511
399,1.799796,0.137537
400,1.801849,0.136415
401,1.803895,0.135146
402,1.805926,0.133732
403,1.807931,0.132176
404,1.809900,0.130482
405,1.811825,0.128655
406,1.813695,0.126701
407,1.815503,0.124627
408,1.817239,0.122441
409,1.818897,0.120150
410,1.820470,0.117764
411,1.821951,0.115291
412,1.823335,0.112742
413,1.824618,0.110126
414,1.825796,0.107454
415,1.826867,0.104734
416,1.827828,0.101978
417,1.828679,0.099195
418,1.829419,0.096394
419,1.830049,0.093584
420,1.830569,0.090774
421,1.830981,0.087972
422,1.831288,0.085186
423,1.831492,0.082423
424,1.831597,0.079689
425,1.831605,0.076990
426,1.831522,0.074332
427,1.831350,0.071719
428,1.831095,0.069155
429,1.830760,0.066644
430,1.830350,0.064188
431,1.829870,0.061791
432,1.829324,0.059455
433,1.828716,0.057180
434,1.828051,0.054969
435,1.827333,0.052822
436,1.826567,0.050739
437,1.825756,0.048721
438,1.824904,0.046768
439,1.824015,0.044878
440,1.823092,0.043052
441,1.822140,0.041289
442,1.821160,0.039588
443,1.820157,0.037948
444,1.819133,0.036367
445,1.818090,0.034844
446,1.817032,0.033378
447,1.815960,0.031968
448,1.814877,0.030611
449,1.813785,0.029307
450,1.812685,0.028053
451,1.811580,0.026849
452,1.810471,0.025692
453,1.809360,0.024581
454,1.808248,0.023515
455,1.807136,0.022492
456,1.806025,0.021510
457,1.804917,0.020568
458,1.803812,0.019664
459,1.802711,0.018797
460,1.801616,0.017966
461,1.800526,0.017170
462,1.799443,0.016406
463,1.798366,0.015674
464,1.797298,0.014972
465,1.796237,0.014299
