wavelength_nm,n,k
123.980000,1.660000,0.795000
137.756000,1.700000,0.713000
154.975000,1.710000,0.656000
177.114000,1.700000,0.628000
206.633000,1.700000,0.646000
247.960000,1.730000,0.712000
309.950000,1.840000,0.808000
326.263000,1.900000,0.910000
344.389000,1.940000,0.920000
364.647000,2.000000,0.920000
387.438000,2.060000,0.910000
413.267000,2.110000,0.900000
442.786000,2.170000,0.890000
476.846000,2.240000,0.880000
516.583000,2.300000,0.870000
563.545000,2.380000,0.820000
619.900000,2.430000,0.750000
688.778000,2.430000,0.700000
774.875000,2.330000,0.710000
885.571000,2.240000,0.800000
1033.170000,2.260000,1.090000
1239.800000,2.630000,1.470000
1549.750000,3.340000,1.630000
1771.140000,3.670000,1.600000
2066.330000,3.730000,1.540000
