wavelength_nm,n,k
300,1.800042,1.919298
310,1.830000,1.916000
320,1.836011,1.897531
330,1.813111,1.870450
340,1.781199,1.852625
350,1.751161,1.847116
360,1.726731,1.855697
370,1.706249,1.883198
380,1.687926,1.916907
390,1.670782,1.939990
400,1.658000,1.956000
410,1.641467,1.957488
420,1.626593,1.949527
430,1.607286,1.934151
440,1.572004,1.910625
450,1.503407,1.878436
460,1.417996,1.843614
470,1.315496,1.814717
480,1.189871,1.799925
490,1.018554,1.820950
500,0.849238,1.892178
510,0.698231,2.027084
520,0.571152,2.185897
530,0.475555,2.374957
540,0.397919,2.553141
550,0.355713,2.695668
560,0.318417,2.832205
570,0.295010,2.899935
580,0.278152,2.930925
590,0.261664,2.961718
600,0.245531,2.992315
610,0.229740,3.022714
620,0.214278,3.052916
630,0.199131,3.082919
640,0.184288,3.112725
650,0.169737,3.142334
660,0.164060,3.293285
670,0.162126,3.477580
680,0.160792,3.652616
690,0.160087,3.817434
700,0.160907,3.959740
710,0.161863,4.097111
720,0.162930,4.230027
730,0.164154,4.358280
740,0.166357,4.474892
750,0.168557,4.588542
760,0.170750,4.699445
770,0.172934,4.807792
780,0.175425,4.914824
790,0.178189,5.020584
800,0.180917,5.124162
810,0.183609,5.225688
820,0.186265,5.325278
830,0.189334,5.419440
840,0.193206,5.505117
850,0.197006,5.589481
860,0.200737,5.672590
870,0.204403,5.754499
880,0.208008,5.835259
890,0.211773,5.919897
900,0.215750,6.009588
910,0.219658,6.097961
920,0.223500,6.185070
930,0.227279,6.270970
940,0.230997,6.355709
950,0.234659,6.439333
960,0.239028,6.519685
970,0.243770,6.597783
980,0.248435,6.674968
990,0.253026,6.751271
1000,0.257547,6.826721
1010,0.262000,6.901348
1020,0.266388,6.975176
1030,0.270714,7.048231
1040,0.275173,7.137614
1050,0.279646,7.233110
1060,0.284050,7.327360
1070,0.288390,7.420414
1080,0.292666,7.512316
1090,0.296883,7.603107
1100,0.301042,7.692826
1110,0.305145,7.781511
1120,0.309195,7.869197
1130,0.313711,7.953446
1140,0.319364,8.031106
1150,0.324938,8.108023
1160,0.330437,8.184218
1170,0.335862,8.259711
1180,0.341218,8.334521
1190,0.346505,8.408666
1200,0.351727,8.482163
1210,0.356885,8.555030
1220,0.361982,8.627281
1230,0.367020,8.698933
1240,0.372000,8.770000
1250,0.378184,8.504496
1260,0.385166,8.230473
1270,0.391723,8.121014
1280,0.397125,8.182689
1290,0.402469,8.243904
1300,0.408196,8.305022
1310,0.413909,8.365733
1320,0.419611,8.426053
1330,0.425690,8.486347
1340,0.431704,8.546216
1350,0.437655,8.605669
1360,0.443545,8.664716
1370,0.449377,8.723364
1380,0.448061,8.710413
1390,0.445094,8.680235
1400,0.459944,8.828582
1410,0.473615,8.965816
1420,0.479737,9.023776
1430,0.485800,9.081368
1440,0.491806,9.138597
1450,0.498244,9.199842
1460,0.504739,9.261768
1470,0.511171,9.323284
1480,0.517481,9.384698
1490,0.523644,9.446163
1500,0.529748,9.507231
1510,0.535797,9.567910
1520,0.541693,9.628877
1530,0.547513,9.689627
1540,0.553281,9.749999
1550,0.559000,9.810001
1560,0.565087,9.883298
1570,0.571114,9.956056
1580,0.577085,10.028290
1590,0.583000,10.100000
1600,0.589415,10.149140
1610,0.595782,10.198050
1620,0.602102,10.246720
1630,0.608375,10.295170
1640,0.614608,10.362070
1650,0.620787,10.430600
1660,0.626911,10.498690
1670,0.632983,10.566340
1680,0.639139,10.632320
1690,0.645377,10.696660
1700,0.651564,10.760610
