wavelength_nm,n,k
0.000002,1.643400,0.000298
0.000002,1.642300,0.000266
0.000002,1.641300,0.000238
0.000001,1.640300,0.000212
0.000001,1.639300,0.000190
0.000001,1.638300,0.000170
0.000001,1.637300,0.000152
0.000001,1.636400,0.000135
0.000001,1.635500,0.000121
0.000000,1.634600,0.000108
0.000000,1.633800,0.000097
0.000000,1.632900,0.000086
0.000000,1.632100,0.000077
0.000000,1.631300,0.000069
0.000000,1.630500,0.000062
0.000000,1.629700,0.000055
0.000000,1.628900,0.000049
0.000000,1.628200,0.000044
0.000000,1.627500,0.000039
0.000000,1.626700,0.000035
0.000000,1.626000,0.000031
0.000000,1.625300,0.000028
0.000000,1.624700,0.000025
0.000000,1.624000,0.000023
0.000000,1.623400,0.000020
0.000000,1.622700,0.000018
0.000000,1.622100,0.000016
0.000000,1.621500,0.000015
0.000000,1.620900,0.000013
0.000000,1.620300,0.000012
0.000000,1.619700,0.000010
0.000000,1.619100,0.000009
0.000000,1.618500,0.000008
0.000000,1.618000,0.000007
0.000000,1.617400,0.000007
0.000000,1.616900,0.000006
0.000000,1.616400,0.000005
0.000000,1.615900,0.000005
0.000000,1.615400,0.000004
0.000000,1.614800,0.000004
0.000000,1.614400,0.000003
0.000000,1.613900,0.000003
0.000000,1.613400,0.000003
0.000000,1.612900,0.000003
0.000000,1.612500,0.000002
0.000000,1.612000,0.000002
0.000000,1.611500,0.000002
0.000000,1.611100,0.000002
0.000000,1.610700,0.000001
0.000000,1.610200,0.000001
0.000000,1.609800,0.000001
0.000000,1.609400,0.000001
0.000000,1.609000,0.000001
0.000000,1.608600,0.000001
0.000000,1.608200,0.000001
0.000000,1.607800,0.000001
0.000000,1.607400,0.000001
0.000000,1.607000,0.000001
0.000000,1.606600,0.000001
0.000000,1.606300,0.000000
0.000000,1.605900,0.000000
0.000000,1.605500,0.000000
0.000000,1.605200,0.000000
0.000000,1.604800,0.000000
0.000000,1.604500,0.000000
0.000000,1.604100,0.000000
0.000000,1.603800,0.000000
0.000000,1.603400,0.000000
0.000000,1.603100,0.000000
0.000000,1.602800,0.000000
0.000000,1.602500,0.000000
0.000000,1.602100,0.000000
0.000000,1.601800,0.000000
0.000000,1.601500,0.000000
0.000000,1.601200,0.000000
0.000000,1.600900,0.000000
0.000000,1.600600,0.000000
0.000000,1.600300,0.000000
0.000000,1.600000,0.000000
0.000000,1.599700,0.000000
0.000000,1.599400,0.000000
0.000000,1.599200,0.000000
0.000000,1.598900,0.000000
0.000000,1.598600,0.000000
0.000000,1.598300,0.000000
0.000000,1.598100,0.000000
0.000000,1.597800,0.000000
0.000000,1.597500,0.000000
0.000000,1.597300,0.000000
0.000000,1.597000,0.000000
0.000000,1.596800,0.000000
0.000000,1.596500,0.000000
0.000000,1.596300,0.000000
0.000000,1.596000,0.000000
0.000000,1.595800,0.000000
0.000000,1.595600,0.000000
0.000000,1.595300,0.000000
0.000000,1.595100,0.000000
0.000000,1.594900,0.000000
0.000000,1.594600,0.000000
0.000000,1.594400,0.000000
0.000000,1.594200,0.000000
0.000000,1.594000,0.000000
0.000000,1.593700,0.000000
0.000000,1.593500,0.000000
0.000000,1.593300,0.000000
0.000000,1.593100,0.000000
0.000000,1.592900,0.000000
0.000000,1.592700,0.000000
0.000000,1.592500,0.000000
0.000000,1.592300,0.000000
0.000000,1.592100,0.000000
0.000000,1.591900,0.000000
0.000000,1.591700,0.000000
0.000000,1.591500,0.000000
0.000000,1.591300,0.000000
0.000000,1.591100,0.000000
0.000000,1.590900,0.000000
0.000000,1.590700,0.000000
0.000000,1.590500,0.000000
0.000000,1.590300,0.000000
0.000000,1.590200,0.000000
0.000000,1.590000,0.000000
0.000000,1.589800,0.000000
0.000000,1.589600,0.000000
0.000000,1.589500,0.000000
0.000000,1.589300,0.000000
0.000000,1.589100,0.000000
0.000000,1.588900,0.000000
0.000000,1.588800,0.000000
