wavelength_nm,n,k
0.000171,1.585900,0.000487
0.000157,1.585000,0.000446
0.000144,1.584100,0.000409
0.000133,1.583200,0.000375
0.000122,1.582400,0.000344
0.000113,1.581500,0.000315
0.000105,1.580700,0.000289
0.000097,1.579900,0.000265
0.000090,1.579100,0.000243
0.000083,1.578300,0.000223
0.000078,1.577600,0.000204
0.000072,1.576800,0.000188
0.000068,1.576100,0.000172
0.000063,1.575400,0.000158
0.000059,1.574700,0.000145
0.000055,1.574000,0.000133
0.000052,1.573300,0.000122
0.000048,1.572600,0.000112
0.000046,1.572000,0.000103
0.000043,1.571300,0.000095
0.000040,1.570700,0.000087
0.000038,1.570100,0.000080
0.000036,1.569500,0.000073
0.000034,1.568900,0.000068
0.000032,1.568300,0.000062
0.000030,1.567700,0.000057
0.000028,1.567100,0.000053
0.000027,1.566600,0.000048
0.000025,1.566000,0.000044
0.000024,1.565500,0.000041
0.000023,1.564900,0.000038
0.000021,1.564400,0.000035
0.000020,1.563900,0.000032
0.000019,1.563400,0.000029
0.000018,1.562900,0.000027
0.000017,1.562400,0.000025
0.000016,1.561900,0.000023
0.000016,1.561400,0.000021
0.000015,1.561000,0.000020
0.000014,1.560500,0.000018
0.000013,1.560000,0.000017
0.000013,1.559600,0.000015
0.000012,1.559100,0.000014
0.000011,1.558700,0.000013
0.000011,1.558300,0.000012
0.000010,1.557800,0.000011
0.000010,1.557400,0.000010
0.000009,1.557000,0.000010
0.000009,1.556600,0.000009
0.000008,1.556200,0.000008
0.000008,1.555800,0.000008
0.000008,1.555400,0.000007
0.000007,1.555000,0.000006
0.000007,1.554600,0.000006
0.000007,1.554200,0.000006
0.000006,1.553900,0.000005
0.000006,1.553500,0.000005
0.000006,1.553100,0.000004
0.000006,1.552800,0.000004
0.000005,1.552400,0.000004
0.000005,1.552100,0.000003
0.000005,1.551700,0.000003
0.000005,1.551400,0.000003
0.000004,1.551100,0.000003
0.000004,1.550700,0.000003
0.000004,1.550400,0.000002
0.000004,1.550100,0.000002
0.000004,1.549800,0.000002
0.000003,1.549400,0.000002
0.000003,1.549100,0.000002
0.000003,1.548800,0.000002
0.000003,1.548500,0.000002
0.000003,1.548200,0.000001
0.000003,1.547900,0.000001
0.000003,1.547600,0.000001
0.000003,1.547300,0.000001
0.000002,1.547000,0.000001
0.000002,1.546800,0.000001
0.000002,1.546500,0.000001
0.000002,1.546200,0.000001
0.000002,1.545900,0.000001
0.000002,1.545700,0.000001
0.000002,1.545400,0.000001
0.000002,1.545100,0.000001
0.000002,1.544900,0.000001
0.000002,1.544600,0.000001
0.000002,1.544300,0.000001
0.000002,1.544100,0.000000
0.000001,1.543800,0.000000
0.000001,1.543600,0.000000
0.000001,1.543300,0.000000
0.000001,1.543100,0.000000
0.000001,1.542900,0.000000
0.000001,1.542600,0.000000
0.000001,1.542400,0.000000
0.000001,1.542100,0.000000
0.000001,1.541900,0.000000
0.000001,1.541700,0.000000
0.000001,1.541500,0.000000
0.000001,1.541200,0.000000
0.000001,1.541000,0.000000
0.000001,1.540800,0.000000
0.000001,1.540600,0.000000
0.000001,1.540400,0.000000
0.000001,1.540200,0.000000
0.000001,1.539900,0.000000
0.000001,1.539700,0.000000
0.000001,1.539500,0.000000
0.000001,1.539300,0.000000
0.000001,1.539100,0.000000
0.000001,1.538900,0.000000
0.000001,1.538700,0.000000
0.000001,1.538500,0.000000
0.000001,1.538300,0.000000
0.000001,1.538100,0.000000
0.000001,1.538000,0.000000
0.000001,1.537800,0.000000
0.000000,1.537600,0.000000
0.000000,1.537400,0.000000
0.000000,1.537200,0.000000
0.000000,1.537000,0.000000
0.000000,1.536900,0.000000
0.000000,1.536700,0.000000
0.000000,1.536500,0.000000
0.000000,1.536300,0.000000
0.000000,1.536100,0.000000
0.000000,1.536000,0.000000
0.000000,1.535800,0.000000
0.000000,1.535600,0.000000
0.000000,1.535500,0.000000
0.000000,1.535300,0.000000
0.000000,1.535100,0.000000
0.000000,1.535000,0.000000
0.000000,1.534800,0.000000
0.000000,1.534700,0.000000
0.000000,1.534500,0.000000
0.000000,1.534300,0.000000
0.000000,1.534200,0.000000
0.000000,1.534000,0.000000
0.000000,1.533900,0.000000
0.000000,1.533700,0.000000
0.000000,1.533600,0.000000
0.000000,1.533400,0.000000
0.000000,1.533300,0.000000
0.000000,1.533100,0.000000
0.000000,1.533000,0.000000
0.000000,1.532900,0.000000
0.000000,1.532700,0.000000
0.000000,1.532600,0.000000
0.000000,1.532400,0.000000
0.000000,1.532300,0.000000
0.000000,1.532200,0.000000
0.000000,1.532000,0.000000
0.000000,1.531900,0.000000
0.000000,1.531800,0.000000
0.000000,1.531600,0.000000
0.000000,1.531500,0.000000
0.000000,1.531400,0.000000
0.000000,1.531200,0.000000
0.000000,1.531100,0.000000
0.000000,1.531000,0.000000
0.000000,1.530800,0.000000
0.000000,1.530700,0.000000
0.000000,1.530600,0.000000
0.000000,1.530500,0.000000
0.000000,1.530300,0.000000
0.000000,1.530200,0.000000
0.000000,1.530100,0.000000
0.000000,1.530000,0.000000
0.000000,1.529900,0.000000
0.000000,1.529800,0.000000
0.000000,1.529600,0.000000
0.000000,1.529500,0.000000
0.000000,1.529400,0.000000
0.000000,1.529300,0.000000
0.000000,1.529200,0.000000
0.000000,1.529100,0.000000
0.000000,1.529000,0.000000
0.000000,1.528800,0.000000
0.000000,1.528700,0.000000
0.000000,1.528600,0.000000
0.000000,1.528500,0.000000
0.000000,1.528400,0.000000
0.000000,1.528300,0.000000
