wavelength_nm,n,k
400.920000,1.798300,0.022469
402.510000,1.796000,0.020236
404.090000,1.793600,0.018162
405.680000,1.791200,0.016247
407.260000,1.788700,0.014487
408.850000,1.786300,0.012877
410.440000,1.783800,0.011411
412.020000,1.781400,0.010082
413.610000,1.778900,0.008883
415.200000,1.776500,0.007805
416.780000,1.774200,0.006839
418.370000,1.771800,0.005978
419.950000,1.769600,0.005213
421.540000,1.767400,0.004535
423.130000,1.765200,0.003936
424.710000,1.763100,0.003409
426.300000,1.761100,0.002947
427.890000,1.759100,0.002543
429.470000,1.757200,0.002191
431.060000,1.755300,0.001884
432.640000,1.753500,0.001618
434.230000,1.751700,0.001387
435.820000,1.750000,0.001189
437.400000,1.748400,0.001017
438.990000,1.746800,0.000870
440.570000,1.745300,0.000743
442.160000,1.743800,0.000634
443.750000,1.742300,0.000542
445.330000,1.740900,0.000462
446.920000,1.739500,0.000395
448.500000,1.738200,0.000337
450.090000,1.736900,0.000288
451.670000,1.735600,0.000246
453.260000,1.734400,0.000210
454.850000,1.733200,0.000180
456.430000,1.732100,0.000155
458.020000,1.730900,0.000133
459.600000,1.729800,0.000114
461.190000,1.728700,0.000098
462.770000,1.727700,0.000085
464.360000,1.726600,0.000074
465.950000,1.725600,0.000064
467.530000,1.724700,0.000056
469.120000,1.723700,0.000048
470.700000,1.722700,0.000042
472.290000,1.721800,0.000037
473.870000,1.720900,0.000033
475.460000,1.720000,0.000029
477.040000,1.719200,0.000025
478.630000,1.718300,0.000023
480.210000,1.717500,0.000020
481.800000,1.716700,0.000018
483.390000,1.715800,0.000016
484.970000,1.715100,0.000014
486.560000,1.714300,0.000013
488.140000,1.713500,0.000012
489.730000,1.712800,0.000010
491.310000,1.712000,0.000009
492.900000,1.711300,0.000009
494.480000,1.710600,0.000008
496.070000,1.709900,0.000007
497.650000,1.709200,0.000006
499.240000,1.708500,0.000006
500.820000,1.707900,0.000005
502.410000,1.707200,0.000005
503.990000,1.706500,0.000004
505.580000,1.705900,0.000004
507.160000,1.705300,0.000004
508.750000,1.704700,0.000003
510.330000,1.704100,0.000003
511.910000,1.703500,0.000003
513.500000,1.702900,0.000003
515.080000,1.702300,0.000002
516.670000,1.701700,0.000002
518.250000,1.701100,0.000002
519.840000,1.700600,0.000002
521.420000,1.700000,0.000002
523.010000,1.699500,0.000002
524.590000,1.699000,0.000001
526.180000,1.698400,0.000001
527.760000,1.697900,0.000001
529.340000,1.697400,0.000001
530.930000,1.696900,0.000001
532.510000,1.696400,0.000001
534.100000,1.695900,0.000001
535.680000,1.695400,0.000001
537.260000,1.694900,0.000001
538.850000,1.694400,0.000001
540.430000,1.694000,0.000001
542.020000,1.693500,0.000001
543.600000,1.693000,0.000001
545.180000,1.692600,0.000001
546.770000,1.692200,0.000000
548.350000,1.691700,0.000000
549.940000,1.691300,0.000000
551.520000,1.690800,0.000000
553.100000,1.690400,0.000000
554.690000,1.690000,0.000000
556.270000,1.689600,0.000000
557.850000,1.689200,0.000000
559.440000,1.688800,0.000000
561.020000,1.688400,0.000000
562.600000,1.688000,0.000000
564.190000,1.687600,0.000000
565.770000,1.687200,0.000000
567.350000,1.686800,0.000000
568.940000,1.686400,0.000000
570.520000,1.686100,0.000000
572.100000,1.685700,0.000000
573.690000,1.685300,0.000000
575.270000,1.685000,0.000000
576.850000,1.684600,0.000000
578.430000,1.684200,0.000000
580.020000,1.683900,0.000000
581.600000,1.683600,0.000000
583.180000,1.683200,0.000000
584.770000,1.682900,0.000000
586.350000,1.682500,0.000000
587.930000,1.682200,0.000000
589.510000,1.681900,0.000000
591.090000,1.681600,0.000000
592.680000,1.681200,0.000000
594.260000,1.680900,0.000000
595.840000,1.680600,0.000000
597.420000,1.680300,0.000000
599.010000,1.680000,0.000000
600.590000,1.679700,0.000000
602.170000,1.679400,0.000000
603.750000,1.679100,0.000000
605.330000,1.678800,0.000000
606.920000,1.678500,0.000000
608.500000,1.678200,0.000000
610.080000,1.677900,0.000000
611.660000,1.677600,0.000000
613.240000,1.677300,0.000000
614.820000,1.677100,0.000000
616.410000,1.676800,0.000000
617.990000,1.676500,0.000000
619.570000,1.676200,0.000000
621.150000,1.676000,0.000000
622.730000,1.675700,0.000000
624.310000,1.675400,0.000000
625.890000,1.675200,0.000000
627.470000,1.674900,0.000000
629.060000,1.674700,0.000000
630.640000,1.674400,0.000000
632.220000,1.674200,0.000000
633.800000,1.673900,0.000000
635.380000,1.673700,0.000000
636.960000,1.673400,0.000000
638.540000,1.673200,0.000000
640.120000,1.672900,0.000000
641.700000,1.672700,0.000000
643.280000,1.672500,0.000000
644.860000,1.672200,0.000000
646.440000,1.672000,0.000000
648.020000,1.671800,0.000000
649.600000,1.671500,0.000000
651.180000,1.671300,0.000000
652.760000,1.671100,0.000000
654.340000,1.670900,0.000000
655.920000,1.670700,0.000000
657.500000,1.670400,0.000000
659.080000,1.670200,0.000000
660.660000,1.670000,0.000000
662.240000,1.669800,0.000000
663.820000,1.669600,0.000000
665.400000,1.669400,0.000000
666.980000,1.669200,0.000000
668.560000,1.669000,0.000000
670.140000,1.668800,0.000000
671.720000,1.668600,0.000000
673.300000,1.668400,0.000000
674.880000,1.668200,0.000000
676.450000,1.668000,0.000000
678.030000,1.667800,0.000000
679.610000,1.667600,0.000000
681.190000,1.667400,0.000000
682.770000,1.667200,0.000000
684.350000,1.667000,0.000000
685.930000,1.666800,0.000000
687.510000,1.666700,0.000000
689.080000,1.666500,0.000000
690.660000,1.666300,0.000000
692.240000,1.666100,0.000000
693.820000,1.665900,0.000000
695.400000,1.665800,0.000000
696.970000,1.665600,0.000000
698.550000,1.665400,0.000000
700.130000,1.665200,0.000000
