wavelength_nm,n,k
330,1.992272,0.113455
340,1.962508,0.067542
350,1.931315,0.030898
360,1.900781,0.009496
370,1.877350,-0.000627
380,1.848829,-0.001807
390,1.821693,-0.000216
400,1.802592,0.000549
410,1.787845,0.001187
420,1.776924,0.001762
430,1.768973,0.001973
440,1.763109,0.002011
450,1.758561,0.002002
460,1.754655,0.001839
470,1.747518,0.001738
480,1.742110,0.001503
490,1.737236,0.001196
500,1.732726,0.000850
510,1.728598,0.000530
520,1.724793,0.000264
530,1.721246,0.000081
540,1.717912,-0.000010
550,1.714806,-0.000051
560,1.712017,-0.000019
570,1.709282,-0.000008
580,1.706660,0.000000
590,1.704211,0.000000
600,1.701994,0.000000
610,1.699986,0.000000
620,1.698142,0.000000
630,1.696436,0.000000
640,1.694911,0.000000
650,1.693510,0.000000
660,1.692194,0.000000
670,1.690987,0.000000
680,1.689849,0.000000
690,1.688873,0.000000
700,1.687900,0.000000
710,1.689500,-0.001091
720,1.686025,0.000297
730,1.681750,0.002006
740,1.678354,0.003135
750,1.676010,0.003711
760,1.674729,0.003688
770,1.674591,0.003161
780,1.675422,0.002099
790,1.675971,0.001278
800,1.676970,0.000428
810,1.676319,0.000472
820,1.676403,0.000393
830,1.676418,0.000185
840,1.676056,0.000198
850,1.675479,0.000187
860,1.675014,0.000147
870,1.674579,0.000088
880,1.674132,0.000133
890,1.673990,0.000093
900,1.673893,0.000046
910,1.673854,0.000002
920,1.673627,-0.000030
930,1.673315,-0.000002
940,1.672983,0.000000
950,1.672690,0.000000
960,1.672359,0.000000
970,1.672112,0.000000
980,1.671890,0.000000
990,1.671693,0.000000
1000,1.671520,0.000000
