wavelength_nm,n,k
0.763370,1.835300,0.111280
0.738070,1.835800,0.106730
0.711890,1.836000,0.102200
0.685380,1.836000,0.097727
0.659120,1.835700,0.093310
0.633680,1.835300,0.088966
0.609530,1.834700,0.084706
0.586990,1.833900,0.080541
0.566160,1.832900,0.076479
0.546930,1.831700,0.072528
0.528900,1.830400,0.068694
0.511500,1.829000,0.064983
0.494000,1.827500,0.061397
0.475640,1.825800,0.057940
0.455740,1.824100,0.054615
0.433760,1.822200,0.051422
0.409420,1.820300,0.048363
0.382710,1.818300,0.045436
0.353880,1.816300,0.042642
0.323410,1.814200,0.039978
0.291940,1.812100,0.037443
0.260190,1.809900,0.035034
0.228920,1.807700,0.032748
0.198830,1.805500,0.030583
0.170520,1.803300,0.028535
0.144470,1.801100,0.026600
0.120990,1.798900,0.024775
0.100240,1.796700,0.023055
0.082265,1.794500,0.021437
0.066955,1.792300,0.019916
0.054132,1.790100,0.018489
0.043550,1.788000,0.017151
0.034932,1.785800,0.015898
0.027990,1.783700,0.014725
0.022448,1.781700,0.013630
0.018052,1.779600,0.012607
0.014578,1.777600,0.011653
0.011836,1.775600,0.010764
0.009669,1.773700,0.009937
0.007950,1.771800,0.009168
0.006579,1.769900,0.008453
0.005478,1.768100,0.007789
0.004587,1.766300,0.007174
0.003860,1.764600,0.006603
0.003263,1.762800,0.006075
0.002767,1.761200,0.005586
0.002355,1.759500,0.005133
0.002009,1.757900,0.004716
0.001718,1.756300,0.004330
0.001472,1.754800,0.003973
0.001263,1.753300,0.003645
0.001085,1.751900,0.003342
0.000933,1.750400,0.003064
0.000804,1.749000,0.002807
0.000693,1.747700,0.002571
0.000598,1.746300,0.002354
0.000516,1.745000,0.002154
0.000446,1.743800,0.001971
0.000386,1.742500,0.001803
0.000334,1.741300,0.001648
0.000290,1.740100,0.001506
0.000251,1.739000,0.001376
0.000218,1.737800,0.001257
0.000190,1.736700,0.001148
0.000165,1.735700,0.001048
0.000144,1.734600,0.000957
0.000125,1.733600,0.000873
0.000110,1.732600,0.000797
0.000096,1.731600,0.000727
0.000084,1.730600,0.000663
0.000074,1.729700,0.000604
0.000065,1.728700,0.000551
0.000057,1.727800,0.000502
0.000051,1.727000,0.000458
0.000045,1.726100,0.000417
0.000040,1.725200,0.000380
0.000035,1.724400,0.000346
0.000031,1.723600,0.000315
0.000028,1.722800,0.000287
0.000025,1.722000,0.000261
0.000023,1.721200,0.000238
0.000021,1.720500,0.000217
0.000019,1.719700,0.000197
0.000017,1.719000,0.000180
0.000016,1.718300,0.000163
0.000014,1.717600,0.000149
0.000013,1.716900,0.000135
0.000012,1.716200,0.000123
0.000011,1.715600,0.000112
0.000010,1.714900,0.000102
0.000010,1.714300,0.000093
0.000009,1.713600,0.000084
0.000008,1.713000,0.000077
0.000008,1.712400,0.000070
0.000008,1.711800,0.000064
0.000007,1.711200,0.000058
0.000007,1.710600,0.000053
0.000006,1.710100,0.000048
0.000006,1.709500,0.000044
0.000006,1.708900,0.000040
0.000005,1.708400,0.000036
0.000005,1.707800,0.000033
0.000005,1.707300,0.000030
0.000005,1.706800,0.000027
0.000005,1.706300,0.000025
0.000004,1.705800,0.000023
0.000004,1.705300,0.000021
0.000004,1.704800,0.000019
0.000004,1.704300,0.000017
0.000004,1.703800,0.000016
0.000004,1.703300,0.000014
0.000003,1.702900,0.000013
0.000003,1.702400,0.000012
0.000003,1.702000,0.000011
0.000003,1.701500,0.000010
0.000003,1.701100,0.000009
0.000003,1.700600,0.000008
0.000003,1.700200,0.000007
0.000003,1.699800,0.000007
0.000003,1.699400,0.000006
0.000003,1.699000,0.000006
0.000002,1.698600,0.000005
0.000002,1.698100,0.000005
0.000002,1.697800,0.000004
0.000002,1.697400,0.000004
0.000002,1.697000,0.000004
0.000002,1.696600,0.000003
0.000002,1.696200,0.000003
0.000002,1.695800,0.000003
0.000002,1.695500,0.000003
0.000002,1.695100,0.000002
0.000002,1.694700,0.000002
0.000002,1.694400,0.000002
0.000002,1.694000,0.000002
0.000002,1.693700,0.000002
0.000002,1.693300,0.000001
0.000002,1.693000,0.000001
