wavelength_nm,n,k
0,1.740000,0
0,1.760000,0
0,1.790000,0
0,1.820000,0
0,1.830000,0
0,1.830000,0
0,1.810000,0
0,1.790000,0
0,1.760000,0
0,1.750000,0
0,1.740000,0
0,1.730000,0
0,1.720000,0
0,1.720000,0
0,1.710000,0
0,1.710000,0
0,1.700000,0
0,1.700000,0
0,1.690000,0
0,1.690000,0
0,1.690000,0
0,1.680000,0
0,1.680000,0
0,1.680000,0
0,1.680000,0
0,1.680000,0
0,1.680000,0
0,1.670000,0
0,1.670000,0
0,1.670000,0
0,1.670000,0
0,1.670000,0
0,1.670000,0
0,1.660000,0
0,1.660000,0
0,1.660000,0
0,1.660000,0
0,1.660000,0
0,1.660000,0
0,1.660000,0
