wavelength_nm,n,k
400.920000,1.826400,0.003037
402.510000,1.824300,0.002872
404.090000,1.822300,0.002716
405.680000,1.820300,0.002569
407.260000,1.818400,0.002430
408.850000,1.816500,0.002299
410.440000,1.814600,0.002175
412.020000,1.812800,0.002058
413.610000,1.811000,0.001947
415.200000,1.809300,0.001843
416.780000,1.807600,0.001744
418.370000,1.805900,0.001651
419.950000,1.804300,0.001563
421.540000,1.802700,0.001480
423.130000,1.801200,0.001402
424.710000,1.799600,0.001328
426.300000,1.798200,0.001258
427.890000,1.796700,0.001191
429.470000,1.795300,0.001129
431.060000,1.793900,0.001070
432.640000,1.792500,0.001014
434.230000,1.791100,0.000961
435.820000,1.789800,0.000911
437.400000,1.788500,0.000864
438.990000,1.787300,0.000819
440.570000,1.786000,0.000777
442.160000,1.784800,0.000737
443.750000,1.783600,0.000699
445.330000,1.782400,0.000663
446.920000,1.781300,0.000629
448.500000,1.780100,0.000597
450.090000,1.779000,0.000567
451.670000,1.777900,0.000538
453.260000,1.776900,0.000511
454.850000,1.775800,0.000485
456.430000,1.774800,0.000461
458.020000,1.773800,0.000438
459.600000,1.772800,0.000416
461.190000,1.771800,0.000395
462.770000,1.770800,0.000376
464.360000,1.769900,0.000357
465.950000,1.768900,0.000340
467.530000,1.768000,0.000323
469.120000,1.767100,0.000307
470.700000,1.766200,0.000292
472.290000,1.765300,0.000278
473.870000,1.764500,0.000264
475.460000,1.763600,0.000251
477.040000,1.762800,0.000239
478.630000,1.762000,0.000228
480.210000,1.761200,0.000217
481.800000,1.760400,0.000207
483.390000,1.759600,0.000197
484.970000,1.758800,0.000187
486.560000,1.758100,0.000178
488.140000,1.757300,0.000170
489.730000,1.756600,0.000162
491.310000,1.755800,0.000154
492.900000,1.755100,0.000147
494.480000,1.754400,0.000140
496.070000,1.753700,0.000134
497.650000,1.753000,0.000128
499.240000,1.752400,0.000122
500.820000,1.751700,0.000116
502.410000,1.751000,0.000111
503.990000,1.750400,0.000106
505.580000,1.749800,0.000101
507.160000,1.749100,0.000096
508.750000,1.748500,0.000092
510.330000,1.747900,0.000088
511.910000,1.747300,0.000084
513.500000,1.746700,0.000080
515.080000,1.746100,0.000077
516.670000,1.745500,0.000073
518.250000,1.745000,0.000070
519.840000,1.744400,0.000067
521.420000,1.743800,0.000064
523.010000,1.743300,0.000061
524.590000,1.742700,0.000058
526.180000,1.742200,0.000056
527.760000,1.741700,0.000053
529.340000,1.741200,0.000051
530.930000,1.740600,0.000049
532.510000,1.740100,0.000047
534.100000,1.739600,0.000045
535.680000,1.739100,0.000043
537.260000,1.738600,0.000041
