wavelength_nm,n,k
0,1.570000,0
0,1.570000,0
0,1.560000,0
0,1.560000,0
0,1.550000,0
0,1.550000,0
0,1.540000,0
0,1.540000,0
0,1.540000,0
0,1.530000,0
0,1.530000,0
0,1.530000,0
0,1.530000,0
0,1.530000,0
0,1.520000,0
0,1.520000,0
0,1.520000,0
0,1.520000,0
0,1.520000,0
0,1.520000,0
0,1.520000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.510000,0
0,1.500000,0
0,1.500000,0
0,1.500000,0
0,1.500000,0
0,1.500000,0
0,1.500000,0
0,1.500000,0
