wavelength_nm,n,k
300,2.207430,0.687370
301,2.201260,0.673490
302,2.194790,0.659980
303,2.187670,0.646810
304,2.179970,0.634610
305,2.172200,0.623290
306,2.164040,0.611840
307,2.155240,0.601180
308,2.145600,0.590670
309,2.135210,0.581650
310,2.124750,0.573460
311,2.113780,0.565530
312,2.102180,0.558600
313,2.089650,0.552100
314,2.076510,0.547670
315,2.063250,0.544040
316,2.049520,0.541620
317,2.035560,0.540630
318,2.021130,0.540570
319,2.006310,0.542580
320,1.991720,0.546460
321,1.977390,0.551770
322,1.963500,0.559070
323,1.949780,0.567460
324,1.936660,0.578810
325,1.924760,0.591790
326,1.914520,0.607120
327,1.906070,0.623360
328,1.899020,0.641210
329,1.894060,0.660860
330,1.891870,0.681900
331,1.892780,0.703420
332,1.895710,0.723920
333,1.901010,0.745940
334,1.909380,0.767120
335,1.920390,0.787680
336,1.933600,0.806480
337,1.948800,0.824190
338,1.963390,0.838530
339,1.979960,0.858650
340,2.004410,0.877390
341,2.029290,0.883960
342,2.052450,0.893790
343,2.074240,0.897390
344,2.096270,0.907900
345,2.123550,0.915100
346,2.152770,0.918260
347,2.183310,0.917830
348,2.211800,0.910290
349,2.236370,0.903060
350,2.262690,0.899150
351,2.291150,0.889030
352,2.319870,0.876690
353,2.344640,0.854910
354,2.365120,0.837470
355,2.385050,0.817160
356,2.402990,0.795670
357,2.418760,0.771970
358,2.429870,0.745600
359,2.436910,0.722640
360,2.442900,0.701400
361,2.447620,0.680260
362,2.451030,0.660510
363,2.452960,0.640860
364,2.454390,0.624100
365,2.456030,0.606870
366,2.457290,0.590520
367,2.458620,0.574100
368,2.458740,0.556530
369,2.458030,0.540910
370,2.457210,0.524600
371,2.455310,0.508320
372,2.452620,0.492700
373,2.448860,0.476860
374,2.443970,0.462350
375,2.438760,0.448790
376,2.433090,0.435530
377,2.426940,0.423270
378,2.420180,0.411320
379,2.413080,0.401010
380,2.406270,0.391400
381,2.400740,0.382970
382,2.393670,0.370580
383,2.384570,0.362740
384,2.376680,0.356190
385,2.369550,0.349810
386,2.362710,0.343690
387,2.356060,0.337790
388,2.349420,0.332000
389,2.342760,0.326640
390,2.336270,0.321660
391,2.329840,0.316670
392,2.323300,0.311940
393,2.316620,0.307400
394,2.309830,0.303290
395,2.302920,0.299370
396,2.295780,0.295850
397,2.287980,0.292620
398,2.280800,0.291940
399,2.274600,0.290130
400,2.267650,0.288320
401,2.260960,0.288460
402,2.255270,0.288600
403,2.250090,0.288740
404,2.245180,0.288880
405,2.240370,0.289020
406,2.235810,0.289710
407,2.231720,0.290390
408,2.227920,0.291080
409,2.224360,0.291760
410,2.220990,0.292450
411,2.217790,0.293090
412,2.214690,0.293730
413,2.211650,0.294370
414,2.208630,0.295020
415,2.205350,0.295660
416,2.202230,0.297290
417,2.199650,0.298930
418,2.197390,0.300570
419,2.195360,0.302200
420,2.193510,0.303840
421,2.191850,0.305630
422,2.190480,0.307420
423,2.189330,0.309210
424,2.188420,0.311000
425,2.187830,0.312790
426,2.187390,0.314220
427,2.186960,0.315640
428,2.186600,0.317060
429,2.186340,0.318490
430,2.186190,0.319910
431,2.186170,0.321340
432,2.186250,0.322760
433,2.186460,0.324180
434,2.186800,0.325610
435,2.187250,0.327030
436,2.187840,0.328450
437,2.188590,0.329880
438,2.189460,0.331300
439,2.190510,0.332720
440,2.191770,0.334150
441,2.193190,0.335400
442,2.194700,0.336650
443,2.196380,0.337900
444,2.198300,0.339150
445,2.200580,0.340400
446,2.203010,0.341000
447,2.205340,0.341590
448,2.207730,0.342190
449,2.210310,0.342790
450,2.213270,0.343390
451,2.216360,0.343230
452,2.219240,0.343070
453,2.222190,0.342910
