wavelength_nm,n,k
380,1.849650,0
382,1.848730,0
384,1.847810,0
386,1.846890,0
388,1.845970,0
390,1.845050,0
392,1.844130,0
394,1.843210,0
396,1.842290,0
398,1.841370,0
400,1.840450,0
402,1.839520,0
404,1.838600,0
406,1.837680,0
408,1.836750,0
410,1.835830,0
412,1.834900,0
414,1.833980,0
416,1.833050,0
418,1.832130,0
420,1.831200,0
422,1.830270,0
424,1.829340,0
426,1.828420,0
428,1.827490,0
430,1.826560,0
432,1.825630,0
434,1.824700,0
436,1.823770,0
438,1.822840,0
440,1.821910,0
442,1.820970,0
444,1.820040,0
446,1.819110,0
448,1.818180,0
450,1.817240,0
452,1.816310,0
454,1.815370,0
456,1.814440,0
458,1.813500,0
460,1.812570,0
462,1.811630,0
464,1.810690,0
466,1.809750,0
468,1.808810,0
470,1.807880,0
472,1.806940,0
474,1.806000,0
476,1.805060,0
478,1.804120,0
480,1.803180,0
482,1.802230,0
484,1.801290,0
486,1.800350,0
488,1.799410,0
490,1.798460,0
492,1.797520,0
494,1.796570,0
496,1.795630,0
498,1.794680,0
500,1.793740,0
502,1.792790,0
504,1.791840,0
506,1.790900,0
508,1.789950,0
510,1.789000,0
512,1.788130,0
514,1.787250,0
516,1.786380,0
518,1.785500,0
520,1.784630,0
522,1.783820,0
524,1.783010,0
526,1.782210,0
528,1.781400,0
530,1.780590,0
532,1.779840,0
534,1.779100,0
536,1.778350,0
538,1.777600,0
540,1.776850,0
542,1.776160,0
544,1.775460,0
546,1.774770,0
548,1.774080,0
550,1.773380,0
552,1.772740,0
554,1.772090,0
556,1.771450,0
558,1.770800,0
560,1.770160,0
562,1.769560,0
564,1.768960,0
566,1.768360,0
568,1.767760,0
570,1.767160,0
572,1.766600,0
574,1.766040,0
576,1.765480,0
578,1.764920,0
580,1.764370,0
582,1.763840,0
584,1.763320,0
586,1.762800,0
588,1.762280,0
590,1.761760,0
592,1.761270,0
594,1.760780,0
596,1.760290,0
598,1.759810,0
600,1.759320,0
602,1.758860,0
604,1.758400,0
606,1.757950,0
608,1.757490,0
610,1.757040,0
612,1.756610,0
614,1.756180,0
616,1.755750,0
618,1.755320,0
620,1.754890,0
622,1.754490,0
624,1.754090,0
626,1.753690,0
628,1.753290,0
630,1.752890,0
632,1.752510,0
634,1.752130,0
636,1.751750,0
638,1.751370,0
640,1.751000,0
642,1.750640,0
644,1.750290,0
646,1.749930,0
648,1.749580,0
650,1.749220,0
652,1.748890,0
654,1.748550,0
656,1.748220,0
658,1.747880,0
660,1.747550,0
662,1.747230,0
664,1.746910,0
666,1.746600,0
668,1.746280,0
670,1.745970,0
672,1.745670,0
674,1.745370,0
676,1.745070,0
678,1.744780,0
680,1.744480,0
682,1.744200,0
684,1.743910,0
686,1.743630,0
688,1.743350,0
690,1.743070,0
692,1.742800,0
694,1.742540,0
696,1.742270,0
698,1.742000,0
700,1.741740,0
702,1.741480,0
704,1.741230,0
706,1.740980,0
708,1.740730,0
710,1.740470,0
712,1.740230,0
714,1.739990,0
716,1.739760,0
718,1.739520,0
720,1.739280,0
722,1.739050,0
724,1.738820,0
726,1.738600,0
728,1.738370,0
730,1.738140,0
732,1.737930,0
734,1.737710,0
736,1.737490,0
738,1.737280,0
740,1.737060,0
742,1.736860,0
744,1.736650,0
746,1.736450,0
748,1.736240,0
750,1.736040,0
752,1.735840,0
754,1.735650,0
756,1.735450,0
758,1.735260,0
760,1.735060,0
762,1.734880,0
764,1.734690,0
766,1.734510,0
768,1.734320,0
770,1.734130,0
772,1.733960,0
774,1.733780,0
776,1.733600,0
778,1.733430,0
780,1.733250,0
