wavelength_nm,n,k
0.001938,1.858500,0.000107
0.001792,1.855500,0.000087
0.001657,1.852700,0.000071
0.001533,1.849900,0.000059
0.001418,1.847200,0.000049
0.001312,1.844700,0.000041
0.001214,1.842200,0.000035
0.001123,1.839800,0.000030
0.001040,1.837500,0.000026
0.000962,1.835200,0.000022
0.000891,1.833000,0.000019
0.000825,1.830900,0.000017
0.000764,1.828800,0.000014
0.000708,1.826800,0.000013
0.000656,1.824900,0.000011
0.000608,1.823000,0.000010
0.000563,1.821100,0.000008
0.000522,1.819300,0.000007
0.000484,1.817600,0.000007
0.000449,1.815900,0.000006
0.000416,1.814300,0.000005
0.000386,1.812700,0.000004
0.000358,1.811200,0.000004
0.000333,1.809700,0.000003
0.000309,1.808300,0.000003
0.000287,1.807200,0.000003
0.000266,1.806600,0.000002
0.000247,1.814200,0.000002
0.000230,1.798900,0.000002
0.000213,1.799200,0.000002
0.000198,1.798300,0.000001
0.000184,1.797200,0.000001
0.000171,1.796100,0.000001
0.000159,1.794900,0.000001
0.000148,1.793800,0.000001
0.000138,1.792600,0.000001
0.000128,1.791500,0.000001
0.000119,1.790300,0.000001
0.000111,1.789200,0.000001
0.000104,1.788100,0.000000
0.000097,1.787100,0.000000
0.000090,1.786000,0.000000
0.000084,1.785000,0.000000
0.000078,1.784000,0.000000
0.000073,1.783000,0.000000
0.000068,1.782000,0.000000
0.000063,1.781000,0.000000
0.000059,1.780100,0.000000
0.000055,1.779100,0.000000
0.000051,1.778200,0.000000
0.000048,1.777300,0.000000
0.000045,1.776400,0.000000
0.000042,1.775600,0.000000
0.000039,1.774700,0.000000
0.000036,1.773900,0.000000
0.000034,1.773000,0.000000
0.000032,1.772200,0.000000
0.000030,1.771400,0.000000
0.000028,1.770600,0.000000
0.000026,1.769800,0.000000
0.000024,1.769100,0.000000
0.000023,1.768300,0.000000
0.000021,1.767600,0.000000
0.000020,1.766900,0.000000
0.000019,1.766100,0.000000
0.000018,1.765400,0.000000
0.000017,1.764700,0.000000
0.000015,1.764100,0.000000
0.000014,1.763400,0.000000
0.000013,1.762700,0.000000
0.000013,1.762100,0.000000
0.000012,1.761400,0.000000
0.000011,1.760800,0.000000
0.000010,1.760200,0.000000
0.000010,1.759500,0.000000
0.000009,1.758900,0.000000
0.000009,1.758300,0.000000
0.000008,1.757700,0.000000
0.000008,1.757100,0.000000
0.000007,1.756600,0.000000
0.000007,1.756000,0.000000
0.000006,1.755400,0.000000
0.000006,1.754900,0.000000
0.000006,1.754400,0.000000
0.000005,1.753800,0.000000
0.000005,1.753300,0.000000
0.000005,1.752800,0.000000
0.000004,1.752200,0.000000
0.000004,1.751700,0.000000
0.000004,1.751200,0.000000
0.000004,1.750700,0.000000
0.000003,1.750300,0.000000
0.000003,1.749800,0.000000
0.000003,1.749300,0.000000
0.000003,1.748800,0.000000
0.000003,1.748400,0.000000
0.000003,1.747900,0.000000
0.000002,1.747400,0.000000
0.000002,1.747000,0.000000
0.000002,1.746600,0.000000
0.000002,1.746100,0.000000
0.000002,1.745700,0.000000
0.000002,1.745300,0.000000
0.000002,1.744800,0.000000
0.000002,1.744400,0.000000
0.000002,1.744000,0.000000
0.000001,1.743600,0.000000
0.000001,1.743200,0.000000
0.000001,1.742800,0.000000
0.000001,1.742400,0.000000
0.000001,1.742000,0.000000
0.000001,1.741700,0.000000
0.000001,1.741300,0.000000
0.000001,1.740900,0.000000
0.000001,1.740500,0.000000
