wavelength_nm,n,k
0.000028,1.804400,0.000000
0.000023,1.802400,0.000000
0.000019,1.800400,0.000000
0.000016,1.798400,0.000000
0.000013,1.796600,0.000000
0.000011,1.794700,0.000000
0.000009,1.792900,0.000000
0.000007,1.791200,0.000000
0.000006,1.789500,0.000000
0.000005,1.787800,0.000000
0.000004,1.786200,0.000000
0.000003,1.784600,0.000000
0.000003,1.783100,0.000000
0.000002,1.781600,0.000000
0.000002,1.780100,0.000000
0.000002,1.778600,0.000000
0.000001,1.777200,0.000000
0.000001,1.775800,0.000000
0.000001,1.774400,0.000000
0.000001,1.773100,0.000000
0.000001,1.771800,0.000000
0.000001,1.770500,0.000000
0.000000,1.769200,0.000000
0.000000,1.768000,0.000000
0.000000,1.766800,0.000000
0.000000,1.765600,0.000000
0.000000,1.764400,0.000000
0.000000,1.763300,0.000000
0.000000,1.762200,0.000000
0.000000,1.761100,0.000000
0.000000,1.760000,0.000000
0.000000,1.758900,0.000000
0.000000,1.757900,0.000000
0.000000,1.756800,0.000000
0.000000,1.755800,0.000000
0.000000,1.754800,0.000000
0.000000,1.753800,0.000000
0.000000,1.752900,0.000000
0.000000,1.751900,0.000000
0.000000,1.751000,0.000000
0.000000,1.750100,0.000000
0.000000,1.749200,0.000000
0.000000,1.748300,0.000000
0.000000,1.747400,0.000000
0.000000,1.746500,0.000000
0.000000,1.745700,0.000000
0.000000,1.744900,0.000000
0.000000,1.744000,0.000000
0.000000,1.743200,0.000000
0.000000,1.742400,0.000000
0.000000,1.741600,0.000000
0.000000,1.740900,0.000000
0.000000,1.740100,0.000000
0.000000,1.739400,0.000000
0.000000,1.738600,0.000000
0.000000,1.737900,0.000000
0.000000,1.737200,0.000000
0.000000,1.736400,0.000000
0.000000,1.735700,0.000000
0.000000,1.735100,0.000000
0.000000,1.734400,0.000000
0.000000,1.733700,0.000000
0.000000,1.733000,0.000000
0.000000,1.732400,0.000000
0.000000,1.731700,0.000000
0.000000,1.731100,0.000000
0.000000,1.730500,0.000000
0.000000,1.729800,0.000000
0.000000,1.729200,0.000000
0.000000,1.728600,0.000000
0.000000,1.728000,0.000000
0.000000,1.727400,0.000000
0.000000,1.726900,0.000000
0.000000,1.726300,0.000000
0.000000,1.725700,0.000000
0.000000,1.725200,0.000000
0.000000,1.724600,0.000000
0.000000,1.724100,0.000000
0.000000,1.723500,0.000000
0.000000,1.723000,0.000000
0.000000,1.722500,0.000000
0.000000,1.721900,0.000000
0.000000,1.721400,0.000000
0.000000,1.720900,0.000000
0.000000,1.720400,0.000000
0.000000,1.719900,0.000000
0.000000,1.719400,0.000000
0.000000,1.718900,0.000000
0.000000,1.718500,0.000000
0.000000,1.718000,0.000000
0.000000,1.717500,0.000000
0.000000,1.717100,0.000000
0.000000,1.716600,0.000000
0.000000,1.716200,0.000000
0.000000,1.715700,0.000000
0.000000,1.715300,0.000000
0.000000,1.714800,0.000000
0.000000,1.714400,0.000000
0.000000,1.714000,0.000000
0.000000,1.713500,0.000000
0.000000,1.713100,0.000000
0.000000,1.712700,0.000000
0.000000,1.712300,0.000000
0.000000,1.711900,0.000000
0.000000,1.711500,0.000000
0.000000,1.711100,0.000000
0.000000,1.710700,0.000000
0.000000,1.710300,0.000000
0.000000,1.709900,0.000000
0.000000,1.709600,0.000000
0.000000,1.709200,0.000000
0.000000,1.708800,0.000000
0.000000,1.708400,0.000000
0.000000,1.708100,0.000000
0.000000,1.707700,0.000000
0.000000,1.707400,0.000000
0.000000,1.707000,0.000000
0.000000,1.706700,0.000000
0.000000,1.706300,0.000000
0.000000,1.706000,0.000000
0.000000,1.705600,0.000000
0.000000,1.705300,0.000000
0.000000,1.705000,0.000000
0.000000,1.704600,0.000000
0.000000,1.704300,0.000000
0.000000,1.704000,0.000000
0.000000,1.703700,0.000000
0.000000,1.703300,0.000000
0.000000,1.703000,0.000000
0.000000,1.702700,0.000000
0.000000,1.702400,0.000000
0.000000,1.702100,0.000000
0.000000,1.701800,0.000000
0.000000,1.701500,0.000000
0.000000,1.701200,0.000000
0.000000,1.700900,0.000000
0.000000,1.700600,0.000000
0.000000,1.700300,0.000000
0.000000,1.700000,0.000000
0.000000,1.699800,0.000000
0.000000,1.699500,0.000000
0.000000,1.699200,0.000000
0.000000,1.698900,0.000000
0.000000,1.698700,0.000000
0.000000,1.698400,0.000000
0.000000,1.698100,0.000000
0.000000,1.697900,0.000000
0.000000,1.697600,0.000000
0.000000,1.697300,0.000000
0.000000,1.697100,0.000000
0.000000,1.696800,0.000000
0.000000,1.696600,0.000000
0.000000,1.696300,0.000000
0.000000,1.696100,0.000000
0.000000,1.695800,0.000000
0.000000,1.695600,0.000000
0.000000,1.695300,0.000000
0.000000,1.695100,0.000000
0.000000,1.694800,0.000000
0.000000,1.694600,0.000000
0.000000,1.694400,0.000000
0.000000,1.694100,0.000000
0.000000,1.693900,0.000000
0.000000,1.693700,0.000000
0.000000,1.693500,0.000000
0.000000,1.693200,0.000000
0.000000,1.693000,0.000000
0.000000,1.692800,0.000000
0.000000,1.692600,0.000000
0.000000,1.692300,0.000000
0.000000,1.692100,0.000000
0.000000,1.691900,0.000000
0.000000,1.691700,0.000000
0.000000,1.691500,0.000000
0.000000,1.691300,0.000000
0.000000,1.691100,0.000000
0.000000,1.690900,0.000000
0.000000,1.690700,0.000000
0.000000,1.690500,0.000000
0.000000,1.690300,0.000000
0.000000,1.690100,0.000000
0.000000,1.689900,0.000000
0.000000,1.689700,0.000000
0.000000,1.689500,0.000000
0.000000,1.689300,0.000000
0.000000,1.689100,0.000000
0.000000,1.688900,0.000000
0.000000,1.688700,0.000000
0.000000,1.688500,0.000000
0.000000,1.688400,0.000000
