wavelength_nm,n,k
380.000000,1.600000,0.042874
385.000000,1.600000,0.031233
390.000000,1.600000,0.023619
395.000000,1.600000,0.018307
400.000000,1.600000,0.013459
405.000000,1.600000,0.011076
410.000000,1.600000,0.009907
415.000000,1.600000,0.009430
420.000000,1.600000,0.008854
425.000000,1.600000,0.007129
430.000000,1.600000,0.005967
435.000000,1.600000,0.005182
440.000000,1.600000,0.004499
445.000000,1.600000,0.003950
450.000000,1.600000,0.003821
455.000000,1.600000,0.003785
460.000000,1.600000,0.003681
465.000000,1.600000,0.003491
470.000000,1.600000,0.003475
475.000000,1.600000,0.003561
480.000000,1.600000,0.003720
485.000000,1.600000,0.004172
490.000000,1.600000,0.005070
495.000000,1.600000,0.006821
500.000000,1.600000,0.008115
505.000000,1.600000,0.009439
510.000000,1.600000,0.011663
515.000000,1.600000,0.014134
520.000000,1.600000,0.016903
525.000000,1.600000,0.020504
530.000000,1.600000,0.026289
535.000000,1.600000,0.031327
540.000000,1.600000,0.037549
545.000000,1.600000,0.045628
550.000000,1.600000,0.053980
555.000000,1.600000,0.066348
560.000000,1.600000,0.081063
565.000000,1.600000,0.093573
570.000000,1.600000,0.107267
575.000000,1.600000,0.126172
580.000000,1.600000,0.145294
585.000000,1.600000,0.165076
590.000000,1.600000,0.172255
595.000000,1.600000,0.175655
600.000000,1.600000,0.187658
605.000000,1.600000,0.207001
610.000000,1.600000,0.207017
615.000000,1.600000,0.205607
620.000000,1.600000,0.204371
625.000000,1.600000,0.204571
630.000000,1.600000,0.209721
635.000000,1.600000,0.215300
640.000000,1.600000,0.208451
645.000000,1.600000,0.198014
650.000000,1.600000,0.189000
655.000000,1.600000,0.183435
660.000000,1.600000,0.180212
665.000000,1.600000,0.173447
670.000000,1.600000,0.165004
675.000000,1.600000,0.164745
680.000000,1.600000,0.167792
685.000000,1.600000,0.168752
690.000000,1.600000,0.165173
695.000000,1.600000,0.165174
700.000000,1.600000,0.165824
705.000000,1.600000,0.168268
710.000000,1.600000,0.171066
715.000000,1.600000,0.171314
720.000000,1.600000,0.173890
725.000000,1.600000,0.180527
730.000000,1.600000,0.182272
735.000000,1.600000,0.182150
740.000000,1.600000,0.183714
745.000000,1.600000,0.193504
750.000000,1.600000,0.192799
755.000000,1.600000,0.189034
760.000000,1.600000,0.186413
765.000000,1.600000,0.181237
770.000000,1.600000,0.168658
775.000000,1.600000,0.146843
780.000000,1.600000,0.131138
