wavelength_nm,n,k
380.000000,1.600000,0.043391
385.000000,1.600000,0.077091
390.000000,1.600000,0.092419
395.000000,1.600000,0.096294
400.000000,1.600000,0.100196
405.000000,1.600000,0.107259
410.000000,1.600000,0.111520
415.000000,1.600000,0.114150
420.000000,1.600000,0.118299
425.000000,1.600000,0.127546
430.000000,1.600000,0.128419
435.000000,1.600000,0.118686
440.000000,1.600000,0.107305
445.000000,1.600000,0.094995
450.000000,1.600000,0.094976
455.000000,1.600000,0.103620
460.000000,1.600000,0.106148
465.000000,1.600000,0.096943
470.000000,1.600000,0.080790
475.000000,1.600000,0.052265
480.000000,1.600000,0.031627
485.000000,1.600000,0.020125
490.000000,1.600000,0.015284
495.000000,1.600000,0.011332
500.000000,1.600000,0.008269
505.000000,1.600000,0.006221
510.000000,1.600000,0.005022
515.000000,1.600000,0.004530
520.000000,1.600000,0.004277
525.000000,1.600000,0.004191
530.000000,1.600000,0.004190
535.000000,1.600000,0.004602
540.000000,1.600000,0.004832
545.000000,1.600000,0.004993
550.000000,1.600000,0.005321
555.000000,1.600000,0.006181
560.000000,1.600000,0.007371
565.000000,1.600000,0.009014
570.000000,1.600000,0.010843
575.000000,1.600000,0.012963
580.000000,1.600000,0.015505
585.000000,1.600000,0.019012
590.000000,1.600000,0.024037
595.000000,1.600000,0.029104
600.000000,1.600000,0.034361
605.000000,1.600000,0.044624
610.000000,1.600000,0.055135
615.000000,1.600000,0.070626
620.000000,1.600000,0.085467
625.000000,1.600000,0.101624
630.000000,1.600000,0.118639
635.000000,1.600000,0.132699
640.000000,1.600000,0.144731
645.000000,1.600000,0.155242
650.000000,1.600000,0.164819
655.000000,1.600000,0.173858
660.000000,1.600000,0.180904
665.000000,1.600000,0.186686
670.000000,1.600000,0.187076
675.000000,1.600000,0.180192
680.000000,1.600000,0.173348
685.000000,1.600000,0.164996
690.000000,1.600000,0.151965
695.000000,1.600000,0.136825
700.000000,1.600000,0.124329
705.000000,1.600000,0.115137
710.000000,1.600000,0.108342
715.000000,1.600000,0.103651
720.000000,1.600000,0.100896
725.000000,1.600000,0.103054
730.000000,1.600000,0.105251
735.000000,1.600000,0.105946
740.000000,1.600000,0.106597
745.000000,1.600000,0.102748
750.000000,1.600000,0.097674
755.000000,1.600000,0.093020
760.000000,1.600000,0.084160
765.000000,1.600000,0.075758
770.000000,1.600000,0.069979
775.000000,1.600000,0.063452
780.000000,1.600000,0.063484
