wavelength_nm,n,k
380.000000,1.600000,0.038784
385.000000,1.600000,0.035564
390.000000,1.600000,0.036427
395.000000,1.600000,0.039589
400.000000,1.600000,0.044437
405.000000,1.600000,0.050329
410.000000,1.600000,0.058584
415.000000,1.600000,0.068020
420.000000,1.600000,0.078997
425.000000,1.600000,0.090883
430.000000,1.600000,0.103961
435.000000,1.600000,0.114882
440.000000,1.600000,0.125148
445.000000,1.600000,0.138336
450.000000,1.600000,0.156158
455.000000,1.600000,0.174981
460.000000,1.600000,0.197033
465.000000,1.600000,0.219054
470.000000,1.600000,0.245606
475.000000,1.600000,0.261584
480.000000,1.600000,0.264338
485.000000,1.600000,0.267091
490.000000,1.600000,0.269845
495.000000,1.600000,0.272598
500.000000,1.600000,0.275352
505.000000,1.600000,0.278105
510.000000,1.600000,0.280859
515.000000,1.600000,0.283612
520.000000,1.600000,0.286366
525.000000,1.600000,0.289119
530.000000,1.600000,0.291873
535.000000,1.600000,0.294626
540.000000,1.600000,0.297380
545.000000,1.600000,0.300133
550.000000,1.600000,0.302887
555.000000,1.600000,0.305640
560.000000,1.600000,0.308394
565.000000,1.600000,0.311147
570.000000,1.600000,0.313901
575.000000,1.600000,0.316654
580.000000,1.600000,0.319408
585.000000,1.600000,0.167767
590.000000,1.600000,0.071297
595.000000,1.600000,0.022549
600.000000,1.600000,0.013475
605.000000,1.600000,0.008306
610.000000,1.600000,0.005325
615.000000,1.600000,0.004169
620.000000,1.600000,0.004264
625.000000,1.600000,0.004883
630.000000,1.600000,0.005126
635.000000,1.600000,0.005245
640.000000,1.600000,0.004806
645.000000,1.600000,0.004110
650.000000,1.600000,0.003657
655.000000,1.600000,0.003375
660.000000,1.600000,0.003218
665.000000,1.600000,0.003320
670.000000,1.600000,0.004048
675.000000,1.600000,0.004487
680.000000,1.600000,0.004825
685.000000,1.600000,0.005164
690.000000,1.600000,0.005398
695.000000,1.600000,0.005259
700.000000,1.600000,0.004908
705.000000,1.600000,0.004276
710.000000,1.600000,0.003910
715.000000,1.600000,0.003915
720.000000,1.600000,0.003884
725.000000,1.600000,0.003704
730.000000,1.600000,0.003871
735.000000,1.600000,0.004393
740.000000,1.600000,0.005069
745.000000,1.600000,0.005669
750.000000,1.600000,0.006072
755.000000,1.600000,0.006317
760.000000,1.600000,0.006394
765.000000,1.600000,0.006408
770.000000,1.600000,0.006258
775.000000,1.600000,0.005974
780.000000,1.600000,0.005676
