wavelength_nm,n,k
403.070000,2.413900,0.391530
406.930000,2.391500,0.357530
410.990000,2.352300,0.313800
415.260000,2.313700,0.303440
419.750000,2.299400,0.294130
424.010000,2.290600,0.285400
428.480000,2.277000,0.275590
433.160000,2.262700,0.268690
437.620000,2.248900,0.261300
442.080000,2.242700,0.254340
446.740000,2.235800,0.247910
451.400000,2.231400,0.241660
456.260000,2.227400,0.236580
460.910000,2.223300,0.231230
465.970000,2.218200,0.227470
470.600000,2.213300,0.222640
475.230000,2.206000,0.219910
480.270000,2.201200,0.216580
485.310000,2.193900,0.214830
490.330000,2.189900,0.213430
495.140000,2.185600,0.212520
500.370000,2.186900,0.214110
505.370000,2.188900,0.218870
510.370000,2.196800,0.227970
515.770000,2.211800,0.246430
520.960000,2.244400,0.272430
526.770000,2.314100,0.273530
531.110000,2.363600,0.180760
537.930000,2.313400,0.071162
543.080000,2.249500,0.022074
548.230000,2.207500,0.007094
553.370000,2.180700,0.003773
558.500000,2.149300,0.002973
563.830000,2.135000,0.002265
568.940000,2.115600,0.002064
574.250000,2.111700,0.002558
579.140000,2.090000,0.002718
584.430000,2.084600,0.002162
589.100000,2.076500,0.001611
594.170000,2.063000,0.001513
599.240000,2.060500,0.001714
604.690000,2.057800,0.002620
609.330000,2.042200,0.002808
613.970000,2.036500,0.002814
619.200000,2.038800,0.002524
624.610000,2.032000,0.002209
629.220000,2.022400,0.002055
634.020000,2.020800,0.001990
639.410000,2.025100,0.002159
643.800000,2.018900,0.002924
648.570000,2.008000,0.003177
653.940000,2.005300,0.003080
658.500000,2.003900,0.002798
664.030000,2.006500,0.002412
668.770000,1.998100,0.002276
673.310000,1.989000,0.002259
678.620000,1.987700,0.002209
683.530000,1.989000,0.002381
688.820000,1.991200,0.002873
694.490000,1.986100,0.003282
698.980000,1.977700,0.003249
704.240000,1.976200,0.003096
709.290000,1.978700,0.002806
715.110000,1.987000,0.002288
721.490000,1.997700,0.001525
725.930000,1.974300,0.001339
733.440000,1.972000,0.001232
737.280000,1.968400,0.001223
743.600000,1.973200,0.001400
750.860000,1.973700,0.002004
756.010000,1.956800,0.002338
764.170000,1.959100,0.002022
768.720000,1.965100,0.003101
774.010000,1.965000,0.003141
778.730000,1.964400,0.003216
784.180000,1.966400,0.003200
789.250000,1.966500,0.003235
794.300000,1.960500,0.003478
799.160000,1.953200,0.003779
804.190000,1.948300,0.003916
809.390000,1.943900,0.004033
814.400000,1.937700,0.004014
819.580000,1.933900,0.003791
824.380000,1.934400,0.003508
829.710000,1.937400,0.003367
834.850000,1.939500,0.003336
839.970000,1.940000,0.003372
845.090000,1.939400,0.003496
849.640000,1.936300,0.003676
855.090000,1.934400,0.003827
859.980000,1.931800,0.003985
864.850000,1.930900,0.004198
870.080000,1.931700,0.004329
874.930000,1.931600,0.004423
879.580000,1.930400,0.004507
884.590000,1.929400,0.004561
889.400000,1.927700,0.004615
894.020000,1.924800,0.004657
899.510000,1.922800,0.004616
904.990000,1.921100,0.004544
909.390000,1.918700,0.004375
914.300000,1.919500,0.004118
919.210000,1.921600,0.003852
924.100000,1.924000,0.003679
928.970000,1.926200,0.003613
933.650000,1.927400,0.003659
937.810000,1.926900,0.003767
942.990000,1.927800,0.003858
947.970000,1.927800,0.003937
953.290000,1.928400,0.004059
957.560000,1.926900,0.004170
962.330000,1.926300,0.004286
968.270000,1.927700,0.004385
972.670000,1.926100,0.004415
976.890000,1.923800,0.004610
982.610000,1.922800,0.004684
987.460000,1.920300,0.004848
992.300000,1.917700,0.004936
996.960000,1.914900,0.005058
1002.300000,1.913000,0.005104
1006.600000,1.909500,0.005211
1012.800000,1.909000,0.005269
1016.900000,1.904700,0.005274
1022.300000,1.902500,0.005219
1028.300000,1.902500,0.004988
1033.200000,1.902700,0.004891
1039.600000,1.906500,0.004700
1044.000000,1.908600,0.004580
1048.200000,1.910100,0.004600
1053.200000,1.912500,0.004694
1058.200000,1.913400,0.004841
1063.200000,1.913300,0.004943
1068.100000,1.913400,0.005199
1073.100000,1.914200,0.005275
1078.100000,1.910000,0.005830
1083.100000,1.905900,0.006255
1088.100000,1.901300,0.006671
1093.100000,1.893900,0.007181
1098.100000,1.882000,0.007859
