wavelength_nm,n,k
300,1.661532,0.885135
305,1.653470,0.918773
310,1.651378,0.959941
315,1.657255,1.007099
320,1.672692,1.058320
325,1.698834,1.111352
330,1.736326,1.163681
335,1.785243,1.212599
340,1.845006,1.255304
345,1.914287,1.289045
350,1.990948,1.311355
355,2.072066,1.320347
360,2.154105,1.315045
365,2.233271,1.295644
370,2.306000,1.263589
375,2.369451,1.221399
380,2.421862,1.172266
385,2.462661,1.119551
390,2.492330,1.066329
395,2.512119,1.015093
400,2.523713,0.967629
405,2.528946,0.925046
410,2.529598,0.887881
415,2.527281,0.856232
420,2.523383,0.829883
425,2.519064,0.808405
430,2.515261,0.791227
435,2.512709,0.777694
440,2.511962,0.767095
445,2.513403,0.758693
450,2.517256,0.751741
455,2.523595,0.745507
460,2.532344,0.739289
465,2.543294,0.732447
470,2.556109,0.724421
475,2.570352,0.714758
480,2.585506,0.703134
485,2.601013,0.689366
490,2.616307,0.673414
495,2.630855,0.655377
500,2.644186,0.635476
505,2.655918,0.614020
510,2.665774,0.591385
515,2.673586,0.567974
520,2.679287,0.544189
525,2.682904,0.520410
530,2.684535,0.496972
535,2.684334,0.474159
540,2.682490,0.452199
545,2.679212,0.431261
550,2.674716,0.411466
555,2.669213,0.392886
560,2.662902,0.375559
565,2.655968,0.359488
570,2.648578,0.344656
575,2.640879,0.331025
580,2.633000,0.318547
585,2.625051,0.307163
590,2.617129,0.296811
595,2.609314,0.287425
600,2.601674,0.278940
605,2.594268,0.271288
610,2.587142,0.264406
615,2.580339,0.258233
620,2.573891,0.252708
625,2.567828,0.247774
630,2.562174,0.243377
635,2.556950,0.239465
640,2.552175,0.235986
645,2.547864,0.232894
650,2.544034,0.230141
655,2.540698,0.227681
660,2.537870,0.225469
665,2.535563,0.223458
670,2.533793,0.221601
675,2.532572,0.219851
680,2.531915,0.218157
685,2.531837,0.216464
690,2.532354,0.214712
695,2.533480,0.212838
700,2.535231,0.210766
705,2.537619,0.208413
710,2.540653,0.205684
715,2.544339,0.202466
720,2.548669,0.198629
725,2.553623,0.194019
730,2.559156,0.188456
735,2.565189,0.181732
740,2.571588,0.173607
745,2.578146,0.163815
750,2.584547,0.152077
755,2.590328,0.138130
760,2.594842,0.121788
765,2.597225,0.103041
770,2.596419,0.082212
775,2.591282,0.060151
780,2.580882,0.038426
785,2.564991,0.019357
790,2.544738,0.005723
795,2.523454,0.000061
800,2.507665,0.000000
805,2.495454,0.000000
810,2.485086,0.000000
815,2.475969,0.000000
820,2.467781,0.000000
825,2.460325,0.000000
830,2.453464,0.000000
835,2.447100,0.000000
840,2.441160,0.000000
845,2.435588,0.000000
850,2.430337,0.000000
855,2.425372,0.000000
860,2.420662,0.000000
865,2.416182,0.000000
870,2.411911,0.000000
875,2.407830,0.000000
880,2.403923,0.000000
885,2.400177,0.000000
890,2.396580,0.000000
895,2.393121,0.000000
900,2.389790,0.000000
950,2.362030,0.000000
1000,2.341297,0.000000
1050,2.325071,0.000000
1100,2.311980,0.000000
1150,2.301185,0.000000
1200,2.292135,0.000000
1250,2.284445,0.000000
1300,2.277838,0.000000
1350,2.272108,0.000000
1400,2.267099,0.000000
1450,2.262690,0.000000
1500,2.258784,0.000000
1550,2.255305,0.000000
1600,2.252190,0.000000
1650,2.249389,0.000000
1700,2.246860,0.000000
1750,2.244568,0.000000
1800,2.242483,0.000000
1850,2.240581,0.000000
1900,2.238840,0.000000
1950,2.237242,0.000000
2000,2.235772,0.000000
