wavelength_nm,n,k
402.000000,2.062000,0.735000
412.000000,2.100000,0.735000
422.000000,2.139000,0.735000
432.000000,2.177000,0.733000
442.000000,2.220000,0.716000
452.000000,2.260000,0.697000
462.000000,2.291000,0.672000
472.000000,2.324000,0.645000
482.000000,2.355000,0.611000
492.000000,2.372000,0.572000
502.000000,2.385000,0.539000
512.000000,2.395000,0.499000
522.000000,2.396000,0.464000
532.000000,2.394000,0.424000
542.000000,2.394000,0.392000
552.000000,2.387000,0.366000
562.000000,2.378000,0.339000
572.000000,2.368000,0.317000
582.000000,2.358000,0.297000
592.000000,2.343000,0.277000
602.000000,2.332000,0.261000
612.000000,2.322000,0.249000
622.000000,2.309000,0.237000
632.000000,2.298000,0.224000
642.000000,2.285000,0.215000
652.000000,2.270000,0.207000
662.000000,2.255000,0.198000
672.000000,2.245000,0.194000
682.000000,2.235000,0.188000
692.000000,2.229000,0.180000
702.000000,2.229000,0.173000
712.000000,2.226000,0.166000
722.000000,2.223000,0.162000
732.000000,2.221000,0.156000
742.000000,2.221000,0.139000
752.000000,2.219000,0.122000
762.000000,2.219000,0.096000
772.000000,2.211000,0.067000
782.000000,2.169000,0.031000
792.000000,2.123000,0.012000
802.000000,2.061000,0.008002
812.000000,2.029000,0.010000
822.000000,2.010000,0.008149
832.000000,2.004000,0.003969
