wavelength_nm,n,k
303.600000,0.292900,0.851800
309.000000,0.324700,0.892200
314.400000,0.360400,0.945200
319.800000,0.397200,1.008300
325.100000,0.440200,1.074500
330.500000,0.519300,1.146400
335.900000,0.633100,1.212000
341.300000,0.781100,1.278700
346.700000,1.001600,1.329000
352.000000,1.237200,1.355300
357.400000,1.430300,1.367900
362.800000,1.644100,1.349600
368.200000,1.836100,1.316300
373.500000,2.016600,1.263500
378.900000,2.158200,1.187100
384.300000,2.244900,1.121900
389.700000,2.286100,1.046700
395.000000,2.313600,0.996000
400.400000,2.333300,0.925100
405.800000,2.327800,0.875600
411.200000,2.309500,0.835600
416.600000,2.289300,0.810000
421.900000,2.270700,0.770800
427.300000,2.251000,0.754200
432.700000,2.234800,0.739300
438.100000,2.220600,0.729100
443.400000,2.208300,0.723700
448.800000,2.208700,0.720200
454.200000,2.213500,0.716500
459.600000,2.223400,0.713300
464.900000,2.240000,0.708200
470.300000,2.262200,0.701700
475.700000,2.289400,0.694800
481.100000,2.320800,0.686100
486.500000,2.354200,0.676400
491.800000,2.388200,0.665200
497.200000,2.430700,0.649400
502.600000,2.468400,0.627400
508.000000,2.495200,0.604900
513.300000,2.515700,0.581200
518.700000,2.531000,0.553500
524.100000,2.545200,0.532000
529.500000,2.556400,0.497800
534.800000,2.563000,0.475300
540.200000,2.564500,0.436600
545.600000,2.557200,0.419100
551.000000,2.540100,0.394700
556.400000,2.514200,0.376400
561.700000,2.500000,0.353700
567.100000,2.482900,0.336900
572.500000,2.462400,0.325200
577.900000,2.437800,0.308300
583.200000,2.407400,0.293300
588.600000,2.390600,0.280100
594.000000,2.366300,0.268200
599.400000,2.339900,0.256500
604.700000,2.309000,0.246500
610.100000,2.286100,0.237700
615.500000,2.271800,0.230200
620.900000,2.252200,0.224900
626.300000,2.233000,0.220800
631.600000,2.214700,0.217000
637.000000,2.197500,0.213300
642.400000,2.181500,0.211600
647.800000,2.166800,0.209800
653.100000,2.153100,0.207600
658.500000,2.140400,0.204600
663.900000,2.127800,0.202700
669.300000,2.116500,0.201800
674.600000,2.106200,0.201200
680.000000,2.097200,0.200300
685.400000,2.088400,0.200300
690.800000,2.079800,0.199700
696.200000,2.072900,0.198500
701.500000,2.069200,0.196700
706.900000,2.072100,0.196400
712.300000,2.076900,0.195800
717.700000,2.084500,0.194200
723.000000,2.097300,0.190700
728.400000,2.107500,0.184900
733.800000,2.116600,0.177900
739.200000,2.126400,0.169800
744.500000,2.143200,0.159100
749.900000,2.153100,0.146400
755.300000,2.156900,0.130100
760.700000,2.154600,0.108200
766.100000,2.148400,0.076800
771.400000,2.136600,0.059700
776.800000,2.117800,0.047800
782.200000,2.088200,0.036900
787.600000,2.037500,0.024000
792.900000,1.989800,0.016100
798.300000,1.935200,0.010400
803.700000,1.893100,0.006700
809.100000,1.864800,0.005700
814.400000,1.832200,0.005500
819.800000,1.799100,0.005200
825.200000,1.776700,0.004300
830.600000,1.759400,0.002200
835.900000,1.744100,0.001700
841.300000,1.729200,0.001700
846.700000,1.716200,0.001800
852.100000,1.706300,0.001800
857.500000,1.698200,0.001900
862.800000,1.690500,0.001900
868.200000,1.683200,0.002000
873.600000,1.676700,0.002000
879.000000,1.671200,0.002000
884.300000,1.665900,0.002100
889.700000,1.660900,0.002100
895.100000,1.656100,0.001900
900.500000,1.651100,0.000900
