wavelength_nm,n,k
350,2.380000,0.970000
351,2.380000,0.970000
352,2.390000,0.971000
353,2.390000,0.971000
354,2.400000,0.971000
355,2.400000,0.971000
356,2.410000,0.972000
357,2.420000,0.972000
358,2.420000,0.972000
359,2.430000,0.972000
360,2.440000,0.973000
361,2.440000,0.972000
362,2.450000,0.972000
363,2.460000,0.972000
364,2.470000,0.971000
365,2.480000,0.970000
366,2.490000,0.969000
367,2.490000,0.968000
368,2.500000,0.967000
369,2.500000,0.965000
370,2.510000,0.963000
371,2.510000,0.961000
372,2.520000,0.959000
373,2.530000,0.957000
374,2.530000,0.955000
375,2.540000,0.953000
376,2.560000,0.950000
377,2.570000,0.948000
378,2.580000,0.945000
379,2.590000,0.942000
380,2.600000,0.940000
381,2.600000,0.937000
382,2.610000,0.934000
383,2.610000,0.931000
384,2.620000,0.928000
385,2.620000,0.924000
386,2.630000,0.921000
387,2.630000,0.916000
388,2.640000,0.912000
389,2.640000,0.907000
390,2.650000,0.903000
391,2.650000,0.898000
392,2.660000,0.894000
393,2.660000,0.891000
394,2.670000,0.888000
395,2.670000,0.886000
396,2.680000,0.883000
397,2.680000,0.880000
398,2.690000,0.877000
399,2.690000,0.873000
400,2.690000,0.869000
401,2.700000,0.863000
402,2.700000,0.857000
403,2.700000,0.851000
404,2.710000,0.844000
405,2.710000,0.839000
406,2.710000,0.835000
407,2.720000,0.831000
408,2.720000,0.828000
409,2.720000,0.825000
410,2.730000,0.821000
411,2.730000,0.817000
412,2.730000,0.813000
413,2.740000,0.808000
414,2.740000,0.803000
415,2.740000,0.798000
416,2.740000,0.793000
417,2.750000,0.788000
418,2.750000,0.782000
419,2.750000,0.776000
420,2.750000,0.769000
421,2.760000,0.762000
422,2.760000,0.756000
423,2.760000,0.749000
424,2.760000,0.744000
425,2.770000,0.740000
426,2.770000,0.738000
427,2.770000,0.735000
428,2.770000,0.732000
429,2.770000,0.729000
430,2.780000,0.726000
431,2.780000,0.723000
432,2.780000,0.719000
433,2.780000,0.715000
434,2.780000,0.711000
435,2.780000,0.705000
436,2.790000,0.698000
437,2.790000,0.691000
438,2.790000,0.685000
439,2.790000,0.680000
440,2.790000,0.676000
441,2.790000,0.673000
442,2.790000,0.670000
443,2.790000,0.668000
444,2.790000,0.666000
445,2.800000,0.663000
446,2.800000,0.659000
447,2.800000,0.656000
448,2.800000,0.652000
449,2.800000,0.648000
450,2.800000,0.644000
451,2.800000,0.639000
452,2.800000,0.635000
453,2.800000,0.630000
454,2.800000,0.625000
455,2.800000,0.620000
456,2.800000,0.614000
457,2.800000,0.609000
458,2.800000,0.604000
459,2.800000,0.599000
460,2.800000,0.596000
461,2.800000,0.592000
462,2.800000,0.589000
463,2.800000,0.587000
464,2.800000,0.584000
465,2.800000,0.582000
466,2.800000,0.579000
467,2.800000,0.576000
468,2.800000,0.573000
469,2.800000,0.570000
470,2.800000,0.567000
471,2.800000,0.564000
472,2.800000,0.561000
473,2.800000,0.557000
474,2.800000,0.554000
475,2.800000,0.551000
476,2.800000,0.549000
477,2.800000,0.546000
478,2.800000,0.544000
479,2.800000,0.541000
480,2.800000,0.539000
481,2.800000,0.536000
482,2.800000,0.534000
483,2.790000,0.532000
484,2.790000,0.530000
485,2.790000,0.528000
486,2.790000,0.525000
487,2.790000,0.523000
488,2.790000,0.521000
489,2.790000,0.519000
490,2.790000,0.517000
491,2.790000,0.515000
492,2.790000,0.513000
493,2.790000,0.511000
494,2.790000,0.509000
495,2.790000,0.507000
496,2.780000,0.504000
497,2.780000,0.502000
498,2.780000,0.499000
499,2.780000,0.497000
500,2.780000,0.494000
501,2.780000,0.492000
502,2.780000,0.490000
503,2.780000,0.487000
504,2.780000,0.485000
505,2.780000,0.483000
506,2.780000,0.481000
507,2.780000,0.479000
508,2.780000,0.477000
509,2.780000,0.475000
510,2.770000,0.473000
511,2.770000,0.471000
512,2.770000,0.469000
513,2.770000,0.467000
514,2.770000,0.466000
515,2.770000,0.464000
516,2.770000,0.462000
517,2.770000,0.461000
518,2.770000,0.459000
519,2.770000,0.457000
520,2.770000,0.456000
521,2.770000,0.454000
522,2.770000,0.453000
523,2.770000,0.452000
524,2.770000,0.450000
525,2.770000,0.449000
526,2.770000,0.448000
527,2.770000,0.446000
528,2.760000,0.445000
529,2.760000,0.444000
530,2.760000,0.443000
531,2.760000,0.442000
532,2.760000,0.441000
533,2.760000,0.440000
534,2.760000,0.438000
535,2.760000,0.437000
536,2.760000,0.436000
537,2.760000,0.436000
538,2.760000,0.435000
539,2.760000,0.434000
540,2.760000,0.433000
541,2.760000,0.432000
542,2.760000,0.431000
543,2.760000,0.430000
544,2.760000,0.429000
545,2.760000,0.428000
546,2.760000,0.427000
547,2.760000,0.426000
548,2.760000,0.425000
549,2.760000,0.424000
550,2.760000,0.423000
551,2.760000,0.422000
552,2.750000,0.420000
553,2.750000,0.419000
554,2.750000,0.418000
555,2.750000,0.417000
556,2.750000,0.416000
557,2.750000,0.415000
558,2.750000,0.414000
559,2.750000,0.413000
560,2.750000,0.412000
561,2.750000,0.412000
562,2.750000,0.411000
563,2.750000,0.410000
564,2.750000,0.409000
565,2.750000,0.408000
566,2.750000,0.408000
567,2.750000,0.407000
568,2.750000,0.406000
569,2.750000,0.405000
570,2.750000,0.405000
571,2.750000,0.404000
572,2.750000,0.403000
573,2.750000,0.403000
574,2.750000,0.402000
575,2.750000,0.401000
576,2.750000,0.400000
577,2.750000,0.399000
578,2.750000,0.399000
579,2.750000,0.398000
580,2.750000,0.397000
581,2.750000,0.396000
582,2.750000,0.395000
583,2.750000,0.395000
584,2.750000,0.394000
585,2.750000,0.393000
586,2.750000,0.392000
587,2.750000,0.392000
588,2.750000,0.391000
589,2.750000,0.391000
590,2.750000,0.390000
591,2.750000,0.389000
592,2.750000,0.389000
593,2.750000,0.388000
594,2.750000,0.388000
595,2.750000,0.387000
596,2.750000,0.387000
597,2.750000,0.386000
598,2.750000,0.386000
599,2.750000,0.385000
600,2.750000,0.385000
601,2.750000,0.384000
602,2.750000,0.384000
603,2.750000,0.383000
604,2.750000,0.383000
605,2.750000,0.382000
606,2.750000,0.381000
607,2.750000,0.381000
608,2.750000,0.380000
609,2.750000,0.379000
610,2.750000,0.379000
611,2.750000,0.378000
612,2.750000,0.377000
613,2.750000,0.376000
614,2.750000,0.376000
615,2.750000,0.375000
616,2.750000,0.374000
617,2.750000,0.374000
618,2.750000,0.373000
619,2.750000,0.372000
620,2.750000,0.372000
621,2.750000,0.371000
622,2.750000,0.371000
623,2.750000,0.370000
624,2.750000,0.370000
625,2.750000,0.369000
626,2.750000,0.369000
627,2.750000,0.368000
628,2.750000,0.368000
629,2.750000,0.367000
630,2.750000,0.367000
631,2.750000,0.366000
632,2.750000,0.366000
633,2.750000,0.365000
634,2.750000,0.365000
635,2.750000,0.364000
636,2.750000,0.364000
637,2.750000,0.363000
638,2.750000,0.362000
639,2.750000,0.362000
640,2.750000,0.361000
641,2.750000,0.360000
642,2.750000,0.360000
643,2.750000,0.359000
644,2.750000,0.358000
645,2.750000,0.358000
646,2.750000,0.357000
647,2.750000,0.356000
648,2.750000,0.356000
649,2.750000,0.355000
650,2.750000,0.355000
651,2.750000,0.354000
652,2.750000,0.354000
653,2.750000,0.353000
654,2.750000,0.353000
655,2.760000,0.352000
656,2.760000,0.352000
657,2.760000,0.351000
658,2.760000,0.351000
659,2.760000,0.351000
660,2.760000,0.350000
661,2.760000,0.350000
662,2.760000,0.350000
663,2.760000,0.349000
664,2.760000,0.349000
665,2.760000,0.348000
666,2.760000,0.348000
667,2.760000,0.348000
668,2.760000,0.347000
669,2.760000,0.347000
670,2.760000,0.346000
671,2.760000,0.346000
672,2.760000,0.346000
673,2.760000,0.345000
674,2.760000,0.344000
675,2.760000,0.344000
676,2.760000,0.343000
677,2.760000,0.343000
678,2.760000,0.342000
679,2.760000,0.342000
680,2.760000,0.341000
681,2.760000,0.341000
682,2.760000,0.340000
683,2.760000,0.339000
684,2.760000,0.339000
685,2.760000,0.338000
686,2.760000,0.337000
687,2.760000,0.337000
688,2.760000,0.336000
689,2.760000,0.335000
690,2.760000,0.335000
691,2.760000,0.334000
692,2.760000,0.333000
693,2.760000,0.332000
694,2.760000,0.332000
695,2.760000,0.331000
696,2.760000,0.330000
697,2.760000,0.329000
698,2.760000,0.328000
699,2.760000,0.328000
700,2.760000,0.327000
701,2.760000,0.326000
702,2.760000,0.325000
703,2.770000,0.325000
704,2.770000,0.324000
705,2.770000,0.323000
706,2.770000,0.323000
707,2.770000,0.322000
708,2.770000,0.322000
709,2.770000,0.321000
710,2.770000,0.321000
711,2.770000,0.321000
712,2.770000,0.320000
713,2.770000,0.320000
714,2.770000,0.320000
715,2.770000,0.319000
716,2.770000,0.319000
717,2.770000,0.318000
718,2.770000,0.318000
719,2.770000,0.317000
720,2.770000,0.317000
721,2.770000,0.316000
722,2.770000,0.315000
723,2.770000,0.315000
724,2.770000,0.314000
725,2.770000,0.313000
726,2.770000,0.312000
727,2.770000,0.312000
728,2.770000,0.311000
729,2.770000,0.310000
730,2.770000,0.309000
731,2.770000,0.308000
732,2.770000,0.307000
733,2.770000,0.306000
734,2.770000,0.305000
735,2.770000,0.305000
736,2.770000,0.304000
737,2.770000,0.303000
738,2.770000,0.302000
739,2.770000,0.301000
740,2.770000,0.300000
741,2.780000,0.299000
742,2.780000,0.298000
743,2.780000,0.297000
744,2.780000,0.296000
745,2.780000,0.296000
746,2.780000,0.295000
747,2.780000,0.294000
748,2.780000,0.293000
749,2.780000,0.293000
750,2.780000,0.292000
751,2.780000,0.292000
752,2.780000,0.292000
753,2.780000,0.291000
754,2.780000,0.291000
755,2.780000,0.290000
756,2.780000,0.290000
757,2.780000,0.289000
758,2.780000,0.289000
759,2.780000,0.289000
760,2.780000,0.288000
761,2.780000,0.288000
762,2.780000,0.287000
763,2.780000,0.287000
764,2.780000,0.286000
765,2.780000,0.285000
766,2.780000,0.285000
767,2.780000,0.284000
768,2.780000,0.283000
769,2.780000,0.282000
770,2.780000,0.281000
771,2.780000,0.280000
772,2.780000,0.280000
773,2.790000,0.279000
774,2.790000,0.278000
775,2.790000,0.277000
776,2.790000,0.276000
777,2.790000,0.275000
778,2.790000,0.275000
779,2.790000,0.274000
780,2.790000,0.273000
781,2.790000,0.272000
782,2.790000,0.272000
783,2.790000,0.271000
784,2.790000,0.271000
785,2.790000,0.271000
786,2.790000,0.270000
787,2.790000,0.270000
788,2.790000,0.270000
789,2.790000,0.269000
790,2.790000,0.269000
791,2.790000,0.269000
792,2.790000,0.268000
793,2.790000,0.268000
794,2.790000,0.268000
795,2.790000,0.267000
796,2.790000,0.267000
797,2.790000,0.266000
798,2.790000,0.266000
799,2.790000,0.265000
800,2.790000,0.265000
801,2.790000,0.264000
802,2.790000,0.263000
