wavelength_nm,n,k
380,0.749830,1.579100
382,0.745970,1.587100
384,0.742170,1.595090
386,0.738480,1.603050
388,0.734930,1.611000
390,0.731600,1.618900
392,0.728510,1.626760
394,0.725680,1.634550
396,0.723100,1.642240
398,0.720770,1.649790
400,0.718690,1.657190
402,0.716840,1.664410
404,0.715160,1.671480
406,0.713590,1.678440
408,0.712050,1.685310
410,0.710480,1.692130
412,0.708830,1.698930
414,0.707110,1.705710
416,0.705370,1.712470
418,0.703660,1.719210
420,0.702000,1.725920
422,0.700440,1.732590
424,0.699000,1.739190
426,0.697720,1.745690
428,0.696620,1.752050
430,0.695720,1.758230
432,0.695040,1.764220
434,0.694500,1.770040
436,0.694050,1.775750
438,0.693590,1.781400
440,0.693060,1.787040
442,0.692390,1.792710
444,0.691590,1.798410
446,0.690710,1.804140
448,0.689760,1.809870
450,0.688790,1.815600
452,0.687820,1.821310
454,0.686890,1.826980
456,0.686020,1.832570
458,0.685240,1.838030
460,0.684570,1.843350
462,0.684050,1.848490
464,0.683700,1.853470
466,0.683540,1.858300
468,0.683580,1.863020
470,0.683850,1.867650
472,0.684350,1.872200
474,0.685010,1.876700
476,0.685720,1.881170
478,0.686390,1.885640
480,0.686940,1.890120
482,0.687270,1.894640
484,0.687430,1.899170
486,0.687470,1.903710
488,0.687430,1.908230
490,0.687360,1.912710
492,0.687320,1.917140
494,0.687300,1.921520
496,0.687310,1.925880
498,0.687340,1.930210
500,0.687400,1.934540
502,0.687490,1.938860
504,0.687620,1.943150
506,0.687780,1.947370
508,0.688000,1.951480
510,0.688260,1.955450
512,0.688570,1.959260
514,0.688890,1.962970
516,0.689150,1.966650
518,0.689300,1.970380
520,0.689280,1.974230
522,0.689050,1.978250
524,0.688710,1.982380
526,0.688340,1.986540
528,0.688050,1.990620
530,0.687960,1.994540
532,0.688120,1.998230
534,0.688520,2.001740
536,0.689100,2.005150
538,0.689810,2.008520
540,0.690580,2.011930
542,0.691370,2.015430
544,0.692120,2.019040
546,0.692760,2.022750
548,0.693240,2.026550
550,0.693490,2.030440
552,0.693500,2.034400
554,0.693410,2.038350
556,0.693400,2.042220
558,0.693660,2.045910
560,0.694360,2.049340
562,0.695620,2.052470
564,0.697200,2.055420
566,0.698810,2.058320
568,0.700140,2.061340
570,0.700880,2.064630
572,0.700860,2.068280
574,0.700320,2.072160
576,0.699650,2.076050
578,0.699210,2.079770
580,0.699390,2.083110
582,0.700430,2.085960
584,0.702060,2.088520
586,0.703890,2.091080
588,0.705530,2.093930
590,0.706580,2.097350
592,0.706780,2.101530
594,0.706400,2.106220
596,0.705860,2.111040
598,0.705550,2.115660
600,0.705890,2.119700
602,0.707160,2.122920
604,0.709100,2.125530
606,0.711320,2.127850
608,0.713440,2.130190
610,0.715060,2.132880
612,0.715920,2.136140
614,0.716190,2.139810
616,0.716170,2.143650
618,0.716150,2.147380
620,0.716420,2.150770
622,0.717190,2.153630
624,0.718330,2.156150
626,0.719590,2.158580
628,0.720740,2.161160
630,0.721570,2.164170
632,0.721910,2.167750
634,0.721920,2.171730
636,0.721850,2.175810
638,0.721940,2.179720
640,0.722420,2.183170
642,0.723460,2.185970
644,0.724840,2.188320
646,0.726300,2.190500
648,0.727560,2.192820
650,0.728330,2.195540
652,0.728420,2.198890
654,0.728060,2.202710
656,0.727540,2.206800
658,0.727180,2.210910
660,0.727270,2.214830
662,0.728040,2.218390
664,0.729330,2.221630
666,0.730860,2.224650
668,0.732400,2.227560
670,0.733690,2.230450
672,0.734540,2.233400
674,0.735040,2.236410
676,0.735360,2.239460
678,0.735660,2.242510
680,0.736090,2.245540
682,0.736790,2.248530
684,0.737690,2.251490
686,0.738710,2.254420
688,0.739760,2.257330
690,0.740730,2.260230
692,0.741570,2.263150
694,0.742220,2.266190
696,0.742700,2.269460
698,0.742980,2.273080
700,0.743050,2.277170
702,0.742920,2.281770
704,0.742700,2.286630
706,0.742530,2.291410
708,0.742550,2.295780
710,0.742870,2.299410
712,0.743610,2.302070
714,0.744690,2.303910
716,0.746020,2.305160
718,0.747480,2.306080
720,0.748970,2.306910
722,0.750390,2.307900
724,0.751600,2.309330
726,0.752470,2.311470
728,0.752850,2.314620
730,0.752620,2.319060
732,0.751720,2.324880
734,0.750470,2.331470
736,0.749260,2.338050
738,0.748520,2.343820
740,0.748630,2.347970
742,0.749860,2.349990
744,0.751940,2.350360
746,0.754440,2.349850
748,0.756950,2.349220
750,0.759040,2.349230
752,0.760390,2.350490
754,0.761010,2.352990
756,0.760990,2.356600
758,0.760430,2.361170
760,0.759440,2.366550
762,0.758140,2.372530
764,0.756780,2.378650
766,0.755640,2.384360
768,0.754990,2.389150
770,0.755120,2.392490
772,0.756210,2.393980
774,0.758140,2.393890
776,0.760700,2.392600
778,0.763680,2.390520
780,0.766870,2.388040
