wavelength_nm,n,k
350.000000,0.625620,1.156200
351.250000,0.625170,1.157600
352.510000,0.624330,1.160500
353.760000,0.623190,1.164700
355.010000,0.621860,1.170000
356.260000,0.620430,1.176400
357.520000,0.618970,1.183800
358.770000,0.617510,1.192000
360.020000,0.616070,1.200600
361.280000,0.614660,1.209400
362.530000,0.613270,1.217900
363.780000,0.611930,1.225900
365.030000,0.610620,1.233200
366.290000,0.609370,1.239900
367.540000,0.608150,1.246300
368.790000,0.606980,1.252600
370.050000,0.605850,1.259100
371.300000,0.604760,1.265800
372.550000,0.603690,1.273000
373.800000,0.602670,1.280400
375.060000,0.601690,1.288200
376.310000,0.600740,1.296000
377.560000,0.599840,1.303900
378.820000,0.598970,1.311700
380.070000,0.598140,1.319200
381.320000,0.597330,1.326500
382.570000,0.596550,1.333500
383.830000,0.595790,1.340300
385.080000,0.595060,1.346800
386.330000,0.594350,1.353300
387.590000,0.593680,1.359800
388.840000,0.593040,1.366300
390.090000,0.592430,1.372800
391.340000,0.591860,1.379200
392.600000,0.591310,1.385500
393.850000,0.590790,1.391800
395.100000,0.590290,1.398000
396.360000,0.589830,1.404400
397.610000,0.589390,1.410900
398.860000,0.588980,1.417700
400.110000,0.588590,1.424800
401.370000,0.588230,1.432000
402.620000,0.587890,1.439300
403.870000,0.587570,1.446400
405.130000,0.587270,1.453200
406.380000,0.587000,1.459600
407.630000,0.586740,1.465600
408.880000,0.586520,1.471300
410.140000,0.586320,1.477000
411.390000,0.586140,1.482700
412.640000,0.586000,1.488800
413.900000,0.585860,1.495300
415.150000,0.585750,1.502200
416.400000,0.585630,1.509400
417.650000,0.585530,1.516500
418.910000,0.585430,1.523500
420.160000,0.585340,1.530200
421.410000,0.585250,1.536600
422.670000,0.585180,1.542800
423.920000,0.585130,1.549000
425.170000,0.585090,1.555200
426.420000,0.585080,1.561500
427.680000,0.585080,1.567900
428.930000,0.585110,1.574300
430.180000,0.585160,1.580700
431.440000,0.585220,1.587000
432.690000,0.585300,1.593400
433.940000,0.585390,1.599800
435.190000,0.585490,1.606300
436.450000,0.585600,1.612800
437.700000,0.585710,1.619400
438.950000,0.585830,1.626100
440.210000,0.585950,1.632800
441.460000,0.586070,1.639400
442.710000,0.586190,1.645900
443.960000,0.586310,1.652100
445.220000,0.586430,1.658000
446.470000,0.586550,1.663800
447.720000,0.586690,1.669300
448.970000,0.586850,1.674800
450.230000,0.587020,1.680300
451.480000,0.587210,1.686000
452.730000,0.587420,1.691800
453.990000,0.587650,1.697700
455.240000,0.587890,1.703700
456.490000,0.588130,1.709800
457.740000,0.588390,1.715700
459.000000,0.588650,1.721600
460.250000,0.588920,1.727300
461.500000,0.589200,1.732800
462.760000,0.589480,1.738100
464.010000,0.589770,1.743200
465.260000,0.590070,1.748300
466.510000,0.590380,1.753500
467.770000,0.590690,1.758900
469.020000,0.591020,1.764600
470.270000,0.591340,1.770700
471.530000,0.591670,1.777100
472.780000,0.592010,1.783800
474.030000,0.592350,1.790600
475.280000,0.592690,1.797200
476.540000,0.593040,1.803600
477.790000,0.593390,1.809700
479.040000,0.593750,1.815500
480.300000,0.594110,1.821200
481.550000,0.594470,1.826800
482.800000,0.594840,1.832600
484.050000,0.595210,1.838500
485.310000,0.595590,1.844600
486.560000,0.595970,1.850900
487.810000,0.596370,1.857100
489.070000,0.596770,1.863400
490.320000,0.597190,1.869400
491.570000,0.597610,1.875300
492.820000,0.598040,1.881000
494.080000,0.598480,1.886300
495.330000,0.598920,1.891500
496.580000,0.599370,1.896500
497.840000,0.599810,1.901500
499.090000,0.600250,1.906600
500.340000,0.600690,1.911800
501.590000,0.601120,1.917200
502.850000,0.601560,1.922800
504.100000,0.602000,1.928600
505.350000,0.602440,1.934500
506.610000,0.602880,1.940500
507.860000,0.603320,1.946400
509.110000,0.603770,1.952300
510.360000,0.604220,1.958200
511.620000,0.604680,1.964100
512.870000,0.605140,1.970000
514.120000,0.605610,1.975800
515.380000,0.606080,1.981400
516.630000,0.606550,1.986900
517.880000,0.607030,1.992200
519.130000,0.607500,1.997200
520.390000,0.607980,2.002200
521.640000,0.608460,2.007200
522.890000,0.608930,2.012200
524.150000,0.609410,2.017300
525.400000,0.609890,2.022600
526.650000,0.610380,2.028000
527.900000,0.610860,2.033600
529.160000,0.611350,2.039200
530.410000,0.611840,2.044800
531.660000,0.612320,2.050200
532.920000,0.612810,2.055400
534.170000,0.613290,2.060200
535.420000,0.613780,2.064700
536.670000,0.614270,2.069200
537.930000,0.614770,2.073800
539.180000,0.615270,2.078800
540.430000,0.615780,2.084200
541.690000,0.616300,2.090100
542.940000,0.616810,2.096400
544.190000,0.617320,2.102800
545.440000,0.617830,2.109100
546.700000,0.618330,2.115100
547.950000,0.618830,2.120700
549.200000,0.619330,2.125700
550.460000,0.619830,2.130400
551.710000,0.620330,2.134900
552.960000,0.620830,2.139300
554.210000,0.621330,2.143900
555.470000,0.621840,2.148700
556.720000,0.622350,2.153900
557.970000,0.622860,2.159500
559.230000,0.623360,2.165500
560.480000,0.623880,2.171800
561.730000,0.624390,2.178200
562.980000,0.624920,2.184500
564.240000,0.625440,2.190600
565.490000,0.625980,2.196600
566.740000,0.626510,2.202400
568.000000,0.627050,2.208000
569.250000,0.627590,2.213500
570.500000,0.628120,2.219000
571.750000,0.628660,2.224500
573.010000,0.629180,2.229800
574.260000,0.629710,2.235000
575.510000,0.630220,2.240000
576.770000,0.630740,2.244700
578.020000,0.631250,2.249000
579.270000,0.631760,2.253000
580.520000,0.632270,2.256700
581.780000,0.632780,2.260300
583.030000,0.633300,2.264100
584.280000,0.633830,2.268400
585.540000,0.634350,2.273300
586.790000,0.634860,2.278900
588.040000,0.635380,2.285000
589.290000,0.635880,2.291400
