wavelength_nm,n,k
300,1.761040,0.779710
305,1.751170,0.855994
310,1.749760,0.930110
315,1.764587,1.003235
320,1.794730,1.071960
325,1.836348,1.135100
330,1.890810,1.189240
335,1.954717,1.234619
340,2.026900,1.265470
345,2.104270,1.280816
350,2.183760,1.287590
355,2.261955,1.276235
360,2.335420,1.252750
365,2.399980,1.217928
370,2.457540,1.172850
375,2.502951,1.122848
380,2.537400,1.070140
385,2.561550,1.017370
390,2.576580,0.966630
395,2.583949,0.919440
400,2.585210,0.876790
405,2.581873,0.839243
410,2.575310,0.807050
415,2.566775,0.780230
420,2.557350,0.758650
425,2.548089,0.742064
430,2.539930,0.730130
435,2.533828,0.722376
440,2.530700,0.718180
445,2.531389,0.716660
450,2.536660,0.716650
455,2.546938,0.716655
460,2.562170,0.714910
465,2.581626,0.709609
470,2.603820,0.699270
475,2.626694,0.683053
480,2.648030,0.661120
485,2.665894,0.634495
490,2.679110,0.604840
495,2.687315,0.573926
500,2.690810,0.543340
505,2.690366,0.514173
510,2.686840,0.487120
515,2.681140,0.462449
520,2.673990,0.440200
525,2.665985,0.420238
530,2.657560,0.402340
535,2.649020,0.386251
540,2.640590,0.371750
545,2.632397,0.358584
550,2.624520,0.346570
555,2.617010,0.335519
560,2.609870,0.325290
565,2.603121,0.315759
570,2.596720,0.306810
575,2.590665,0.298376
580,2.584930,0.290370
585,2.579482,0.282737
590,2.574290,0.275440
595,2.569339,0.268443
600,2.564600,0.261700
605,2.560039,0.255217
610,2.555640,0.248960
615,2.551388,0.242936
620,2.547270,0.237130
625,2.543258,0.231549
630,2.539360,0.226210
635,2.535566,0.221104
640,2.531870,0.216260
645,2.528288,0.211688
650,2.524820,0.207420
655,2.521512,0.203471
660,2.518380,0.199890
665,2.515478,0.196694
670,2.512870,0.193920
675,2.510654,0.191612
680,2.508950,0.189790
685,2.507931,0.188489
690,2.507810,0.187680
695,2.508897,0.187295
700,2.511580,0.187180
705,2.516298,0.186971
710,2.523580,0.186040
715,2.533804,0.183254
720,2.546920,0.176970
725,2.561816,0.165059
730,2.575740,0.145830
735,2.584516,0.119473
740,2.584360,0.089250
745,2.574536,0.060349
750,2.557610,0.037010
755,2.537492,0.020709
760,2.517360,0.010740
765,2.499103,0.005556
770,2.483880,0.003460
775,2.471319,0.002077
780,2.460200,0.001030
785,2.450126,0.000339
790,2.440960,0.000021
795,2.432730,0.000000
800,2.425290,0.000000
805,2.418441,0.000000
810,2.412070,0.000000
815,2.406107,0.000000
820,2.400500,0.000000
825,2.395210,0.000000
830,2.390190,0.000000
835,2.385424,0.000000
840,2.380880,0.000000
845,2.376542,0.000000
850,2.372390,0.000000
855,2.368410,0.000000
860,2.364580,0.000000
865,2.360910,0.000000
870,2.357370,0.000000
875,2.353965,0.000000
880,2.350670,0.000000
885,2.347501,0.000000
890,2.344430,0.000000
895,2.341456,0.000000
900,2.338580,0.000000
950,2.314020,0.000000
1000,2.295110,0.000000
1050,2.280030,0.000000
1100,2.267690,0.000000
1150,2.257420,0.000000
1200,2.248740,0.000000
1250,2.241320,0.000000
1300,2.234910,0.000000
1350,2.229330,0.000000
1400,2.224440,0.000000
1450,2.220120,0.000000
1500,2.216280,0.000000
1550,2.212850,0.000000
1600,2.209780,0.000000
1650,2.207010,0.000000
1700,2.204510,0.000000
1750,2.202230,0.000000
1800,2.200160,0.000000
1850,2.198270,0.000000
1900,2.196540,0.000000
1950,2.194950,0.000000
2000,2.193480,0.000000
