wavelength_nm,n,k
309.960496,1.805780,0.987470
313.884047,1.840310,1.016850
317.908201,1.880600,1.044210
322.036879,1.926790,1.068220
326.274206,1.978700,1.087370
330.624529,2.035690,1.100030
335.092428,2.096510,1.104650
339.682735,2.159370,1.099960
344.400551,2.221990,1.085280
349.251263,2.281790,1.060670
354.240567,2.336320,1.027060
359.374488,2.383490,0.986190
364.659407,2.421950,0.940350
370.102085,2.451160,0.892060
375.709692,2.471410,0.843780
381.489841,2.483670,0.797560
387.450620,2.489340,0.754990
393.600630,2.490060,0.717090
399.949027,2.487530,0.684380
406.505569,2.483390,0.656940
413.280661,2.479180,0.634460
420.285418,2.476270,0.616320
427.531719,2.475850,0.601620
435.032275,2.478880,0.589130
442.800709,2.486010,0.577310
450.851631,2.497450,0.564350
459.200735,2.512710,0.548260
467.864900,2.530490,0.527160
476.862302,2.548640,0.499680
486.212543,2.564360,0.465480
495.936794,2.574810,0.425530
506.057953,2.577850,0.382070
516.600827,2.572600,0.338040
527.592334,2.559540,0.296300
539.061732,2.540180,0.259060
551.040882,2.516500,0.227570
563.564538,2.490490,0.202280
576.670690,2.463890,0.183050
590.400945,2.438080,0.169460
604.800968,2.414280,0.161070
619.920992,2.393780,0.157550
652.548413,2.372660,0.163870
670.184856,2.384910,0.167880
688.801102,2.423360,0.142700
708.481134,2.423870,0.050370
729.318814,2.342370,0.000706
751.419384,2.280260,0.000000
774.901240,2.244470,0.000000
799.898054,2.220930,0.000000
826.561323,2.203170,0.000000
855.063437,2.188540,0.000000
885.601417,2.175850,0.000000
918.401470,2.164520,0.000000
953.724603,2.154220,0.000000
991.873587,2.144740,0.000000
1033.201653,2.135940,0.000000
1078.123464,2.127740,0.000000
1127.129076,2.120050,0.000000
1180.801890,2.112820,0.000000
1239.841984,2.106000,0.000000
1305.096825,2.099550,0.000000
1377.602205,2.093450,0.000000
1458.637628,2.087650,0.000000
1549.802480,2.082140,0.000000
1653.122645,2.076900,0.000000
1771.202834,2.071900,0.000000
1907.449206,2.067120,0.000000
2066.403307,2.062560,0.000000
