wavelength_nm,n,k
295.177599,1.539888,0.829220
295.325296,1.540779,0.830560
295.473141,1.541669,0.831902
295.621134,1.542560,0.833245
295.769276,1.543450,0.834589
295.917565,1.544340,0.835935
296.066004,1.545231,0.837282
296.214592,1.546121,0.838630
296.363328,1.547012,0.839980
296.512215,1.547902,0.841331
296.661251,1.548792,0.842684
296.810436,1.549683,0.844037
296.959772,1.550573,0.845393
297.109259,1.551464,0.846749
297.258895,1.552354,0.848107
297.408683,1.553245,0.849466
297.558622,1.554135,0.850827
297.708712,1.555025,0.852189
297.858953,1.555916,0.853552
298.009346,1.556806,0.854917
298.159891,1.557697,0.856283
298.310589,1.558587,0.857651
298.461438,1.559477,0.859020
298.612441,1.560368,0.860390
298.763596,1.561258,0.861762
298.914904,1.562149,0.863135
299.066366,1.563039,0.864509
299.217981,1.563930,0.865885
299.369750,1.564820,0.867263
299.521673,1.565710,0.868641
299.673751,1.566601,0.870021
299.825982,1.567491,0.871403
299.978369,1.568382,0.872786
300.130911,1.569272,0.874170
300.283607,1.570162,0.875556
300.436460,1.571053,0.876943
300.589468,1.571943,0.878331
300.742631,1.572834,0.879721
300.895951,1.573724,0.881113
301.049428,1.574615,0.882505
301.203061,1.575505,0.883900
301.356851,1.576395,0.885295
301.510798,1.577286,0.886692
301.664902,1.578176,0.888091
301.819165,1.579067,0.889491
301.973584,1.579957,0.890892
302.128162,1.580847,0.892295
302.282899,1.581738,0.893699
302.437794,1.582628,0.895105
302.592847,1.583519,0.896512
302.748060,1.584409,0.897920
302.903432,1.585300,0.899330
303.058964,1.586190,0.900742
303.214656,1.587080,0.902154
303.370507,1.587971,0.903569
303.526519,1.588861,0.904984
303.682691,1.589752,0.906402
303.839025,1.590642,0.907820
303.995519,1.591532,0.909241
304.152174,1.592423,0.910662
304.308991,1.593313,0.912085
304.465970,1.594204,0.913510
304.623111,1.595094,0.914936
304.780414,1.595985,0.916363
304.937880,1.596875,0.917792
305.095508,1.597765,0.919223
305.253300,1.598656,0.920655
305.411255,1.599546,0.922088
305.569373,1.600437,0.923523
305.727655,1.601327,0.924959
305.886102,1.602217,0.926397
306.044712,1.603108,0.927837
306.203487,1.603998,0.929277
306.362427,1.604889,0.930720
306.521532,1.605779,0.932164
306.680803,1.606670,0.933609
306.840239,1.607560,0.935056
306.999841,1.608450,0.936504
307.159609,1.609341,0.937954
307.319543,1.610231,0.939405
307.479644,1.611122,0.940858
307.639912,1.612012,0.942313
307.800347,1.612902,0.943769
307.960950,1.613793,0.945226
308.121720,1.614683,0.946685
308.282658,1.615574,0.948145
308.443764,1.616464,0.949607
308.605039,1.617355,0.951071
308.766483,1.618245,0.952536
308.928095,1.619135,0.954003
309.089877,1.620026,0.955471
309.251828,1.620916,0.956941
309.413950,1.621807,0.958412
309.576241,1.622697,0.959884
309.738702,1.623587,0.961359
309.901335,1.624478,0.962835
310.064138,1.625368,0.964312
310.227112,1.626259,0.965791
310.390257,1.627151,0.967271
310.553575,1.628043,0.968753
310.717064,1.628938,0.970237
310.880725,1.629834,0.971722
311.044559,1.630733,0.973208
311.208566,1.631635,0.974696
311.372746,1.632540,0.976186
311.537099,1.633449,0.977677
