wavelength_nm,n,k
300,1.642420,0.295470
301,1.638760,0.304960
302,1.635520,0.314450
303,1.632910,0.323940
304,1.630580,0.333430
305,1.629020,0.342910
306,1.628040,0.353100
307,1.627730,0.363280
308,1.627820,0.373470
309,1.628520,0.383650
310,1.629780,0.393840
311,1.631290,0.404100
312,1.633790,0.414370
313,1.636760,0.424640
314,1.640320,0.434900
315,1.645490,0.445170
316,1.651390,0.454030
317,1.657410,0.462890
318,1.663940,0.471750
319,1.671190,0.480610
320,1.679680,0.489480
321,1.688710,0.496520
322,1.697520,0.503550
323,1.706690,0.510590
324,1.716550,0.517630
325,1.727870,0.524670
326,1.739620,0.529040
327,1.750670,0.533400
328,1.761900,0.537770
329,1.773740,0.542130
330,1.787220,0.546500
331,1.800880,0.547260
332,1.813310,0.548020
333,1.825550,0.548780
334,1.838090,0.549540
335,1.851970,0.550300
336,1.865810,0.547530
337,1.878160,0.544750
338,1.890040,0.541970
339,1.901910,0.539190
340,1.914520,0.536410
341,1.926880,0.531040
342,1.937960,0.525680
343,1.948520,0.520320
344,1.958800,0.514950
345,1.969220,0.509590
346,1.979380,0.503080
347,1.988810,0.496570
348,1.997870,0.490060
349,2.006560,0.483550
350,2.015690,0.477040
351,2.025110,0.471990
352,2.034520,0.466940
353,2.043810,0.461890
354,2.052860,0.456840
355,2.061910,0.451800
356,2.070750,0.437960
357,2.079650,0.424120
358,2.089850,0.410280
359,2.097630,0.396430
360,2.102280,0.382590
361,2.105960,0.371550
362,2.110120,0.360500
363,2.114140,0.349450
364,2.118010,0.338410
365,2.121960,0.327360
366,2.125550,0.315240
367,2.128320,0.303120
368,2.130570,0.291000
369,2.132390,0.278880
370,2.134070,0.266760
371,2.135140,0.253580
372,2.135130,0.240400
373,2.134240,0.227210
374,2.132350,0.214030
375,2.128830,0.200850
376,2.124760,0.190100
377,2.121110,0.179360
378,2.117180,0.168610
379,2.112650,0.157870
380,2.106790,0.147120
381,2.100640,0.139030
382,2.095280,0.130940
383,2.089910,0.122840
384,2.084240,0.114750
385,2.077580,0.106660
386,2.070840,0.100870
387,2.064920,0.095080
388,2.059190,0.089290
389,2.053340,0.083500
390,2.046880,0.077710
391,2.040480,0.073630
392,2.034810,0.069550
393,2.029390,0.065470
394,2.024080,0.061380
395,2.018710,0.057300
396,2.013380,0.053560
397,2.008170,0.049810
398,2.002940,0.046060
399,1.997590,0.042310
400,1.991880,0.038560
401,1.986090,0.035610
402,1.980530,0.032660
403,1.974910,0.029710
404,1.968990,0.026750
405,1.962160,0.023800
406,1.955420,0.023400
407,1.949890,0.022990
408,1.944870,0.022590
409,1.940300,0.022190
410,1.936190,0.021780
411,1.932250,0.020760
412,1.928190,0.019750
413,1.924100,0.018730
414,1.919960,0.017710
415,1.915590,0.016690
416,1.911300,0.016410
417,1.907380,0.016130
418,1.903680,0.015850
419,1.900140,0.015570
420,1.896780,0.015290
421,1.893520,0.014860
422,1.890290,0.014430
423,1.887120,0.014000
424,1.884020,0.013570
425,1.881050,0.013140
426,1.878100,0.012500
427,1.875090,0.011870
428,1.872050,0.011230
429,1.868980,0.010590
430,1.865820,0.009960
431,1.862690,0.009610
432,1.859690,0.009260
433,1.856790,0.008920
434,1.854000,0.008570
435,1.851410,0.008220
436,1.848580,0.007200
437,1.845510,0.006190
438,1.842580,0.005170
439,1.839700,0.004150
440,1.836870,0.003130
441,1.834050,0.003910
442,1.831240,0.004690
443,1.828440,0.005460
444,1.825660,0.006240
445,1.822880,0.007020
446,1.820100,0.005750
447,1.817350,0.004480
448,1.814660,0.003210
449,1.812090,0.001940
450,1.809160,0.000665
451,1.805850,0.000313
452,1.802750,0.000000
453,1.799660,0.000000
454,1.796530,0.000000
455,1.793240,0.000000
456,1.789960,0.000000
457,1.786850,0.000000
458,1.783800,0.000000
459,1.780770,0.000000
460,1.777710,0.000000
461,1.774690,0.000000
462,1.771760,0.000000
463,1.768900,0.000000
464,1.766100,0.000000
465,1.763400,0.000000
466,1.760700,0.000000
467,1.757900,0.000000
468,1.755030,0.000000
469,1.752110,0.000000
470,1.749150,0.000000
471,1.746130,0.000000
472,1.743040,0.000000
473,1.739860,0.000000
474,1.736540,0.000000
475,1.732930,0.000000
476,1.729300,0.000000
477,1.725980,0.000000
478,1.722790,0.000872
479,1.719700,0.001460
480,1.716740,0.002060
481,1.713790,0.002300
482,1.710710,0.002540
483,1.707520,0.002790
484,1.704240,0.003030
485,1.700840,0.003270
486,1.697390,0.003770
487,1.693980,0.004270
488,1.690570,0.004780
489,1.687130,0.005280
490,1.683620,0.005780
491,1.680080,0.006440
492,1.676570,0.007100
493,1.673050,0.007770
494,1.669510,0.008430
495,1.665940,0.009100
496,1.662330,0.009770
497,1.658660,0.010440
498,1.654910,0.011110
499,1.651070,0.011780
500,1.647030,0.012450
501,1.642930,0.013460
502,1.638930,0.014470
503,1.634890,0.015470
504,1.630780,0.016480
505,1.626520,0.017490
506,1.622220,0.018800
507,1.617970,0.020110
508,1.613700,0.021420
509,1.609350,0.022730
510,1.604880,0.024040
511,1.600340,0.025620
512,1.595800,0.027200
513,1.591210,0.028790
514,1.586460,0.030370
515,1.581530,0.031960
516,1.576530,0.034110
517,1.571600,0.036260
518,1.566690,0.038410
519,1.561690,0.040560
520,1.556450,0.042700
521,1.551140,0.045370
522,1.545950,0.048040
523,1.540720,0.050710
524,1.535290,0.053380
525,1.529610,0.056050
526,1.523900,0.059600
527,1.518320,0.063150
528,1.512840,0.066690
529,1.507260,0.070240
530,1.501430,0.073790
531,1.495530,0.078030
532,1.489810,0.082270
533,1.484060,0.086520
534,1.478020,0.090760
535,1.471690,0.095010
536,1.465330,0.100610
537,1.459210,0.106210
538,1.453300,0.111800
539,1.447240,0.117400
540,1.440850,0.123000
541,1.434540,0.129910
542,1.428500,0.136820
543,1.422670,0.143730
544,1.416750,0.150640
545,1.410310,0.157550
546,1.403990,0.166090
547,1.398210,0.174620
548,1.392670,0.183160
549,1.386960,0.191690
550,1.380800,0.200230
551,1.374760,0.210930
552,1.369670,0.221630
553,1.364980,0.232330
554,1.360250,0.243030
555,1.355370,0.253730
556,1.350710,0.266530
557,1.347200,0.279330
558,1.344240,0.292120
559,1.341540,0.304920
560,1.338980,0.317720
561,1.336860,0.331930
562,1.335810,0.346140
563,1.335410,0.360340
564,1.335550,0.374550
565,1.336170,0.388760
566,1.337440,0.403140
567,1.339330,0.417510
568,1.341770,0.431880
569,1.344800,0.446260
570,1.348620,0.460630
571,1.353020,0.474260
572,1.357720,0.487900
573,1.362830,0.501530
574,1.368590,0.515160
575,1.375350,0.528800
576,1.382340,0.540610
577,1.389420,0.552430
578,1.396420,0.564240
579,1.403920,0.576050
580,1.411780,0.587870
581,1.419940,0.598830
582,1.428330,0.609790
583,1.437110,0.620750
584,1.446700,0.631710
585,1.457140,0.642670
586,1.467870,0.650580
587,1.477830,0.658480
588,1.487410,0.666380
589,1.496860,0.674280
590,1.506380,0.682180
591,1.515940,0.689770
592,1.525540,0.697360
593,1.535240,0.704940
594,1.545310,0.712530
595,1.555610,0.720110
596,1.566080,0.726600
597,1.576340,0.733100
598,1.586540,0.739590
599,1.596680,0.746080
600,1.606890,0.752570
601,1.617340,0.759600
602,1.628050,0.766640
603,1.639410,0.773670
604,1.651360,0.780710
605,1.663790,0.787740
606,1.676800,0.793710
607,1.690020,0.799690
608,1.703580,0.805660
609,1.718290,0.811630
610,1.733740,0.817610
611,1.749500,0.820160
612,1.764970,0.822710
613,1.780430,0.825260
614,1.796030,0.827820
615,1.812520,0.830370
616,1.828940,0.829890
617,1.845250,0.829410
618,1.861010,0.828930
619,1.877660,0.828440
620,1.895080,0.827960
621,1.912330,0.823120
622,1.928730,0.818280
623,1.944070,0.813440
624,1.959940,0.808600
625,1.975760,0.803760
626,1.991360,0.795010
627,2.005530,0.786270
628,2.019080,0.777520
629,2.032050,0.768780
630,2.044640,0.760030
631,2.056920,0.748860
632,2.067600,0.737690
633,2.077730,0.726510
634,2.086970,0.715340
635,2.095450,0.704160
636,2.103510,0.692360
637,2.110430,0.680560
638,2.116730,0.668760
639,2.122330,0.656960
640,2.126950,0.645170
641,2.131200,0.633870
642,2.134660,0.622580
643,2.137490,0.611280
644,2.139740,0.599990
645,2.140950,0.588690
646,2.141880,0.578950
647,2.142320,0.569200
648,2.142340,0.559460
649,2.141910,0.549710
650,2.140660,0.539970
651,2.139140,0.532020
652,2.137230,0.524070
653,2.134880,0.516130
654,2.131770,0.508180
655,2.128030,0.500230
656,2.123960,0.495850
657,2.120350,0.491470
658,2.116710,0.487080
659,2.112780,0.482700
660,2.108760,0.478320
661,2.104610,0.476710
662,2.101010,0.475100
663,2.097690,0.473480
664,2.093980,0.471870
665,2.090270,0.470260
666,2.086750,0.471210
667,2.083600,0.472150
668,2.081170,0.473100
669,2.078640,0.474040
670,2.076030,0.474980
671,2.074040,0.478560
672,2.072280,0.482140
673,2.071980,0.485710
674,2.071890,0.489290
675,2.072580,0.492870
676,2.073540,0.497170
677,2.075330,0.501480
678,2.077660,0.505780
679,2.080770,0.510080
680,2.084450,0.514390
681,2.088620,0.518100
682,2.093400,0.521810
683,2.098460,0.525530
684,2.104860,0.529240
685,2.111590,0.532950
686,2.118920,0.534270
687,2.126310,0.535590
688,2.133780,0.536920
689,2.141340,0.538240
690,2.149640,0.539560
691,2.157910,0.538340
692,2.166060,0.537120
693,2.174260,0.535900
694,2.182580,0.534680
695,2.190930,0.533460
696,2.199330,0.530160
697,2.207550,0.526860
698,2.215480,0.523560
699,2.223490,0.520260
700,2.231630,0.516960
701,2.239490,0.511330
702,2.246990,0.505700
703,2.254040,0.500070
704,2.260560,0.494440
705,2.266860,0.488810
706,2.272910,0.482690
707,2.278750,0.476570
708,2.284340,0.470450
709,2.289850,0.464330
710,2.295220,0.458220
711,2.300360,0.451120
712,2.305140,0.444020
713,2.309620,0.436920
714,2.313550,0.429820
715,2.317320,0.422720
716,2.320750,0.415860
717,2.324080,0.408990
718,2.327110,0.402130
719,2.330090,0.395270
720,2.332770,0.388410
721,2.335440,0.382040
722,2.338060,0.375660
723,2.340680,0.369280
724,2.343480,0.362900
725,2.346300,0.356530
726,2.348960,0.349490
727,2.351590,0.342460
728,2.354010,0.335430
729,2.356360,0.328400
730,2.358520,0.321370
731,2.360570,0.313620
732,2.362350,0.305880
733,2.363780,0.298130
734,2.365060,0.290390
735,2.365950,0.282640
736,2.366800,0.274940
737,2.367270,0.267230
738,2.367740,0.259530
739,2.367870,0.251830
740,2.367950,0.244120
741,2.367670,0.236210
742,2.367220,0.228300
743,2.366350,0.220390
