wavelength_nm,n,k
280,1.527959,0.306712
282,1.522471,0.301044
284,1.516216,0.295790
286,1.509142,0.291059
288,1.501207,0.286988
290,1.492384,0.283742
292,1.482674,0.281518
294,1.472111,0.280540
296,1.460779,0.281056
298,1.448823,0.283326
300,1.436457,0.287614
302,1.423977,0.294167
304,1.411763,0.303188
306,1.400276,0.314813
308,1.390045,0.329080
310,1.381644,0.345900
312,1.375655,0.365039
314,1.372623,0.386106
316,1.373006,0.408566
318,1.377129,0.431766
320,1.385155,0.454981
322,1.397067,0.477464
324,1.412679,0.498501
326,1.431653,0.517456
328,1.453540,0.533795
330,1.477810,0.547113
332,1.503895,0.557125
334,1.531212,0.563673
336,1.559193,0.566706
338,1.587303,0.566271
340,1.615048,0.562492
342,1.641990,0.555562
344,1.667747,0.545722
346,1.691997,0.533250
348,1.714476,0.518451
350,1.734980,0.501644
352,1.753358,0.483156
354,1.769510,0.463311
356,1.783385,0.442424
358,1.794973,0.420798
360,1.804300,0.398717
362,1.811426,0.376445
364,1.816437,0.354222
366,1.819443,0.332261
368,1.820569,0.310752
370,1.819956,0.289855
372,1.817752,0.269708
374,1.814110,0.250420
376,1.809186,0.232078
378,1.803134,0.214748
380,1.796105,0.198472
382,1.788244,0.183277
384,1.779687,0.169170
386,1.770564,0.156146
388,1.760993,0.144187
390,1.751083,0.133264
392,1.740929,0.123341
394,1.730621,0.114376
396,1.720232,0.106321
398,1.709829,0.099125
400,1.699468,0.092738
402,1.689195,0.087106
404,1.679050,0.082178
406,1.669063,0.077904
408,1.659259,0.074238
410,1.649659,0.071134
412,1.640276,0.068552
414,1.631122,0.066454
416,1.622207,0.064807
418,1.613540,0.063579
420,1.605127,0.062744
422,1.596979,0.062277
424,1.589106,0.062154
426,1.581523,0.062351
428,1.574246,0.062844
430,1.567295,0.063600
432,1.560692,0.064582
434,1.554453,0.065741
436,1.548590,0.067020
438,1.543101,0.068349
440,1.537965,0.069655
442,1.533136,0.070870
444,1.528549,0.071938
446,1.524122,0.072828
448,1.519770,0.073537
450,1.515416,0.074090
452,1.511003,0.074533
454,1.506496,0.074920
456,1.501884,0.075308
458,1.497177,0.075746
460,1.492407,0.076258
462,1.487578,0.076840
464,1.482694,0.077512
466,1.477766,0.078284
468,1.472806,0.079162
470,1.467822,0.080146
472,1.462823,0.081235
474,1.457812,0.082426
476,1.452792,0.083715
478,1.447764,0.085098
480,1.442725,0.086570
482,1.437674,0.088128
484,1.432605,0.089768
