wavelength_nm,n,k
318.943719,1.054136,0.070576
319.199648,1.100369,0.070302
319.487792,1.140326,0.069994
319.773345,1.191038,0.069688
320.064619,1.223774,0.069376
320.350001,1.278634,0.069071
320.641567,1.313982,0.068759
320.934569,1.346223,0.068445
321.374381,1.396975,0.067973
321.979402,1.454821,0.067209
322.406237,1.512242,0.066670
322.852936,1.553357,0.066106
323.301101,1.593703,0.065539
323.905652,1.630459,0.064776
324.865050,1.696844,0.063771
325.730781,1.747942,0.062975
326.763074,1.782034,0.062026
327.537008,1.812543,0.061314
328.046403,1.878104,0.060856
329.470190,1.895821,0.059590
329.930185,1.958061,0.059180
331.370258,1.976259,0.058257
332.469801,2.026181,0.057843
334.634812,2.055816,0.057028
335.028718,2.099888,0.056879
337.168599,2.105905,0.056074
339.223009,2.137358,0.055689
341.199200,2.168799,0.055338
342.899451,2.205460,0.055037
345.883216,2.228385,0.054468
349.192945,2.258275,0.053619
352.164051,2.287364,0.053111
355.515628,2.303018,0.053120
357.995002,2.326246,0.053127
361.547862,2.337811,0.053189
363.807090,2.360203,0.053265
367.485781,2.371193,0.053389
372.375165,2.353726,0.054143
376.389370,2.332873,0.055216
381.377330,2.331373,0.055862
385.729921,2.329126,0.056091
388.022474,2.358721,0.056161
391.953437,2.373387,0.055943
395.478968,2.399138,0.055746
399.880074,2.415189,0.055572
404.271070,2.435747,0.055418
409.006174,2.448193,0.055235
413.591394,2.467408,0.055042
418.740386,2.480679,0.054838
424.311373,2.499278,0.054634
429.538960,2.511188,0.054303
434.218418,2.529461,0.053949
439.814313,2.542555,0.053459
445.841970,2.558471,0.052899
452.066328,2.573363,0.052310
458.815777,2.588195,0.051612
465.354276,2.603079,0.050901
472.757911,2.615549,0.050165
480.257266,2.625552,0.049275
487.826013,2.631816,0.048277
495.639667,2.634449,0.047291
503.709909,2.634009,0.046135
512.050002,2.629937,0.044725
521.016993,2.612285,0.042880
529.607883,2.595606,0.041772
538.851602,2.571910,0.039352
548.218280,2.542449,0.036960
557.086086,2.509218,0.035718
564.748711,2.475130,0.033746
571.543990,2.443001,0.032414
578.243671,2.399910,0.030917
581.388584,2.357729,0.030587
586.875834,2.361227,0.028860
586.931734,2.328597,0.028839
597.996633,2.299214,0.026974
601.290932,2.274610,0.025962
607.635105,2.236711,0.025353
614.137366,2.201640,0.023700
619.766469,2.167509,0.022963
625.812417,2.132325,0.021883
631.658973,2.097861,0.020763
637.616861,2.062475,0.020087
643.689170,2.026270,0.018630
649.878128,1.990168,0.017850
656.320224,1.953125,0.016885
662.929147,1.916567,0.015862
669.208448,1.884355,0.015165
674.846233,1.849063,0.014140
681.651209,1.813560,0.013251
688.408413,1.777946,0.012461
695.820881,1.739593,0.011561
702.920168,1.703540,0.010714
709.952849,1.668408,0.009942
717.523170,1.633630,0.009162
724.008182,1.598448,0.008518
731.995471,1.563576,0.007739
740.010847,1.526654,0.007176
748.204191,1.489424,0.006431
756.418232,1.453803,0.005706
764.746530,1.419150,0.005146
773.944139,1.379356,0.004507
784.151388,1.341872,0.003810
793.280028,1.304821,0.003240
802.899205,1.268137,0.002768
812.894125,1.233336,0.002221
820.713896,1.199358,0.001818
830.884263,1.166659,0.001424
839.056933,1.132073,0.001107
849.979337,1.097560,0.000618
856.116945,1.054612,0.000503
863.308955,0.995328,0.000393
