wavelength_nm,n,k
350.000000,1.500000,0.000000
351.000000,1.500000,0.000000
352.000000,1.500000,0.000000
353.000000,1.500000,0.000000
354.000000,1.500000,0.000000
355.000000,1.500000,0.000000
356.000000,1.500000,0.000000
357.000000,1.500000,0.000000
358.000000,1.500000,0.000000
359.000000,1.500000,0.000000
360.000000,1.500000,0.000000
361.000000,1.500000,0.000000
362.000000,1.500000,0.000000
363.000000,1.500000,0.000000
364.000000,1.500000,0.000000
365.000000,1.500000,0.000000
366.000000,1.500000,0.000000
367.000000,1.500000,0.000000
368.000000,1.500000,0.000000
369.000000,1.500000,0.000000
370.000000,1.500000,0.000000
371.000000,1.500000,0.000000
372.000000,1.500000,0.000000
373.000000,1.500000,0.000000
374.000000,1.500000,0.000000
375.000000,1.494103,0.055369
376.000000,1.489937,0.061595
377.000000,1.486302,0.067329
378.000000,1.483162,0.072596
379.000000,1.480482,0.077420
380.000000,1.478229,0.081827
381.000000,1.476372,0.085838
382.000000,1.474881,0.089474
383.000000,1.473728,0.092759
384.000000,1.472884,0.095710
385.000000,1.472324,0.098349
386.000000,1.472024,0.100693
387.000000,1.471959,0.102761
388.000000,1.472109,0.104570
389.000000,1.472451,0.106136
390.000000,1.472966,0.107475
391.000000,1.473635,0.108602
392.000000,1.474440,0.109532
393.000000,1.475365,0.110278
394.000000,1.476394,0.110854
395.000000,1.477511,0.111272
396.000000,1.478702,0.111545
397.000000,1.479956,0.111683
398.000000,1.481258,0.111698
399.000000,1.482598,0.111600
400.000000,1.483965,0.111399
401.000000,1.485349,0.111104
402.000000,1.486740,0.110725
403.000000,1.488130,0.110269
404.000000,1.489511,0.109744
405.000000,1.490876,0.109158
406.000000,1.492216,0.108519
407.000000,1.493528,0.107832
408.000000,1.494803,0.107104
409.000000,1.496039,0.106340
410.000000,1.497228,0.105547
411.000000,1.498369,0.104730
412.000000,1.499455,0.103893
413.000000,1.500486,0.103040
414.000000,1.501456,0.102176
415.000000,1.502364,0.101305
416.000000,1.503207,0.100431
417.000000,1.503984,0.099555
418.000000,1.504693,0.098682
419.000000,1.505333,0.097814
420.000000,1.505902,0.096954
421.000000,1.506400,0.096104
422.000000,1.506826,0.095265
423.000000,1.507181,0.094440
424.000000,1.507464,0.093629
425.000000,1.507675,0.092835
426.000000,1.507815,0.092059
427.000000,1.507884,0.091301
428.000000,1.507883,0.090563
429.000000,1.507813,0.089844
430.000000,1.507675,0.089146
431.000000,1.507470,0.088468
432.000000,1.507199,0.087811
433.000000,1.506864,0.087175
434.000000,1.506466,0.086560
435.000000,1.506007,0.085965
436.000000,1.505488,0.085390
437.000000,1.504910,0.084835
438.000000,1.504276,0.084300
439.000000,1.503588,0.083783
440.000000,1.502847,0.083284
441.000000,1.502054,0.082802
442.000000,1.501213,0.082337
443.000000,1.500324,0.081887
444.000000,1.499390,0.081451
445.000000,1.498412,0.081029
446.000000,1.497393,0.080620
447.000000,1.496333,0.080221
448.000000,1.495236,0.079833
449.000000,1.494103,0.079453
450.000000,1.492936,0.079082
451.000000,1.491736,0.078716
452.000000,1.490505,0.078356
453.000000,1.489246,0.078000
454.000000,1.487959,0.077646
455.000000,1.486646,0.077294
456.000000,1.485309,0.076942
457.000000,1.483949,0.076589
458.000000,1.482569,0.076234
459.000000,1.481168,0.075874
460.000000,1.479749,0.075510
461.000000,1.478313,0.075140
462.000000,1.476861,0.074762
463.000000,1.475395,0.074375
464.000000,1.473915,0.073979
465.000000,1.472422,0.073572
466.000000,1.470917,0.073152
467.000000,1.469402,0.072720
468.000000,1.467877,0.072273
469.000000,1.466343,0.071812
470.000000,1.464800,0.071334
471.000000,1.463250,0.070839
472.000000,1.461692,0.070326
473.000000,1.460127,0.069794
474.000000,1.458556,0.069243
475.000000,1.456979,0.068671
476.000000,1.455396,0.068078
477.000000,1.453807,0.067464
478.000000,1.452213,0.066827
479.000000,1.450614,0.066168
480.000000,1.449008,0.065485
481.000000,1.447398,0.064779
482.000000,1.445781,0.064049
483.000000,1.444159,0.063294
484.000000,1.442531,0.062515
485.000000,1.440896,0.061710
486.000000,1.439254,0.060881
487.000000,1.437605,0.060027
488.000000,1.435948,0.059147
489.000000,1.434283,0.058243
490.000000,1.432609,0.057314
491.000000,1.430925,0.056360
492.000000,1.429230,0.055381
493.000000,1.427525,0.054379
494.000000,1.425808,0.053352
495.000000,1.424078,0.052302
496.000000,1.422334,0.051229
497.000000,1.420576,0.050133
498.000000,1.418802,0.049016
499.000000,1.417012,0.047877
500.000000,1.415205,0.046718
501.000000,1.413379,0.045539
502.000000,1.411533,0.044341
503.000000,1.409667,0.043125
504.000000,1.407778,0.041892
505.000000,1.405867,0.040642
506.000000,1.403932,0.039378
507.000000,1.401971,0.038100
