wavelength_nm,n,k
0.155930,1.095240,1.604700
0.135210,1.389700,1.739020
0.118760,1.757160,1.765750
0.105460,2.123370,1.630540
0.094540,2.378670,1.363890
0.085460,2.485180,1.070550
0.077810,2.488090,0.824420
0.071300,2.442390,0.640400
0.065710,2.380750,0.507350
0.060860,2.317890,0.410870
0.056630,2.259410,0.339710
0.052910,2.206940,0.286100
0.049610,2.160500,0.244840
0.046680,2.119580,0.212460
0.044060,2.083480,0.186590
0.041700,2.051550,0.165580
0.039570,2.023190,0.148280
0.037640,1.997900,0.133850
0.035880,1.975220,0.121680
0.034270,1.954810,0.111310
0.032800,1.936360,0.102390
0.031440,1.919610,0.094660
0.030190,1.904340,0.087900
0.029040,1.890390,0.081970
0.027960,1.877580,0.076710
0.026970,1.865800,0.072040
0.026040,1.854920,0.067860
0.025170,1.844840,0.064110
0.024360,1.835500,0.060720
0.023600,1.826800,0.057650
0.022890,1.818700,0.054850
0.022220,1.811120,0.052300
0.021590,1.804030,0.049960
0.020990,1.797380,0.047820
0.020430,1.791130,0.045840
0.019900,1.785250,0.044010
0.019390,1.779710,0.042320
0.018910,1.774470,0.040750
0.018450,1.769520,0.039290
0.018020,1.764840,0.037920
0.017610,1.760390,0.036650
0.017210,1.756180,0.035460
0.016840,1.752170,0.034340
0.016480,1.748360,0.033290
0.016140,1.744730,0.032300
0.015810,1.741270,0.031360
0.015490,1.737960,0.030480
0.015190,1.734810,0.029650
0.014900,1.731790,0.028860
0.014620,1.728910,0.028110
0.014350,1.726140,0.027400
0.014100,1.723500,0.026730
0.013850,1.720960,0.026090
0.013610,1.718520,0.025480
0.013380,1.716180,0.024900
0.013160,1.713930,0.024340
0.012940,1.711760,0.023810
0.012740,1.709680,0.023300
0.012540,1.707670,0.022820
0.012340,1.705740,0.022350
0.012160,1.703880,0.021900
0.011970,1.702080,0.021480
0.011800,1.700340,0.021070
0.011630,1.698670,0.020670
0.011460,1.697050,0.020290
0.011300,1.695490,0.019920
0.011150,1.693970,0.019570
0.011000,1.692510,0.019230
0.010850,1.691090,0.018910
0.010710,1.689720,0.018590
0.010570,1.688390,0.018280
0.010440,1.687100,0.017990
0.010310,1.685850,0.017710
0.010180,1.684640,0.017430
0.010050,1.683470,0.017160
0.009930,1.682320,0.016910
0.009820,1.681220,0.016660
0.009700,1.680140,0.016410
0.009590,1.679090,0.016180
0.009480,1.678080,0.015950
0.009370,1.677090,0.015730
0.009270,1.676130,0.015510
0.009170,1.675190,0.015310
0.009070,1.674280,0.015100
0.008970,1.673400,0.014910
0.008880,1.672530,0.014720
0.008790,1.671690,0.014530
0.008700,1.670880,0.014350
0.008610,1.670080,0.014170
0.008520,1.669300,0.014000
0.008440,1.668540,0.013830
0.008350,1.667800,0.013670
0.008270,1.667080,0.013510
0.008190,1.666380,0.013350
0.008120,1.665690,0.013200
0.008040,1.665020,0.013050
0.007960,1.664360,0.012910
0.007890,1.663720,0.012770
0.007820,1.663100,0.012630
0.007750,1.662490,0.012500
0.007680,1.661890,0.012370
0.007610,1.661310,0.012240
0.007550,1.660740,0.012110
0.007480,1.660180,0.011990
0.007420,1.659630,0.011870
0.007350,1.659100,0.011750
0.007290,1.658580,0.011640
0.007230,1.658070,0.011520
0.007170,1.657570,0.011410
0.007110,1.657080,0.011300
0.007060,1.656600,0.011200
0.007000,1.656130,0.011100
0.006950,1.655670,0.010990
0.006890,1.655220,0.010890
0.006840,1.654780,0.010800
0.006780,1.654340,0.010700
0.006730,1.653920,0.010610
0.006680,1.653500,0.010510
0.006630,1.653100,0.010420
0.006580,1.652700,0.010330
0.006530,1.652310,0.010250
0.006490,1.651920,0.010160
0.006440,1.651540,0.010080
0.006390,1.651170,0.009990
0.006350,1.650810,0.009910
0.006300,1.650460,0.009830
0.006260,1.650110,0.009760
0.006220,1.649760,0.009680
0.006170,1.649430,0.009600
0.006130,1.649100,0.009530
0.006090,1.648770,0.009460
0.006050,1.648450,0.009380
0.006010,1.648140,0.009310
0.005970,1.647830,0.009240
0.005930,1.647530,0.009170
0.005890,1.647230,0.009110
0.005850,1.646940,0.009040
0.005810,1.646650,0.008980
0.005780,1.646370,0.008910
0.005740,1.646090,0.008850
0.005700,1.645820,0.008790
0.005670,1.645550,0.008720
0.005630,1.645290,0.008660
0.005600,1.645030,0.008600
0.005560,1.644770,0.008550
0.005530,1.644520,0.008490
0.005500,1.644280,0.008430
0.005460,1.644030,0.008370
0.005430,1.643800,0.008320
0.005400,1.643560,0.008260
0.005370,1.643330,0.008210
0.005340,1.643100,0.008160
0.005300,1.642880,0.008110
0.005270,1.642660,0.008050
0.005240,1.642440,0.008000
0.005210,1.642230,0.007950
0.005180,1.642020,0.007900
0.005160,1.641810,0.007850
0.005130,1.641600,0.007810
