wavelength_nm,n,k
300,1.541271,0.056241
310,1.523560,0.066778
320,1.512506,0.079391
330,1.508524,0.090393
340,1.507641,0.094586
350,1.499915,0.091637
360,1.483193,0.088427
370,1.461954,0.094141
380,1.442732,0.106249
390,1.426084,0.122874
400,1.430177,0.138744
410,1.500065,0.129204
420,1.567226,0.122050
430,1.628355,0.120319
440,1.684135,0.122921
450,1.736377,0.127790
460,1.784291,0.134469
470,1.829745,0.142472
480,1.873431,0.153029
490,1.915713,0.166565
500,1.956713,0.185755
510,1.993711,0.212773
520,2.021111,0.248018
530,2.038645,0.285353
540,2.051483,0.326558
550,2.063656,0.347500
560,2.086143,0.265103
570,2.070164,0.159325
580,2.019193,0.079663
590,1.959688,0.035399
600,1.910469,0.015132
610,1.875616,0.005476
620,1.813463,0.021411
630,1.813530,0.004162
640,1.797888,0.000000
650,1.782132,0.000000
660,1.768515,0.000000
670,1.755993,0.000000
680,1.744466,0.000000
690,1.733846,0.000000
700,1.724053,0.000000
710,1.715015,0.000000
720,1.706667,0.000000
730,1.698950,0.000000
740,1.691812,0.000000
750,1.685204,0.000000
760,1.679083,0.000000
770,1.673410,0.000000
780,1.668147,0.000000
790,1.663264,0.000000
800,1.658729,0.000000
810,1.654517,0.000000
820,1.650601,0.000000
830,1.646959,0.000000
840,1.643571,0.000000
850,1.640417,0.000000
860,1.637481,0.000000
870,1.634745,0.000000
880,1.632196,0.000000
890,1.629820,0.000000
900,1.627605,0.000000
910,1.625539,0.000000
920,1.623611,0.000000
930,1.621812,0.000000
940,1.620133,0.000000
950,1.618566,0.000000
960,1.617104,0.000000
970,1.615738,0.000000
980,1.614462,0.000000
990,1.613271,0.000000
1000,1.612159,0.000000
