wavelength_nm,n,k
400.986910,1.708880,0
408.216250,1.705540,0
416.933970,1.700750,0
424.801190,1.696830,0
434.794690,1.693200,0
449.465990,1.687980,0
459.034220,1.684210,0
472.855010,1.680290,0
480.722230,1.677680,0
489.014710,1.675790,0
498.582940,1.673320,0
513.041620,1.670130,0
522.609860,1.667950,0
536.855900,1.664180,0
555.354490,1.661710,0
572.577320,1.659250,0
589.587530,1.657500,0
603.408320,1.655180,0
619.780640,1.653300,0
634.239310,1.651700,0
657.415710,1.649670,0
680.592110,1.647780,0
691.648740,1.646770,0
708.658940,1.645750,0
723.542870,1.644440,0
742.679350,1.643430,0
760.114800,1.642120,0
770.746180,1.640820,0
780.314420,1.640380,0
793.709950,1.640380,0
798.175130,1.639800,0
