wavelength_nm,n,k
303.938169,1.645048,0.031792
304.915240,1.641555,0.034912
310.088719,1.640185,0.038379
316.314901,1.640947,0.036878
318.448648,1.638045,0.034462
321.836016,1.635491,0.032086
323.873549,1.631303,0.029330
330.651284,1.626794,0.026763
336.974359,1.620874,0.024773
345.750897,1.615195,0.023520
354.473347,1.608783,0.022786
359.285663,1.602744,0.022435
366.594946,1.595452,0.022671
376.185964,1.588791,0.024462
384.837729,1.582481,0.026914
389.377423,1.577574,0.029014
395.811512,1.570065,0.030877
404.231201,1.564203,0.037034
408.900249,1.561083,0.040863
414.177885,1.556342,0.045260
418.690096,1.553649,0.050322
421.995153,1.551201,0.054563
426.098931,1.549499,0.058329
429.248997,1.546648,0.061284
432.922622,1.543760,0.065793
435.991019,1.541738,0.070026
440.175211,1.539631,0.074658
443.193778,1.538049,0.079257
447.061240,1.536454,0.084718
449.234329,1.536536,0.090135
452.544894,1.536232,0.095264
458.670713,1.537604,0.101321
461.938581,1.539695,0.105976
468.814107,1.542646,0.111605
477.062906,1.548788,0.115293
482.709045,1.554697,0.115204
485.903933,1.558877,0.113027
487.652631,1.560884,0.109593
491.784943,1.560740,0.106379
497.862730,1.559465,0.103002
505.084279,1.554881,0.099917
512.360912,1.548732,0.100594
518.860857,1.543405,0.103455
525.894985,1.539016,0.108834
532.769647,1.537710,0.114797
537.896238,1.537120,0.119636
541.753883,1.537056,0.124490
545.577972,1.536727,0.129035
549.734207,1.536928,0.135259
553.094464,1.539133,0.141049
556.894557,1.541364,0.146598
560.434444,1.544705,0.152676
564.911860,1.549467,0.159274
569.888010,1.557585,0.165516
576.545687,1.568616,0.168407
580.970736,1.579439,0.166116
585.808470,1.586613,0.161742
588.849946,1.592558,0.157370
591.587785,1.597011,0.152616
594.266328,1.601269,0.147629
596.654070,1.603730,0.142147
598.593981,1.606599,0.137353
601.181558,1.608465,0.130992
605.084251,1.609754,0.124829
606.347988,1.609027,0.117361
608.772111,1.607475,0.112016
611.621045,1.605719,0.104976
614.136891,1.601445,0.099767
616.481650,1.598516,0.095082
619.161686,1.594563,0.089706
621.613106,1.589630,0.084283
624.643011,1.583443,0.079401
630.009915,1.576022,0.074316
634.014542,1.566153,0.070954
639.655172,1.555695,0.069175
647.406439,1.542924,0.070139
654.695935,1.531848,0.076297
660.025339,1.525306,0.082934
665.737578,1.518601,0.087702
669.693552,1.512159,0.095218
672.963351,1.508590,0.101592
676.175802,1.503954,0.108004
679.103894,1.501091,0.114602
682.904063,1.497466,0.120867
684.442578,1.494845,0.127647
687.317865,1.491545,0.134808
690.575080,1.490180,0.142853
693.885645,1.488291,0.150383
698.315308,1.488489,0.159496
701.242767,1.489651,0.166433
704.165923,1.490475,0.173005
707.090335,1.489836,0.179748
712.310633,1.491187,0.188969
715.931961,1.493445,0.195754
720.382585,1.495215,0.204330
727.332117,1.498981,0.212349
736.160825,1.504298,0.220677
745.736728,1.511380,0.224716
753.805006,1.514229,0.227135
760.240914,1.514412,0.231578
766.369794,1.515419,0.241156
769.997441,1.521419,0.249231
772.918036,1.525364,0.256356
776.076205,1.531229,0.264524
779.007905,1.536474,0.272942
782.384048,1.545025,0.282487
784.879365,1.553026,0.290533
789.666105,1.563658,0.302616
796.149778,1.581475,0.312956
804.564529,1.603590,0.316157
809.717510,1.622202,0.311860
813.275311,1.637213,0.307295
815.665673,1.651480,0.300650
817.424106,1.662522,0.293025
819.875526,1.672450,0.286281
822.204655,1.681999,0.278569
824.532692,1.689480,0.270685
826.067572,1.696632,0.263448
827.469048,1.703032,0.256160
829.137644,1.709967,0.248922
831.457782,1.715962,0.239969
833.379450,1.720051,0.231112
835.444245,1.723105,0.223348
836.844630,1.726267,0.215775
839.188480,1.728257,0.209378
840.202464,1.732563,0.203310
842.180787,1.735479,0.196080
844.050982,1.740973,0.189122
846.110980,1.743177,0.177232
848.049073,1.742724,0.169978
849.309056,1.744159,0.161368
851.713838,1.743603,0.154032
853.207960,1.744476,0.146226
856.068344,1.743850,0.138377
858.518155,1.743280,0.130601
860.191801,1.742320,0.123408
863.076371,1.741440,0.115114
865.527077,1.739255,0.107309
870.526342,1.735726,0.098721
871.240498,1.730856,0.094984
873.970111,1.732552,0.089524
877.760356,1.729665,0.078976
882.049529,1.724331,0.071861
885.772422,1.719438,0.065390
891.157939,1.714098,0.059263
897.609342,1.708338,0.054410
901.613969,1.703863,0.049200
908.255507,1.697469,0.043580
917.031809,1.691207,0.038935
925.503224,1.682985,0.034611
931.436598,1.675492,0.033285
937.056101,1.669616,0.031636
943.123490,1.663448,0.028295
948.987983,1.652608,0.026755
