wavelength_nm,n,k
400.920000,2.119400,0.154360
402.510000,2.111900,0.140820
404.090000,2.104000,0.128170
405.680000,2.095900,0.116390
407.260000,2.087500,0.105460
408.850000,2.079000,0.095330
410.440000,2.070400,0.086000
412.020000,2.061800,0.077410
413.610000,2.053200,0.069530
415.200000,2.044600,0.062330
416.780000,2.036100,0.055770
418.370000,2.027800,0.049790
419.950000,2.019600,0.044380
421.540000,2.011600,0.039480
423.130000,2.003700,0.035060
424.710000,1.996100,0.031080
426.300000,1.988700,0.027510
427.890000,1.981500,0.024310
429.470000,1.974600,0.021450
431.060000,1.967800,0.018890
432.640000,1.961300,0.016620
434.230000,1.955100,0.014610
435.820000,1.949100,0.012820
437.400000,1.943300,0.011230
438.990000,1.937700,0.009830
440.570000,1.932300,0.008600
442.160000,1.927100,0.007510
443.750000,1.922200,0.006550
445.330000,1.917400,0.005720
446.920000,1.912800,0.004980
448.500000,1.908400,0.004340
450.090000,1.904200,0.003770
451.670000,1.900100,0.003280
453.260000,1.896200,0.002850
454.850000,1.892400,0.002480
456.430000,1.888800,0.002150
458.020000,1.885300,0.001870
459.600000,1.881900,0.001620
461.190000,1.878700,0.001410
462.770000,1.875600,0.001220
464.360000,1.872500,0.001060
465.950000,1.869600,0.000921
467.530000,1.866800,0.000799
469.120000,1.864000,0.000694
470.700000,1.861400,0.000603
472.290000,1.858800,0.000524
473.870000,1.856300,0.000456
475.460000,1.853900,0.000396
477.040000,1.851600,0.000345
478.630000,1.849300,0.000301
480.210000,1.847100,0.000262
481.800000,1.845000,0.000229
483.390000,1.842900,0.000200
484.970000,1.840900,0.000174
486.560000,1.838900,0.000152
488.140000,1.837000,0.000134
489.730000,1.835100,0.000117
491.310000,1.833300,0.000103
492.900000,1.831500,0.000090
494.480000,1.829800,0.000079
496.070000,1.828100,0.000070
497.650000,1.826400,0.000062
499.240000,1.824800,0.000054
500.820000,1.823300,0.000048
502.410000,1.821700,0.000042
503.990000,1.820200,0.000037
505.580000,1.818700,0.000033
507.160000,1.817300,0.000029
508.750000,1.815900,0.000026
510.330000,1.814500,0.000023
511.910000,1.813100,0.000021
513.500000,1.811800,0.000018
515.080000,1.810500,0.000017
516.670000,1.809200,0.000015
518.250000,1.808000,0.000013
519.840000,1.806800,0.000012
521.420000,1.805600,0.000011
523.010000,1.804400,0.000009
524.590000,1.803200,0.000008
526.180000,1.802100,0.000008
527.760000,1.801000,0.000007
529.340000,1.799900,0.000006
530.930000,1.798800,0.000006
532.510000,1.797800,0.000005
534.100000,1.796700,0.000005
535.680000,1.795700,0.000004
537.260000,1.794700,0.000004
538.850000,1.793700,0.000003
540.430000,1.792800,0.000003
542.020000,1.791800,0.000003
543.600000,1.790900,0.000002
545.180000,1.790000,0.000002
546.770000,1.789100,0.000002
548.350000,1.788200,0.000002
549.940000,1.787300,0.000002
551.520000,1.786400,0.000002
553.100000,1.785600,0.000001
554.690000,1.784800,0.000001
556.270000,1.783900,0.000001
557.850000,1.783100,0.000001
559.440000,1.782300,0.000001
561.020000,1.781500,0.000001
562.600000,1.780800,0.000001
564.190000,1.780000,0.000001
565.770000,1.779200,0.000001
567.350000,1.778500,0.000001
568.940000,1.777800,0.000001
570.520000,1.777100,0.000000
572.100000,1.776300,0.000000
573.690000,1.775600,0.000000
575.270000,1.775000,0.000000
576.850000,1.774300,0.000000
578.430000,1.773600,0.000000
580.020000,1.772900,0.000000
581.600000,1.772300,0.000000
583.180000,1.771600,0.000000
584.770000,1.771000,0.000000
586.350000,1.770400,0.000000
587.930000,1.769800,0.000000
589.510000,1.769200,0.000000
591.090000,1.768600,0.000000
592.680000,1.768000,0.000000
594.260000,1.767400,0.000000
595.840000,1.766800,0.000000
597.420000,1.766200,0.000000
599.010000,1.765700,0.000000
600.590000,1.765100,0.000000
602.170000,1.764500,0.000000
603.750000,1.764000,0.000000
605.330000,1.763500,0.000000
606.920000,1.762900,0.000000
608.500000,1.762400,0.000000
610.080000,1.761900,0.000000
611.660000,1.761400,0.000000
613.240000,1.760900,0.000000
614.820000,1.760400,0.000000
616.410000,1.759900,0.000000
617.990000,1.759400,0.000000
619.570000,1.758900,0.000000
621.150000,1.758400,0.000000
622.730000,1.758000,0.000000
624.310000,1.757500,0.000000
625.890000,1.757000,0.000000
627.470000,1.756600,0.000000
629.060000,1.756100,0.000000
630.640000,1.755700,0.000000
632.220000,1.755200,0.000000
633.800000,1.754800,0.000000
635.380000,1.754400,0.000000
636.960000,1.753900,0.000000
638.540000,1.753500,0.000000
640.120000,1.753100,0.000000
641.700000,1.752700,0.000000
