wavelength_nm,n,k
355.702286,1.457860,0.023482
366.864923,1.454495,0.023666
378.111472,1.443533,0.024016
389.791224,1.433384,0.027407
398.467633,1.422626,0.032832
407.073652,1.414136,0.039085
412.927207,1.404820,0.046251
420.930644,1.398139,0.054631
426.258230,1.390987,0.062083
434.545051,1.384651,0.071477
441.356540,1.379183,0.080727
448.750029,1.374857,0.091985
458.034545,1.374352,0.102330
465.605096,1.374006,0.109418
471.903303,1.372211,0.115898
479.022175,1.370038,0.121669
484.681119,1.364540,0.127504
493.529202,1.358945,0.138287
501.759132,1.356408,0.149167
507.372022,1.354164,0.161051
512.777744,1.353879,0.171656
517.636269,1.350998,0.183793
524.040097,1.351823,0.198617
529.061515,1.353979,0.212689
534.298183,1.358467,0.226237
539.572597,1.361507,0.239600
546.209094,1.367610,0.255336
552.888899,1.375090,0.270098
558.810901,1.385416,0.285351
564.574124,1.396530,0.299987
571.319571,1.411956,0.315458
579.678324,1.429918,0.329863
589.800524,1.457827,0.341525
599.029424,1.484385,0.337468
607.539127,1.500128,0.332706
617.822600,1.513486,0.332993
629.735787,1.532752,0.337038
640.204058,1.557975,0.334213
646.420146,1.581882,0.322841
650.577080,1.597554,0.307124
654.012299,1.611047,0.294664
657.342171,1.622372,0.279520
659.522630,1.632503,0.266552
662.650084,1.640437,0.250112
666.141779,1.646391,0.237625
668.880527,1.652591,0.221000
671.218258,1.653748,0.208315
673.596853,1.658780,0.195289
676.630810,1.660901,0.180955
679.361000,1.663063,0.165602
682.759479,1.660487,0.150111
685.534166,1.657510,0.138159
689.383512,1.655909,0.126311
693.124366,1.652999,0.112671
698.017721,1.648623,0.100905
704.116653,1.644679,0.086633
711.899786,1.634681,0.073238
720.399858,1.625028,0.064103
729.215877,1.614608,0.055267
736.061105,1.603579,0.049611
742.775774,1.594066,0.045462
750.002543,1.585366,0.042065
757.398003,1.577563,0.038716
766.440008,1.569455,0.035749
775.272025,1.562513,0.033210
786.140599,1.554749,0.029985
795.653364,1.547468,0.028449
806.144187,1.540974,0.025694
816.637123,1.533689,0.023248
827.127744,1.526700,0.020297
840.482139,1.518056,0.016936
850.980791,1.508367,0.015354
861.481127,1.499246,0.014056
871.988506,1.488708,0.014116
882.885114,1.480243,0.014134
894.815994,1.466406,0.014539
