wavelength_nm,n,k
213.448276,2.780000,0.005000
215.304348,2.777635,0.004006
217.192982,2.768824,0.002879
219.115044,2.755479,0.001769
221.071429,2.739474,0.000839
223.063063,2.722707,0.000246
225.090909,2.707873,0.000042
227.155963,2.696881,0.000046
229.259259,2.689782,0.000000
231.401869,2.685803,0.000000
233.584906,2.680716,0.000000
235.809524,2.673727,0.000000
238.076923,2.666341,0.000000
240.388350,2.658925,0.000000
242.745098,2.651765,0.000000
245.148515,2.645016,0.000000
247.600000,2.638919,0.000000
250.101010,2.633283,0.000000
252.653061,2.627995,0.000000
255.257732,2.622707,0.000000
257.916667,2.617070,0.000000
260.631579,2.610958,0.000000
263.404255,2.604158,0.000000
266.236559,2.597142,0.000000
269.130435,2.590202,0.000000
272.087912,2.583697,0.000000
275.111111,2.577848,0.000000
278.202247,2.572595,0.000000
281.363636,2.567872,0.000000
284.597701,2.563535,0.000000
287.906977,2.559342,0.000000
291.294118,2.554858,0.000000
294.761905,2.550042,0.000000
298.313253,2.544889,0.000000
301.951220,2.539556,0.000000
305.679012,2.534146,0.000000
309.500000,2.528992,0.000000
313.417722,2.524647,0.000000
317.435897,2.520547,0.000000
321.558442,2.516325,0.000000
325.789474,2.512084,0.000000
330.133333,2.507818,0.000000
334.594595,2.503783,0.000000
339.178082,2.500085,0.000000
343.888889,2.496436,0.000000
348.732394,2.492742,0.000000
353.714286,2.489047,0.000000
358.840580,2.485352,0.000000
364.117647,2.481608,0.000000
369.552239,2.477927,0.000000
375.151515,2.474595,0.000000
380.923077,2.471478,0.000000
386.875000,2.468325,0.000000
393.015873,2.465158,0.000000
399.354839,2.461929,0.000000
405.901639,2.458845,0.000000
412.666667,2.456156,0.000000
419.661017,2.453576,0.000000
426.896552,2.450937,0.000000
434.385965,2.448298,0.000000
442.142857,2.445659,0.000000
450.181818,2.443020,0.000000
458.518519,2.440381,0.000000
467.169811,2.437702,0.000000
476.153846,2.435051,0.000000
485.490196,2.432711,0.000000
495.200000,2.430633,0.000000
505.306122,2.428549,0.000000
515.833333,2.426437,0.000000
526.808511,2.424326,0.000000
538.260870,2.422215,0.000000
550.222222,2.420104,0.000000
562.727273,2.417992,0.000000
575.813953,2.415818,0.000000
589.523810,2.413810,0.000000
603.902439,2.412187,0.000000
619.000000,2.410661,0.000000
634.871795,2.409077,0.000000
651.578947,2.407494,0.000000
669.189189,2.405910,0.000000
687.777778,2.404327,0.000000
707.428571,2.402744,0.000000
728.235294,2.401117,0.000000
750.303030,2.399530,0.000000
773.750000,2.398267,0.000000
798.709677,2.397251,0.000000
825.333333,2.396273,0.000000
853.793103,2.395186,0.000000
884.285714,2.393664,0.000000
917.037037,2.392072,0.000000
952.307692,2.390870,0.000000
990.400000,2.389965,0.000000
1031.666667,2.389447,0.000000
1076.521739,2.388853,0.000000
1125.454545,2.387828,0.000000
1179.047619,2.386694,0.000000
1238.000000,2.385600,0.000000
1303.157895,2.384787,0.000000
1375.555556,2.384290,0.000000
1456.470588,2.383471,0.000000
1547.500000,2.382372,0.000000
1650.666667,2.381926,0.000000
1768.571429,2.381989,0.000000
1904.615385,2.381699,0.000000
2063.333333,2.381126,0.000000
2250.909091,2.380523,0.000000
2476.000000,2.380037,0.000000
