wavelength_nm,n,k
275.000000,1.514400,0.091945
276.430000,1.513000,0.092783
277.870000,1.510300,0.094421
279.300000,1.506700,0.096790
280.730000,1.502300,0.099819
282.170000,1.497300,0.103460
283.600000,1.491800,0.107700
285.030000,1.485800,0.112610
286.470000,1.479500,0.118290
287.900000,1.473000,0.124880
289.330000,1.466600,0.132540
290.770000,1.460700,0.141330
292.200000,1.455400,0.151270
293.640000,1.451000,0.162270
295.070000,1.447700,0.174160
296.500000,1.445700,0.186750
297.940000,1.445000,0.199810
299.370000,1.445800,0.213130
300.800000,1.448200,0.226470
302.240000,1.452200,0.239590
303.670000,1.457900,0.252240
305.100000,1.465300,0.264150
306.540000,1.474400,0.275050
307.970000,1.485000,0.284720
309.400000,1.496900,0.293010
310.840000,1.509800,0.299840
312.270000,1.523300,0.305250
313.700000,1.537300,0.309310
315.140000,1.551300,0.312130
316.570000,1.565400,0.313800
318.000000,1.579400,0.314370
319.440000,1.593100,0.313870
320.870000,1.606400,0.312330
322.310000,1.619200,0.309800
323.740000,1.631200,0.306410
325.170000,1.642300,0.302310
326.610000,1.652400,0.297730
328.040000,1.661400,0.292920
329.470000,1.669500,0.288090
330.910000,1.676900,0.283380
332.340000,1.683900,0.278820
333.770000,1.691000,0.274360
335.210000,1.698300,0.269830
336.640000,1.706100,0.265040
338.070000,1.714400,0.259790
339.510000,1.723100,0.253910
340.940000,1.731800,0.247300
342.370000,1.740100,0.239910
343.810000,1.747600,0.231700
345.240000,1.754000,0.222590
346.670000,1.758700,0.212460
348.110000,1.761600,0.201180
349.540000,1.762500,0.188680
350.970000,1.761300,0.175070
352.410000,1.758100,0.160690
353.840000,1.753000,0.146110
355.280000,1.746300,0.132030
356.710000,1.738200,0.119090
358.140000,1.729000,0.107810
359.580000,1.719000,0.098429
361.010000,1.708400,0.090975
362.440000,1.697600,0.085272
363.880000,1.686700,0.081051
365.310000,1.676000,0.078023
366.740000,1.665500,0.075936
368.180000,1.655300,0.074604
369.610000,1.645500,0.073921
371.040000,1.636100,0.073850
372.480000,1.626900,0.074413
373.910000,1.618100,0.075652
375.340000,1.609500,0.077591
376.780000,1.601200,0.080202
378.210000,1.593200,0.083383
379.640000,1.585500,0.086974
381.080000,1.578400,0.090799
382.510000,1.571700,0.094712
383.940000,1.565500,0.098632
385.380000,1.559700,0.102550
386.810000,1.554400,0.106500
388.250000,1.549400,0.110530
389.680000,1.544600,0.114650
391.110000,1.540000,0.118890
392.550000,1.535500,0.123230
393.980000,1.531200,0.127710
395.410000,1.527100,0.132370
396.850000,1.523300,0.137260
398.280000,1.519800,0.142440
399.710000,1.516600,0.147890
401.150000,1.513700,0.153610
402.580000,1.511100,0.159540
404.010000,1.508800,0.165650
405.450000,1.506800,0.171910
406.880000,1.505000,0.178330
408.310000,1.503500,0.184910
409.750000,1.502400,0.191690
411.180000,1.501600,0.198690
412.610000,1.501100,0.205930
414.050000,1.501000,0.213430
415.480000,1.501400,0.221170
416.920000,1.502200,0.229100
418.350000,1.503500,0.237120
419.780000,1.505300,0.245120
421.220000,1.507400,0.252980
422.650000,1.510000,0.260620
424.080000,1.513100,0.268040
425.520000,1.516500,0.275290
426.950000,1.520400,0.282420
428.380000,1.524800,0.289490
429.820000,1.529800,0.296490
431.250000,1.535200,0.303370
432.680000,1.541100,0.310070
434.120000,1.547600,0.316530
435.550000,1.554400,0.322760
436.980000,1.561700,0.328790
438.420000,1.569400,0.334680
439.850000,1.577600,0.340470
441.280000,1.586300,0.346160
442.720000,1.595600,0.351670
444.150000,1.605300,0.356870
445.580000,1.615600,0.361610
447.020000,1.626200,0.365750
448.450000,1.637000,0.369200
449.890000,1.648000,0.371930
451.320000,1.659100,0.373970
452.750000,1.670300,0.375400
454.190000,1.681500,0.376310
455.620000,1.692900,0.376790
457.050000,1.704500,0.376930
458.490000,1.716300,0.376820
459.920000,1.728300,0.376510
461.350000,1.740500,0.376040
462.790000,1.752900,0.375390
464.220000,1.765500,0.374500
465.650000,1.778100,0.373300
467.090000,1.790900,0.371680
468.520000,1.803500,0.369560
469.950000,1.816000,0.366900
471.390000,1.828400,0.363660
472.820000,1.840500,0.359860
474.250000,1.852400,0.355520
475.690000,1.864200,0.350660
477.120000,1.875800,0.345260
478.560000,1.887500,0.339260
479.990000,1.899000,0.332570
481.420000,1.910400,0.325070
482.860000,1.921500,0.316670
484.290000,1.932100,0.307360
485.720000,1.942100,0.297200
487.160000,1.951300,0.286360
488.590000,1.959600,0.275060
490.020000,1.967000,0.263540
491.460000,1.973400,0.251970
492.890000,1.978800,0.240440
494.320000,1.983100,0.228960
495.760000,1.986500,0.217430
497.190000,1.988700,0.205720
498.620000,1.990100,0.193760
500.060000,1.990400,0.181540
501.490000,1.989800,0.169210
502.920000,1.988300,0.156970
504.360000,1.985800,0.145010
505.790000,1.982300,0.133510
507.220000,1.977900,0.122540
508.660000,1.972700,0.112150
510.090000,1.966700,0.102350
511.530000,1.960000,0.093177
512.960000,1.952700,0.084674
514.390000,1.944900,0.076832
515.830000,1.936800,0.069585
517.260000,1.928500,0.062810
518.690000,1.920100,0.056369
520.130000,1.911800,0.050166
521.560000,1.903600,0.044177
522.990000,1.895600,0.038461
524.430000,1.887900,0.033132
525.860000,1.880400,0.028314
527.290000,1.873300,0.024107
528.730000,1.866600,0.020557
530.160000,1.860200,0.017651
531.590000,1.854100,0.015320
533.030000,1.848400,0.013463
534.460000,1.843100,0.011970
535.890000,1.838000,0.010744
537.330000,1.833100,0.009715
538.760000,1.828400,0.008842
540.190000,1.823900,0.008103
541.630000,1.819500,0.007484
