wavelength_nm,n,k
269.600933,1.662000,0.801100
271.965853,1.663000,0.800100
274.372631,1.663000,0.800100
276.822386,1.662000,0.800100
279.316282,1.661000,0.801100
281.855521,1.660000,0.803100
284.441351,1.658000,0.807100
287.075067,1.656000,0.811100
289.758012,1.654000,0.817100
292.491578,1.651000,0.825100
295.277212,1.649000,0.835100
298.116416,1.647000,0.846100
301.010750,1.645000,0.859100
303.961836,1.645000,0.875100
306.971359,1.646000,0.893100
310.041073,1.649000,0.914100
313.172801,1.654000,0.937100
316.368442,1.662000,0.961100
319.629972,1.674000,0.988100
322.959451,1.692000,1.015100
326.359024,1.712000,1.041100
329.830928,1.736000,1.067100
333.377498,1.764000,1.092100
337.001166,1.795000,1.116100
340.704476,1.830000,1.139100
344.490081,1.869000,1.161100
348.360756,1.913000,1.180100
352.319401,1.961000,1.197100
356.369049,2.014000,1.210100
360.512875,2.072000,1.218100
364.754203,2.134000,1.221100
369.096515,2.200000,1.216100
373.543461,2.269000,1.204100
378.098869,2.340000,1.181100
382.766756,2.413000,1.147100
387.551341,2.485000,1.100100
392.457054,2.553000,1.035100
397.488555,2.608000,0.952100
402.650744,2.639000,0.854100
407.948780,2.641000,0.754100
413.388097,2.613000,0.668100
418.974423,2.570000,0.606100
424.713798,2.524000,0.570100
430.612601,2.487000,0.553100
436.677567,2.462000,0.545100
442.915818,2.447000,0.542100
449.334888,2.441000,0.538100
455.942754,2.441000,0.533100
462.747870,2.445000,0.523100
469.759201,2.447000,0.512100
476.986266,2.449000,0.504100
484.439176,2.456000,0.502100
492.128687,2.480000,0.503100
492.128687,2.480000,0.503100
500.066246,2.524000,0.480100
508.264054,2.550000,0.424100
516.735121,2.548000,0.371100
525.493344,2.537000,0.331100
534.553574,2.525000,0.297100
543.931707,2.513000,0.267100
553.644773,2.499000,0.238100
563.711041,2.485000,0.212100
574.150135,2.468000,0.187100
584.983156,2.450000,0.165100
596.232832,2.432000,0.147100
607.923672,2.414000,0.130100
620.082145,2.396000,0.117100
632.736883,2.379000,0.105100
645.918902,2.364000,0.095100
659.661857,2.349000,0.086600
674.002332,2.336000,0.079100
688.980162,2.325000,0.072000
704.638802,2.315000,0.064800
721.025751,2.306000,0.057000
738.193030,2.297000,0.048200
756.197738,2.289000,0.038200
775.102682,2.282000,0.025000
794.977110,2.266000,0.005200
815.897560,2.241000,0.000100
837.948845,2.224000,0.000100
861.225202,2.211000,0.000100
885.831636,2.199000,0.000100
898.669776,2.194000,0.000100
911.885508,2.189000,0.000100
925.495740,2.184000,0.000100
939.518402,2.179000,0.000100
953.972532,2.175000,0.000100
968.878352,2.171000,0.000100
984.257374,2.167000,0.000100
1000.132493,2.163000,0.000100
1016.528107,2.159000,0.000100
1033.470242,2.155000,0.000100
1050.986687,2.152000,0.000100
1069.107147,2.148000,0.000100
1087.863413,2.145000,0.000100
1107.289546,2.142000,0.000100
1127.422083,2.139000,0.000100
1148.300269,2.136000,0.000100
1169.966312,2.133000,0.000100
1192.465664,2.131000,0.000100
1215.847344,2.128000,0.000100
